"GeneNames" "GeneIndex" "ReferenceFreq"
"YML001W" 650 0.0036
"YKL065C" 1027 0.0035
"YEL024W" 1072 0.0041
"YCR043C" 1270 0.0033
"YHR215W" 1202 0.0052
"YBR036C" 760 0.003
"YPR114W" 598 0.0037
"YDL014W" 58 0.0048
"YOR222W" 251 0.0029
"YJR137C" 983 0.0041
"YOR315W" 276 0.0041
"YNL208W" 854 0.0039
"YKR042W" 1049 0.003
"YMR315W" 721 0.003
"YDR212W" 105 0.004
"YOR128C" 231 0.0036
"YDR353W" 132 0.0031
"YKL117W" 1013 0.0035
"YGL009C" 342 0.0029
"YKR065C" 1053 0.0042
"YMR146C" 679 0.0035
"YJR152W" 987 0.0034
"YBR187W" 801 0.0043
"YHR070W" 1171 0.0033
"YLR190W" 454 0.0031
"YGR234W" 391 0.0025
"YIL043C" 1225 0.0032
"YFR052C.A" 1301 0.0037
"YLR208W" 460 0.0029
"YMR099C" 668 0.0035
"YOR344C" 284 0.0032
"YNR021W" 907 0.0032
"YNR043W" 910 0.0037
"YIR022W" 1236 0.0032
"YDR035W" 70 0.0035
"YJL151C" 931 0.003
"YGR295C" 405 0.0032
"YPL048W" 567 0.0036
"YKL068W.A" 1024 0.0033
"YJR077C" 970 0.0039
"YML074C" 629 0.0039
"YIL040W" 1227 0.0039
"YMR215W" 693 0.0039
"YGL215W" 298 0.0034
"YOR020C" 211 0.0027
"YGL234W" 292 0.0042
"YAL035W" 1309 0.0032
"YJR065C" 967 0.004
"YLR038C" 421 0.0038
"YOL012C" 203 0.0037
"YBR139W" 787 0.003
"YGL105W" 319 0.0042
"YMR072W" 662 0.0036
"YMR243C" 704 0.0035
"YLR294C" 481 0.0035
"YOR317W" 278 0.0033
"YLR216C" 462 0.0034
"YER125W" 1123 0.0035
"YPR004C" 577 0.0036
"YGR159C" 379 0.0036
"YPL198W" 536 0.003
"YJL052W" 947 0.0029
"YER048W.A" 1095 0.0047
"YKL085W" 1020 0.0043
"YGL028C" 335 0.0042
"YPL135W" 546 0.0036
"YFL005W" 1286 0.0028
"YLR414C" 508 0.0044
"YMR304C.A" 715 0.0049
"YMR002W" 651 0.003
"YMR314W" 720 0.0044
"YJR045C" 963 0.0033
"YKL077W" 1023 0.0035
"YOR234C" 256 0.0034
"YOR099W" 226 0.0048
"YLR259C" 472 0.004
"YNL037C" 894 0.0034
"YDL136W" 22 0.0038
"YNL079C" 881 0.0039
"YPR156C" 607 0.0044
"YDL095W" 34 0.0037
"YPR110C" 596 0.0042
"YDL126C" 28 0.0042
"YIR038C" 1242 0.0036
"YPL057C" 564 0.0036
"YBL045C" 736 0.0042
"YLL041C" 408 0.0027
"YPL226W" 530 0.0041
"YDL181W" 16 0.0043
"YHR068W" 1170 0.0036
"YDL171C" 18 0.0035
"YAL012W" 1313 0.0036
"YOL136C" 179 0.0035
"YER145C" 1129 0.0049
"YOR270C" 263 0.0042
"YIR037W" 1241 0.0032
"YLR244C" 467 0.0045
"YMR318C" 722 0.0035
"YOL140W" 177 0.0034
"YHR179W" 1194 0.0033
"YPR033C" 580 0.0044
"YER094C" 1113 0.0036
"YDL198C" 9 0.0032
"YNL064C" 888 0.0037
"YER086W" 1109 0.004
"YJL166W" 928 0.0037
"YBR067C" 767 0.0038
"YNL104C" 876 0.0032
"YDL022W" 56 0.0047
"YKL196C" 990 0.0034
"YPR036W" 582 0.0037
"YGR082W" 361 0.0035
"YDR483W" 158 0.0036
"YDR381W" 139 0.0035
"YJL174W" 924 0.0054
"YOR142W" 234 0.0032
"YLL014W" 413 0.0029
"YDL128W" 27 0.0036
"YFL038C" 1277 0.0048
"YGR026W" 351 0.0051
"YDR341C" 128 0.0043
"YIL074C" 1218 0.004
"YMR194W" 686 0.0044
"YEL001C" 1078 0.003
"YOR187W" 246 0.0044
"YNL024C.A" 898 0.0042
