"GeneNames" "GeneIndex" "ReferenceFreq"
"YER048W.A" 1095 0.0033
"YDR037W" 71 0.0026
"YNL300W" 838 0.0033
"YDR002W" 61 0.003
"YER136W" 1127 0.0036
"YJR105W" 976 0.004
"YOL012C" 203 0.0035
"YDL198C" 9 0.0042
"YMR072W" 662 0.0031
"YLL014W" 413 0.0032
"YMR318C" 722 0.004
"YPR156C" 607 0.005
"YEL024W" 1072 0.0031
"YPL081W" 559 0.0031
"YGR038W" 356 0.0047
"YGL009C" 342 0.0045
"YLR244C" 467 0.0041
"YPL019C" 573 0.0042
"YIL124W" 1207 0.0035
"YPR110C" 596 0.0037
"YER150W" 1132 0.0036
"YDR341C" 128 0.0045
"YGR234W" 391 0.0033
"YDL126C" 28 0.0045
"YHR190W" 1197 0.0051
"YJL143W" 933 0.0059
"YMR215W" 693 0.0042
"YJL196C" 917 0.0038
"YFR052C.A" 1301 0.0047
"YPL057C" 564 0.0036
"YJL052W" 947 0.0034
"YOR344C" 284 0.0035
"YOR045W" 215 0.0033
"YPR103W" 594 0.0037
"YOR315W" 276 0.0035
"YMR243C" 704 0.0034
"YJR077C" 970 0.0041
"YBL040C" 739 0.0046
"YKL067W" 1025 0.0029
"YGR094W" 364 0.0038
"YFL018C" 1283 0.0034
"YKR065C" 1053 0.0038
"YGL028C" 335 0.0044
"YPL198W" 536 0.0037
"YFL005W" 1286 0.0038
"YFL022C" 1281 0.0043
"YDR100W" 89 0.0044
"YKL068W.A" 1024 0.0046
"YBL056W" 733 0.0037
"YNL239W" 849 0.0028
"YKL120W" 1012 0.0049
"YOR317W" 278 0.0036
"YLR208W" 460 0.0043
"YBL045C" 736 0.004
"YOR099W" 226 0.0032
"YMR002W" 651 0.0042
"YDR353W" 132 0.0036
"YBR036C" 760 0.004
"YIL051C" 1223 0.0042
"YNL079C" 881 0.0043
"YOR142W" 234 0.0053
"YDR372C" 135 0.0037
"YDL072C" 43 0.0033
"YDL100C" 33 0.004
"YNL130C" 872 0.0034
"YLR153C" 446 0.0039
"YJL151C" 931 0.0038
"YEL060C" 1061 0.0039
"YKL007W" 1040 0.0035
"YPR004C" 577 0.0037
"YFL038C" 1277 0.0038
"YMR295C" 711 0.004
"YKL065C" 1027 0.0039
"YBR082C" 771 0.0036
"YNL064C" 888 0.0038
"YPL135W" 546 0.0041
"YHR039C.A" 1162 0.0028
"YKL150W" 1004 0.0051
"YGR135W" 373 0.0033
"YHR094C" 1174 0.005
"YER086W" 1109 0.0024
"YBR234C" 810 0.0031
"YGR267C" 400 0.0042
"YML081C.A" 626 0.0044
"YPR114W" 598 0.004
"YLR342W" 493 0.0033
"YKL008C" 1039 0.0041
"YMR305C" 716 0.0038
"YOR285W" 266 0.004
"YOR020C" 211 0.0045
"YKL013C" 1037 0.0032
"YMR145C" 678 0.0051
"YGR082W" 361 0.0024
"YMR304C.A" 715 0.0042
"YPL048W" 567 0.0038
"YGL105W" 319 0.0043
"YGR295C" 405 0.004
"YBR294W" 827 0.0037
"YPL145C" 544 0.0033
"YMR272C" 708 0.0036
"YNL301C" 837 0.004
"YJR045C" 963 0.0033
"YNL255C" 845 0.0046
"YJL166W" 928 0.0043
"YIR037W" 1241 0.0031
"YOR187W" 246 0.0035
"YDL171C" 18 0.0038
"YLR294C" 481 0.0048
"YMR015C" 654 0.0034
"YJR073C" 968 0.0037
"YKL066W" 1026 0.0032
"YKL077W" 1023 0.0041
"YDL029W" 55 0.0034
"YER122C" 1121 0.0034
"YLL041C" 408 0.0027
"YDR086C" 84 0.0044
"YPR181C" 613 0.0041
"YJR007W" 957 0.0055
"YMR235C" 700 0.0039
"YER019C.A" 1085 0.0039
"YER056C.A" 1100 0.0033
"YIR038C" 1242 0.0037
"YBR139W" 787 0.0038
"YLR259C" 472 0.0039
"YPR016C" 578 0.004
"YLR190W" 454 0.0029
"YIL043C" 1225 0.0043
"YLR056W" 426 0.0044
"YHR068W" 1170 0.0029
"YJR152W" 987 0.0047
"YCL018W" 1250 0.0043
"YNL307C" 833 0.0046
"YGR172C" 380 0.0034
"YHR104W" 1175 0.0046
"YJL174W" 924 0.0034
"YGR159C" 379 0.0037
"YPR041W" 584 0.0038
"YML004C" 649 0.0038
"YHR070W" 1171 0.0044
"YIR034C" 1239 0.0032
"YBR177C" 799 0.004
"YNR021W" 907 0.0036
"YDL095W" 34 0.004
"YGL011C" 341 0.0043
"YEL002C" 1077 0.0053
"YDL075W" 42 0.0036
"YHL011C" 1140 0.003
"YDL181W" 16 0.0047
"YOR103C" 227 0.0035
"YGR026W" 351 0.0029
"YCL050C" 1245 0.0046
"YGL226C.A" 293 0.0047
"YMR083W" 664 0.0036
"YJR143C" 985 0.003
"YDR284C" 121 0.003
"YMR189W" 685 0.0028
"YGL215W" 298 0.0034
"YDR214W" 106 0.0039
"YDL022W" 56 0.0047
"YBR067C" 767 0.0029
"YLR179C" 450 0.003
"YNL244C" 847 0.0037
"YER125W" 1123 0.0044
"YKL190W" 992 0.0037
"YMR146C" 679 0.0038
"YNL036W" 895 0.0038
"YOR361C" 286 0.003
"YJR016C" 960 0.0038
"YLR216C" 462 0.0029
"YOR117W" 229 0.0025
"YLR038C" 421 0.0034
"YJR010W" 959 0.0032
"YDR346C" 130 0.0039
"YOR276W" 264 0.0047
"YIL034C" 1230 0.004
"YER026C" 1089 0.0033
"YNL327W" 830 0.0044
"YBR149W" 791 0.0042
"YCL030C" 1249 0.0044
"YHR063C" 1168 0.0035
"YLR229C" 465 0.003
"YPR033C" 580 0.0049
"YJL117W" 940 0.0027
"YDR178W" 102 0.0034
"YJL097W" 941 0.0039
"YCL009C" 1253 0.0041
"YCL001W" 1255 0.0029
"YML008C" 648 0.0037
"YBR053C" 765 0.0041
"YPL231W" 528 0.0054
"YMR194W" 686 0.0045
"YBL041W" 738 0.0041
"YPR191W" 616 0.0039
"YIR031C" 1237 0.003
"YGR124W" 370 0.0032
"YPL087W" 558 0.0039
"YDR404C" 147 0.0039
"YFL037W" 1278 0.0031
"YPL163C" 540 0.0028
"YOR270C" 263 0.0041
"YFR050C" 1299 0.0038
"YJR065C" 967 0.0037
"YHR179W" 1194 0.0037
"YJL002C" 954 0.0036
"YLR378C" 503 0.0038
"YBR088C" 775 0.004
"YKL085W" 1020 0.0031
"YJL060W" 945 0.0044
"YGL187C" 308 0.0037
"YOR085W" 222 0.003
"YER036C" 1092 0.0041
"YKL117W" 1013 0.003
"YOR283W" 265 0.0026
"YFL014W" 1284 0.0032
"YBR291C" 826 0.0041
"YDR368W" 134 0.0029
"YIL121W" 1209 0.0036
"YBL102W" 723 0.0053
"YCR009C" 1259 0.003
"YER062C" 1102 0.004
"YJL130C" 937 0.0041
"YCR043C" 1270 0.0039
"YFR053C" 1302 0.0032
"YFL004W" 1287 0.0037
"YER120W" 1120 0.0031
"YKL196C" 990 0.0037
"YGL002W" 344 0.0038
"YML022W" 644 0.004
"YER094C" 1113 0.0046
"YPR052C" 586 0.0034
"YBL064C" 731 0.0039
"YFR044C" 1296 0.0041
"YOL109W" 185 0.0035
"YJL014W" 950 0.003
"YPL240C" 525 0.0051
"YOR224C" 252 0.0033
"YJR001W" 956 0.0032
"YAL035W" 1309 0.0036
"YOL139C" 178 0.0046
"YGR284C" 403 0.0034
"YDR055W" 75 0.0038
"YMR203W" 690 0.003
"YCR034W" 1268 0.0034
"YNR035C" 909 0.0039
"YLR432W" 511 0.0034
"YIL078W" 1215 0.0046
"YGR020C" 350 0.0044
"YJL191W" 919 0.0037
"YPL250C" 521 0.0046
"YCL005W.A" 1254 0.0033
"YMR071C" 661 0.0041
"YBR143C" 788 0.0035
"YGL026C" 336 0.0031
"YOL011W" 204 0.0042
"YDR129C" 94 0.0037
"YLR175W" 449 0.004
"YER003C" 1079 0.0047
"YNL104C" 876 0.0038
"YOL030W" 202 0.0033
"YAL044C" 1306 0.0029
"YHR136C" 1183 0.0025
"YDL236W" 2 0.0038
"YLR301W" 485 0.0041
"YLR297W" 483 0.0029
