"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj","zero.pvalue","zero.pvalue.adj","combined.pvalue","combined.pvalue.adj"
"YDL237W","YDL237W","NS",1,1,1,0.940991770464964,0.999886732029848,0.813340952453658,0.988021314798735,0.970020689224092,0.999627289376524
"YDL236W","YDL236W","NS",1,1,1,0.755503738219021,0.999886732029848,0.649422483555266,0.988021314798735,0.839998364434058,0.999627289376524
"YDL235C","YDL235C","NS",1,3,1,0.822645777927796,0.999886732029848,0.364651163319606,0.988021314798735,0.661166243987912,0.999627289376524
"YDL232W","YDL232W","NS",1,1,1,0.736471209668705,0.999886732029848,0.589704976373163,0.988021314798735,0.796515387759175,0.999627289376524
"YDL229W","YDL229W","NS",1,1,1,0.406210404287382,0.999886732029848,0.996995030755752,0.998514840253856,0.771057365112545,0.999627289376524
"YDL224C","YDL224C","NS",1,1,1,0.447998268674513,0.999886732029848,0.590874042361097,0.988021314798735,0.616542187259513,0.999627289376524
"YDL212W","YDL212W","NS",1,1,1,0.887789301409862,0.999886732029848,0.67273042371618,0.988021314798735,0.905080618576004,0.999627289376524
"YDL208W","YDL208W","NS",1,1,1,0.616177784744614,0.999886732029848,0.72597959203699,0.988021314798735,0.807190519594876,0.999627289376524
"YDL198C","YDL198C","NS",1,1,1,0.771667268913567,0.999886732029848,0.283870365274934,0.988021314798735,0.551672893986224,0.999627289376524
"YDL192W","YDL192W","NS",1,1,1,0.89776750179289,0.999886732029848,0.484633294346242,0.988021314798735,0.797171284214595,0.999627289376524
"YDL191W","YDL191W","NS",1,1,1,0.659744736075547,0.999886732029848,0.139055300519012,0.988021314798735,0.310890612358274,0.999627289376524
"YDL188C","YDL188C","NS",1,1,1,0.857755695435434,0.999886732029848,0.467297151804049,0.988021314798735,0.767273022002132,0.999627289376524
"YDL185W","YDL185W","NS",1,1,1,0.776665862831009,0.999886732029848,0.583592373086208,0.988021314798735,0.811916869983904,0.999627289376524
"YDL184C","YDL184C","NS",1,1,1,0.694920545082295,0.999886732029848,0.632718897089922,0.988021314798735,0.800976304528398,0.999627289376524
"YDL182W","YDL182W","NS",1,1,1,0.923515001289499,0.999886732029848,0.683925780319092,0.988021314798735,0.921826788413599,0.999627289376524
"YDL181W","YDL181W","NS",1,1,1,0.905701564703783,0.999886732029848,0.919337514458778,0.98919797209218,0.985142259529387,0.999627289376524
"YDL179W","YDL179W","NS",1,1,1,0.0542405668725174,0.999886732029848,0.0517023640132635,0.988021314798735,0.0192844382061061,0.999627289376524
"YDL171C","YDL171C","NS",1,1,1,0.507908908969582,0.999886732029848,0.0536393756119615,0.988021314798735,0.125401706069066,0.999627289376524
"YDL147W","YDL147W","NS",1,1,1,0.966177993540151,0.999886732029848,0.10777281159774,0.988021314798735,0.339678891447673,0.999627289376524
"YDL143W","YDL143W","NS",1,1,1,0.439198319106557,0.999886732029848,0.644828515300929,0.988021314798735,0.640495251053588,0.999627289376524
"YDL137W","YDL137W","NS",1,1,1,0.296170239474044,0.999886732029848,0.00529570597685484,0.988021314798735,0.0116968525695779,0.999627289376524
