"GeneNames" "GeneIndex" "ReferenceFreq"
"YPL234C" 329 0.0048
"YGR253C" 248 0.0074
"YER042W" 696 0.0045
"YEL024W" 681 0.0064
"YER009W" 688 0.0067
"YOR167C" 160 0.0054
"YAL044W.A" 815 0.0059
"YNL134C" 557 0.0059
"YPL092W" 353 0.0061
"YIL052C" 766 0.0058
"YMR002W" 411 0.0063
"YKL056C" 654 0.005
"YNL322C" 531 0.0062
"YOR052C" 148 0.0086
"YMR056C" 416 0.0067
"YPL170W" 341 0.0065
"YKL142W" 639 0.005
"YOL086C" 130 0.0068
"YOL101C" 129 0.0046
"YCL012C" 781 0.0064
"YPL250C" 325 0.0064
"YKL180W" 633 0.0058
"YML123C" 393 0.0056
"YOL126C" 124 0.0063
"YER048W.A" 698 0.0043
"YHR010W" 729 0.0053
"YLR438W" 319 0.0061
"YER102W" 710 0.0048
"YNL104C" 560 0.0053
"YOR317W" 176 0.0054
"YMR116C" 428 0.0072
"YMR246W" 451 0.0048
"YIL043C" 768 0.0067
"YLR270W" 294 0.0057
"YMR256C" 454 0.0055
"YDR223W" 67 0.0058
"YOL155C" 118 0.0072
"YCR028C.A" 790 0.0083
"YDL126C" 17 0.0057
"YBR101C" 503 0.0054
"YDR447C" 100 0.0061
"YIL041W" 769 0.0075
"YBR039W" 491 0.0076
"YGL135W" 190 0.0071
"YGR135W" 230 0.0054
"YKL150W" 638 0.0061
"YLR185W" 283 0.0059
"YML058W" 402 0.0077
"YJR044C" 614 0.0036
"YNL069C" 564 0.0086
"YGR034W" 213 0.0066
"YLR110C" 275 0.0063
"YGR214W" 243 0.0051
"YIL018W" 771 0.0074
"YPL186C" 339 0.0062
"YFR049W" 806 0.0072
"YML026C" 405 0.0059
"YJL133C.A" 602 0.0061
"YDR492W" 106 0.0071
"YKL217W" 628 0.0061
"YOR020W.A" 144 0.0054
"YAL008W" 820 0.0073
"YBR025C" 486 0.0073
"YOR327C" 177 0.0062
"YNL030W" 574 0.0061
"YCL009C" 782 0.007
"YGR167W" 237 0.0069
"YNR001C" 581 0.0063
"YPL231W" 330 0.0062
"YLR355C" 312 0.0053
"YIL069C" 762 0.0065
"YCR005C" 785 0.0078
"YPL143W" 344 0.0059
"YOR261C" 168 0.0067
"YNL067W" 565 0.0059
"YNL302C" 535 0.0057
"YNL052W" 568 0.0068
"YDL100C" 23 0.0052
"YER019C.A" 690 0.0062
"YPL028W" 362 0.0053
"YDR171W" 60 0.0048
"YLR333C" 306 0.006
"YOL026C" 138 0.0056
"YIL033C" 770 0.0055
"YOL147C" 120 0.0072
"YHL001W" 725 0.0053
"YDL004W" 40 0.0068
"YDR377W" 86 0.005
"YDR133C" 56 0.007
"YLL023C" 260 0.0069
"YDR272W" 76 0.005
"YAL030W" 819 0.0053
"YNL241C" 540 0.0044
"YOR173W" 161 0.0071
"YCL033C" 780 0.006
"YML063W" 401 0.0065
"YML081C.A" 396 0.0058
"YLR356W" 313 0.0064
"YIL160C" 753 0.007
"YBR191W" 517 0.0077
"YDR385W" 92 0.0058
"YAL060W" 812 0.0062
"YDL169C" 8 0.0067
"YPR035W" 369 0.0042
"YIL155C" 754 0.005
"YBL087C" 466 0.0075
"YPR191W" 390 0.0051
"YPL090C" 354 0.0058
"YKR094C" 673 0.0057
"YJL026W" 609 0.0067
"YCR031C" 791 0.0062
"YDL191W" 4 0.0049
"YDR177W" 62 0.0052
"YHR203C" 752 0.0058
"YDR328C" 82 0.0056
"YKL066W" 649 0.0054
"YGR155W" 234 0.0065
"YLR293C" 298 0.0057
"YLR048W" 269 0.0076
"YOR027W" 145 0.0057
"YER094C" 708 0.006
"YOL129W" 122 0.0063
"YMR071C" 417 0.0054
"YDR012W" 43 0.0044
"YOR120W" 156 0.0071
"YBR241C" 523 0.006
"YGR146C" 232 0.0059
"YHR008C" 728 0.0063
"YDR178W" 63 0.0049
"YER057C" 701 0.0055
"YPL117C" 348 0.0061
"YPR154W" 385 0.006
"YNR034W.A" 584 0.0052
"YKL065W.A" 650 0.0063
"YOL039W" 136 0.0062
"YOL109W" 128 0.0059
"YPR098C" 378 0.0065
"YMR142C" 432 0.0059
"YMR250W" 452 0.0064
"YHR174W" 745 0.0068
"YKL016C" 657 0.0075
"YEL017C.A" 682 0.0049
"YER165W" 719 0.0056
"YHR051W" 731 0.0054
"YKR049C" 666 0.0056
"YLR367W" 314 0.006
"YOL121C" 126 0.0062
"YFR017C" 800 0.0061
"YJL068C" 606 0.0061
"YIL124W" 758 0.0052
"YML024W" 406 0.0061
"YLR027C" 263 0.0063
"YMR148W" 435 0.006
"YLL039C" 257 0.0048
"YJR145C" 626 0.0064
"YBR053C" 494 0.0058
"YDR441C" 99 0.0053
"YPL225W" 331 0.0069
"YLR406C" 317 0.0054
"YML079W" 397 0.0065
"YLR259C" 292 0.0065
"YNL200C" 545 0.0063
"YKL157W" 635 0.0053
"YLR284C" 295 0.0056
"YPR151C" 384 0.0063
