"GeneNames" "GeneIndex" "ReferenceFreq"
"YBR269C" 527 0.0061
"YCL012C" 781 0.0075
"YMR242C" 449 0.0071
"YDR453C" 102 0.005
"YGL048C" 201 0.0054
"YOR167C" 160 0.006
"YOR173W" 161 0.0075
"YML058W" 402 0.006
"YDR272W" 76 0.0057
"YJL001W" 610 0.0057
"YPL143W" 344 0.0069
"YNL241C" 540 0.0062
"YFR031C.A" 801 0.0066
"YDR497C" 107 0.0062
"YNL069C" 564 0.0059
"YJL068C" 606 0.006
"YBR241C" 523 0.0062
"YMR071C" 417 0.0053
"YDL004W" 40 0.0061
"YDL169C" 8 0.0063
"YKL085W" 647 0.007
"YDR223W" 67 0.0057
"YIL069C" 762 0.0057
"YGR253C" 248 0.0055
"YGR148C" 233 0.0054
"YOR020W.A" 144 0.0063
"YPL117C" 348 0.0064
"YPR098C" 378 0.0071
"YKL016C" 657 0.0065
"YLR185W" 283 0.0069
"YKL217W" 628 0.0048
"YLR216C" 285 0.0062
"YPR191W" 390 0.0077
"YGR214W" 243 0.0049
"YOL039W" 136 0.0064
"YIL033C" 770 0.0063
"YIL041W" 769 0.0057
"YPR154W" 385 0.0061
"YML123C" 393 0.0074
"YDR086C" 53 0.0063
"YNL302C" 535 0.0061
"YER072W" 705 0.0065
"YMR116C" 428 0.0062
"YFR047C" 805 0.0056
"YIL043C" 768 0.006
"YPL170W" 341 0.0058
"YDL191W" 4 0.0058
"YNL239W" 541 0.0056
"YDR171W" 60 0.0069
"YOR261C" 168 0.0056
"YBR053C" 494 0.0048
"YBR127C" 511 0.0052
"YNL067W" 565 0.0058
"YER120W" 712 0.0051
"YFR049W" 806 0.0052
"YEL024W" 681 0.0056
"YLR284C" 295 0.0053
"YBR039W" 491 0.0077
"YDL126C" 17 0.0054
"YOR327C" 177 0.0054
"YGL135W" 190 0.0062
"YHL001W" 725 0.0056
"YBL048W" 473 0.0057
"YDR322C.A" 81 0.0053
"YAL060W" 812 0.0065
"YGL080W" 196 0.0056
"YHL034C" 722 0.0054
"YKL160W" 634 0.0056
"YER057C" 701 0.0062
"YOR317W" 176 0.0068
"YNL007C" 579 0.0053
"YKL142W" 639 0.0064
"YLR303W" 301 0.0069
"YPL231W" 330 0.0058
"YJR121W" 624 0.0054
"YDR447C" 100 0.0046
"YPL092W" 353 0.0052
"YHR174W" 745 0.0063
"YKL180W" 633 0.0059
"YMR250W" 452 0.0063
"YKL182W" 632 0.0058
"YGR085C" 218 0.0065
"YLL023C" 260 0.0062
"YNL104C" 560 0.007
"YGR034W" 213 0.0062
"YCR005C" 785 0.0068
"YLR294C" 299 0.0054
"YGR155W" 234 0.0063
"YDL083C" 28 0.0057
"YFR050C" 807 0.0057
"YOL101C" 129 0.0064
"YBR116C" 508 0.0052
"YER048W.A" 698 0.0057
"YOL086C" 130 0.006
"YDR214W" 66 0.0068
"YBR255C.A" 524 0.0079
"YCL009C" 782 0.0071
"YEL017C.A" 682 0.0063
"YGR167W" 237 0.006
"YPR043W" 373 0.005
"YGR146C" 232 0.0053
"YJL144W" 598 0.005
"YPL271W" 323 0.0066
"YJL026W" 609 0.0065
"YMR246W" 451 0.0062
"YPL262W" 324 0.0056
"YLR029C" 265 0.005
"YEL060C" 674 0.0063
"YML081C.A" 396 0.0071
"YPL090C" 354 0.0069
"YGL121C" 192 0.0047
"YER026C" 693 0.0073
"YBL072C" 469 0.0071
"YHR203C" 752 0.0059
"YIL133C" 757 0.0056
"YOR120W" 156 0.006
"YLR270W" 294 0.0059
"YHR010W" 729 0.0064
"YJR145C" 626 0.0064
"YBL029C.A" 478 0.0069
"YJL151C" 597 0.0055
"YAL030W" 819 0.0058
"YBR221C" 521 0.0056
"YER102W" 710 0.0054
"YBL087C" 466 0.0061
"YLR048W" 269 0.006
"YMR056C" 416 0.0059
"YMR002W" 411 0.0072
"YMR142C" 432 0.0058
"YCR028C.A" 790 0.007
"YKL107W" 642 0.0065
"YHR193C" 747 0.006
"YCL043C" 777 0.007
"YHR051W" 731 0.0058
"YLR297W" 300 0.0072
"YKR018C" 663 0.0077
"YKR049C" 666 0.0052
"YDR262W" 75 0.0061
"YDR385W" 92 0.005
"YBR189W" 516 0.0062
"YML063W" 401 0.0061
"YLR027C" 263 0.0059
"YAL008W" 820 0.0058
"YNL200C" 545 0.0048
"YNL052W" 568 0.0053
"YHR021C" 730 0.0058
"YLR355C" 312 0.0056
"YBR046C" 492 0.0064
"YDR056C" 48 0.0063
"YER009W" 688 0.0074
"YMR090W" 421 0.0062
"YDR226W" 70 0.0058
"YPL028W" 362 0.007
"YMR041C" 415 0.0058
"YER019C.A" 690 0.006
"YDR177W" 62 0.0046
"YBR256C" 525 0.0056
"YLR333C" 306 0.0057
"YDR155C" 59 0.0067
"YOR052C" 148 0.0061
"YHR008C" 728 0.0057
"YOL147C" 120 0.0066
"YBL078C" 467 0.0063
"YDR377W" 86 0.0061
"YJR044C" 614 0.0061
