"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj","zero.pvalue","zero.pvalue.adj","combined.pvalue","combined.pvalue.adj"
"YDL212W","YDL212W","NS",1,1,1,0.370315000001257,0.999395400003608,0.666185469036811,0.999876213385855,0.591974803806412,0.999697018279889
"YDL204W","YDL204W","NS",1,1,1,0.156785122508893,0.999395400003608,0.318436981351983,0.999876213385855,0.199565417595241,0.999697018279889
"YDL192W","YDL192W","NS",2,2,1,0.975320210152027,0.999395400003608,0.582003671969212,0.999876213385855,0.889076258423146,0.999697018279889
"YDL191W","YDL191W","NS",1,1,1,0.150708232759707,0.999395400003608,0.97697751726699,0.999876213385855,0.429303629347448,0.999697018279889
"YDL184C","YDL184C","NS",1,1,1,0.240716986534891,0.999395400003608,0.178672530730955,0.999876213385855,0.178331804696296,0.999697018279889
"YDL182W","YDL182W","NS",1,1,1,0.0869860445933287,0.999395400003608,0.970018468850899,0.999876213385855,0.2929984383968,0.999697018279889
"YDL181W","YDL181W","NS",1,1,1,0.527902664674685,0.999395400003608,0.417723863202998,0.999876213385855,0.55389111530771,0.999697018279889
"YDL169C","YDL169C","NS",2,2,1,0.761382855393909,0.999395400003608,0.140454709904366,0.999876213385855,0.346002588117652,0.999697018279889
"YDL168W","YDL168W","NS",1,1,1,0.982757568539409,0.999395400003608,0.211568006957108,0.999876213385855,0.53447963907774,0.999697018279889
"YDL147W","YDL147W","NS",1,1,1,0.450496369689137,0.999395400003608,0.687288664875133,0.999876213385855,0.672622670951059,0.999697018279889
"YDL137W","YDL137W","NS",1,1,1,0.793658526160338,0.999395400003608,0.784611500901955,0.999876213385855,0.917673468283572,0.999697018279889
"YDL135C","YDL135C","NS",1,1,1,0.990689553376819,0.999395400003608,0.380011525033614,0.999876213385855,0.744253279845749,0.999697018279889
"YDL134C","YDL134C","NS",1,1,1,0.372298209569941,0.999395400003608,0.735139418531343,0.999876213385855,0.628327746909006,0.999697018279889
