"GeneNames" "GeneIndex" "ReferenceFreq"
"YPR145W" 1083 0.0015
"YNL239W" 1499 0.0019
"YJR074W" 1727 0.0015
"YKL190W" 1769 0.0021
"YOR099W" 406 0.0013
"YOR019W" 372 0.0022
"YIR032C" 2208 8e-04
"YPR167C" 1095 0.0021
"YGR082W" 638 0.0029
"YBL076C" 1299 0.0024
"YFL010C" 2280 0.0019
"YER095W" 1989 0.0014
"YLR074C" 772 0.0028
"YOR187W" 445 0.0031
"YBL015W" 1328 0.002
"YMR090W" 1197 0.002
"YLR414C" 900 0.002
"YPR110C" 1070 0.0022
"YLR388W" 892 0.0024
"YDL078C" 75 0.0017
"YML022W" 1153 0.0029
"YBR291C" 1463 0.0024
"YDL095W" 66 0.0025
"YJL130C" 1662 0.0023
"YAL030W" 2329 0.0024
"YBR244W" 1442 0.0022
"YDR234W" 203 0.0019
"YNL194C" 1512 0.0014
"YKL103C" 1807 0.002
"YER088C" 1983 0.002
"YEL002C" 1926 0.0021
"YDR408C" 260 0.0022
"YOL092W" 328 0.0021
"YDR072C" 142 0.0025
"YOL026C" 356 0.0015
"YBR056W" 1360 0.0024
"YMR181C" 1226 0.0022
"YPL232W" 933 0.0018
"YOL126C" 316 0.0035
"YLR350W" 877 0.0026
"YEL044W" 1904 0.002
"YOR210W" 454 0.0018
"YMR311C" 1285 0.002
"YMR255W" 1261 0.0029
"YDR056C" 132 0.0022
"YER122C" 1999 0.0018
"YBR199W" 1427 0.0027
"YJR007W" 1704 0.0022
"YNR035C" 1614 0.0022
"YPL230W" 935 0.0028
"YBR126W.B" 1394 0.0023
"YER126C" 2003 0.0026
"YLR258W" 838 0.0028
"YBR214W" 1433 0.0025
"YEL021W" 1916 0.0027
"YCR034W" 2255 0.0022
"YDR212W" 194 0.0024
"YOR209C" 453 0.0013
"YJR010W" 1706 0.0026
"YJL192C" 1631 0.0032
"YHR096C" 2093 0.0016
"YER024W" 1943 0.0023
"YMR039C" 1176 0.0022
"YGL187C" 554 0.0022
"YFL022C" 2274 0.003
"YOR128C" 414 0.0023
"YKL058W" 1825 0.0024
"YMR099C" 1201 0.0027
"YDR041W" 126 0.0019
"YNR014W" 1606 0.0021
"YJL148W" 1650 0.0024
"YOR286W" 490 0.0017
"YDR019C" 117 0.0016
"YGR244C" 711 0.0019
"YJL014W" 1696 0.0021
"YEL001C" 1927 0.0015
"YOL005C" 364 0.0024
"YMR123W" 1209 0.0021
"YFR034W.A" 2300 0.0016
"YLR186W" 809 0.0016
"YMR062C" 1184 0.0023
"YPR016C" 1024 0.0023
"YMR256C" 1262 0.0025
"YKL104C" 1806 0.0025
"YBL029C.A" 1321 0.0025
"YJL062W.A" 1684 0.002
"YNL231C" 1501 0.0023
"YLR351C" 878 8e-04
"YOL133W" 313 0.0022
"YLR028C" 756 0.0032
"YBR187W" 1422 0.0019
"YLR295C" 854 0.0025
"YIL106W" 2156 0.0028
"YGR001C" 613 0.0019
"YCL001W" 2238 0.0017
"YDL053C" 86 0.0019
"YOR202W" 450 0.0019
"YGR264C" 720 0.0026
"YER090W" 1985 0.002
"YGL028C" 598 0.0021
"YDR210W" 192 0.0024
"YHR110W" 2099 0.0013
"YFR051C" 2307 0.0022
"YJL117W" 1668 0.0019
"YMR241W" 1254 0.0018
"YMR183C" 1227 0.0022
"YCR002C" 2239 0.0024
"YLR190W" 810 0.0023
"YNR017W" 1608 0.0024
"YOL012C" 361 0.0031
"YNL153C" 1532 0.002
"YJR048W" 1716 0.0017
"YAL007C" 2336 0.0016
"YHR025W" 2056 0.002
"YHR020W" 2054 0.0018
"YOR335C" 509 0.0021
"YGR074W" 634 0.0032
"YMR243C" 1256 0.0022
"YLR420W" 901 0.0021
"YPL098C" 980 0.002
"YNR046W" 1619 0.0019
"YJL124C" 1664 0.0027
"YDL051W" 88 0.0022
"YNL141W" 1535 0.0021
"YPR004C" 1021 0.0018
"YDR404C" 258 0.0015
"YPL059W" 1000 0.0018
"YEL024W" 1915 0.002
"YMR189W" 1231 0.0027
"YOL077C" 334 0.0027
"YLL027W" 733 0.002
"YML110C" 1118 0.0024
"YGR207C" 695 0.0026
"YDR397C" 256 0.0028
"YBR164C" 1413 0.002
"YGL231C" 532 0.0018
"YPR020W" 1026 0.0028
"YOL140W" 310 0.0018
"YDR533C" 305 0.0024
"YBR234C" 1439 0.0019
"YDR272W" 212 0.0016
"YFR047C" 2304 0.0027
"YER100W" 1991 0.0018
"YOR271C" 481 0.002
"YBR162W.A" 1412 0.0023
"YER031C" 1947 0.002
"YLR262C.A" 840 0.0014
"YGL068W" 585 0.0029
"YAL042W" 2320 0.0021
"YNR043W" 1618 0.0011
"YLR201C" 816 0.0027
"YFR030W" 2296 0.002
