"GeneNames" "GeneIndex" "ReferenceFreq"
"YAL042W" 2320 0.0025
"YOR362C" 519 0.0027
"YDR341C" 230 0.002
"YAL035W" 2326 0.0023
"YLL023C" 736 0.0015
"YKR068C" 1879 0.0018
"YGR082W" 638 0.0025
"YIL040W" 2185 0.0019
"YIL056W" 2175 0.0023
"YBL040C" 1313 0.0031
"YJR096W" 1736 0.0022
"YMR250W" 1259 0.0027
"YFR051C" 2307 0.0017
"YDL095W" 66 0.0022
"YOL059W" 341 0.0014
"YPL145C" 965 0.0029
"YFL021W" 2275 0.0012
"YOR039W" 382 0.0025
"YPR156C" 1089 0.0023
"YDL053C" 86 0.0022
"YJL200C" 1629 0.0027
"YDR404C" 258 0.002
"YER052C" 1960 0.0031
"YAL030W" 2329 0.0012
"YMR074C" 1191 0.0029
"YLR060W" 767 0.0013
"YOR117W" 411 0.0017
"YKL181W" 1774 0.0018
"YKL120W" 1801 0.0026
"YJL148W" 1650 0.0013
"YNL287W" 1482 0.0019
"YGR207C" 695 0.0029
"YAL007C" 2336 0.0025
"YDL012C" 101 0.002
"YDR346C" 233 0.0024
"YHR068W" 2078 0.0026
"YGR001C" 613 0.0025
"YLL041C" 730 0.0019
"YML007W" 1159 0.0029
"YLR177W" 804 0.0017
"YDR019C" 117 0.0025
"YJL124C" 1664 0.002
"YGR105W" 646 0.0015
"YJR048W" 1716 0.0025
"YDR427W" 264 0.0023
"YDL064W" 83 0.0017
"YJR117W" 1745 0.0016
"YDL198C" 16 0.0019
"YPL211W" 946 0.0028
"YNL134C" 1539 0.002
"YER048W.A" 1958 0.0022
"YBR234C" 1439 0.0025
"YMR205C" 1240 0.0027
"YIL075C" 2167 0.0025
"YMR090W" 1197 0.0018
"YPL230W" 935 0.002
"YJL108C" 1671 0.0015
"YMR181C" 1226 0.0022
"YDR073W" 143 0.0032
"YDR408C" 260 0.0024
"YBR164C" 1413 0.0022
"YHR200W" 2129 0.0018
"YOR286W" 490 0.0019
"YGR231C" 704 0.002
"YML056C" 1143 0.0022
"YKL103C" 1807 0.0021
"YMR145C" 1216 0.0021
"YPR148C" 1086 0.002
"YOR248W" 470 0.0017
"YKL145W" 1789 0.0021
"YMR292W" 1273 0.0025
"YDR194C" 187 0.0023
"YOL136C" 312 0.0022
"YER122C" 1999 0.0022
"YOR145C" 421 0.002
"YGL048C" 592 0.0018
"YML022W" 1153 0.0022
"YGL087C" 578 0.0025
"YJR070C" 1724 0.0016
"YKL024C" 1838 0.0016
"YJL062W.A" 1684 0.0022
"YPR004C" 1021 0.0016
"YDR234W" 203 0.0029
"YBR252W" 1446 0.0025
"YHL011C" 2036 0.0022
"YPL170W" 958 0.0022
"YNR018W" 1609 0.0022
"YLR342W" 873 0.0021
"YHR030C" 2061 0.0014
"YFR047C" 2304 0.0017
"YPR183W" 1103 0.0017
"YGR232W" 705 0.0015
"YJL130C" 1662 0.0026
"YBR139W" 1400 0.0022
"YOR173W" 437 0.0022
"YML110C" 1118 0.0022
"YGL157W" 561 0.0023
"YJL164C" 1644 0.0022
"YGR267C" 721 0.0025
"YMR123W" 1209 0.0018
"YKR065C" 1876 0.0026
"YMR099C" 1201 0.003
"YKR046C" 1870 0.0021
"YDR262W" 210 0.0017
"YOR226C" 461 0.002
"YDR007W" 113 0.0025
"YGL231C" 532 0.0022
"YOR061W" 391 0.0029
"YJR137C" 1754 0.0019
"YLR351C" 878 0.0022
"YNR053C" 1624 0.0016
"YER031C" 1947 0.0013
"YOR344C" 512 0.0017
"YFR034W.A" 2300 0.0021
"YML125C" 1113 0.0026
"YOR323C" 506 0.002
"YOR335C" 509 0.0022
"YEL011W" 1923 0.002
"YLR074C" 772 0.0018
"YPL111W" 976 0.0024
"YGL187C" 554 0.0021
"YGR026W" 620 0.0018
"YLR252W" 835 0.002
"YNR035C" 1614 0.003
"YDR062W" 135 0.0022
"YDR372C" 245 0.0024
"YIL142W" 2142 0.0023
"YDR394W" 254 0.0018
"YEL013W" 1921 0.0017
"YDR516C" 295 0.0021
"YNL231C" 1501 0.0021
"YIL035C" 2188 0.0025
"YGR130C" 657 0.0016
"YIL077C" 2165 0.0022
"YHR128W" 2105 0.0021
"YEL060C" 1898 0.002
"YLL027W" 733 0.002
"YER065C" 1968 0.0027
"YOL077C" 334 0.0022
"YDR210W" 192 0.0021
"YML069W" 1138 0.0028
"YEL044W" 1904 0.0024
"YDR277C" 214 0.0017
"YGL028C" 598 0.0021
"YER021W" 1941 0.0015
"YLR108C" 788 0.0027
"YBR199W" 1427 0.0018
"YJL172W" 1639 0.0027
"YDL214C" 10 0.0014
"YIL034C" 2189 0.0011
"YGL022W" 601 0.0026
"YML055W" 1144 0.0021
"YMR189W" 1231 0.0015
"YOR310C" 500 0.0021
"YPL087W" 989 0.0026
"YBR036C" 1353 0.0022
"YER004W" 1930 0.002
"YDR152W" 164 0.0021
"YBL076C" 1299 0.0022
"YGL068W" 585 0.0022
"YPL189C.A" 954 0.0029
"YDR001C" 107 0.002
"YJR077C" 1730 0.0019
"YML100W" 1124 0.0017
"YPR033C" 1033 0.0016
"YNL002C" 1601 0.0022
"YHR049W" 2069 0.0018
"YOL097C" 327 0.0027
"YKL157W" 1783 0.0012
"YBR173C" 1418 0.0025
"YOR065W" 395 0.0023
"YOR062C" 392 0.0017
"YJL196C" 1630 0.0023
"YLR220W" 823 0.0025
"YKR092C" 1892 0.0018
"YHR039C.A" 2065 0.003
"YJR143C" 1756 0.0015
"YNL100W" 1555 0.0026
"YBR265W" 1453 0.0025
"YNL024C.A" 1593 0.0022
"YEL024W" 1915 0.0017
"YNR043W" 1618 0.0022
"YKL009W" 1846 0.0019
"YMR241W" 1254 0.0023
"YDL015C" 99 0.0031
"YJR074W" 1727 0.0015
"YMR300C" 1278 0.0033
"YOL038W" 351 0.0021
"YDL097C" 65 0.0023
"YBR099C" 1381 0.0016
"YDL130W.A" 47 0.002
"YPR098C" 1063 0.0025
"YOR185C" 444 0.0021
"YLR093C" 780 0.0023
"YML079W" 1131 0.0019
"YOR085W" 399 0.0015
"YKL207W" 1763 0.0021
"YER012W" 1935 0.0016
"YER126C" 2003 0.0017
"YOR309C" 499 0.0024
"YER095W" 1989 0.0025
"YOR021C" 375 0.0029
"YKL190W" 1769 0.0019
"YAL023C" 2331 0.0021
"YPR016C" 1024 0.0021
"YDR100W" 154 0.002
"YMR291W" 1272 0.0019
"YDL120W" 56 0.0022
"YIR038C" 2213 0.0018
"YMR246W" 1258 0.0017
"YLR009W" 745 0.0023
"YER159C" 2017 0.0024
"YJL178C" 1635 0.0023
"YOR168W" 435 0.0022
"YMR058W" 1182 0.0027
"YPL098C" 980 0.0019
"YBR162W.A" 1412 0.0015
"YIL138C" 2143 0.0026
"YER156C" 2016 0.0027
"YJL055W" 1686 0.0027
"YBL056W" 1307 0.0018
"YOL126C" 316 0.0022
"YJL121C" 1667 0.0019
"YFL010C" 2280 0.0015
"YGR234W" 706 0.0023
"YEL071W" 1896 0.002
"YFR049W" 2305 0.002
"YMR110C" 1204 0.0028
"YJL192C" 1631 0.0024
"YFR017C" 2293 0.0018
"YKL068W.A" 1818 0.0017
"YGR094W" 643 0.0026
"YDR397C" 256 0.0024
"YOR089C" 401 0.0027
"YOL092W" 328 0.0019
"YDR177W" 181 0.0021
"YPL091W" 986 0.0023
"YAL053W" 2315 0.0019
"YOR091W" 402 0.002
"YOR210W" 454 0.0015
"YHR110W" 2099 0.0021
"YDR212W" 194 0.0018
"YPR041W" 1040 0.0025
"YNL239W" 1499 0.0018
"YDR092W" 151 0.0029
"YLR192C" 811 0.0019
"YDR328C" 226 0.0027
"YBR214W" 1433 0.0017
"YIL016W" 2197 0.0022
"YPR110C" 1070 0.0019
"YJR044C" 1713 0.0013
"YBL029C.A" 1321 0.0022
"YDR153C" 165 0.0022
"YKR043C" 1869 0.0015
"YEL002C" 1926 0.0019
"YOR103C" 408 0.0021
"YNL327W" 1467 0.0024
"YER069W" 1971 0.0029
"YNL153C" 1532 0.0022
"YLL018C" 739 0.0011
"YLR194C" 813 0.0014
"YMR071C" 1188 0.0021
"YBR122C" 1391 0.0021
"YLR388W" 892 0.0023
"YHR009C" 2047 0.0018
"YLR332W" 869 0.002
"YMR062C" 1184 0.0025
"YKL077W" 1817 0.0013
"YJL117W" 1668 0.0029
"YGL080W" 579 0.0015
"YLR330W" 868 0.0019
"YKL104C" 1806 0.0031
"YPL019C" 1013 0.0019
"YCL001W" 2238 0.0017
"YBR035C" 1352 0.0019
"YPR100W" 1064 0.0018
"YNL192W" 1514 0.0024
"YDR148C" 162 0.0021
"YBR111C" 1387 0.0021
"YDR245W" 207 0.0019
"YNL149C" 1533 0.0017
"YBR151W" 1406 0.002
"YLR304C" 860 0.0014
"YGR264C" 720 0.0016
"YKL033W.A" 1833 0.0035
"YBR286W" 1460 0.0012
"YER053C" 1961 0.0014
"YJR125C" 1750 0.0022
"YDL147W" 36 0.0018
"YIL088C" 2160 0.002
"YMR276W" 1268 0.0023
"YDL007W" 104 0.0022
"YOL005C" 364 0.0024
"YNL281W" 1484 0.0014
"YHR025W" 2056 0.0024
"YER070W" 1972 0.0024
"YJR058C" 1717 0.0026
"YKR080W" 1885 0.0015
"YBR256C" 1449 0.0022
"YKL195W" 1765 0.0027
"YDL204W" 15 0.003
"YBR171W" 1416 0.002
"YBR294W" 1464 0.0019
"YER136W" 2008 0.0022
"YJL097W" 1674 0.0023
"YDR056C" 132 0.0025
"YPR167C" 1095 0.0026
"YCR069W" 2262 0.0023
"YFR030W" 2296 0.0019
"YNL156C" 1529 0.0023
"YHR092C" 2091 0.0029
"YPR060C" 1048 9e-04
"YER090W" 1985 0.0028
"YPR181C" 1101 0.0016
"YPL093W" 985 0.0017
"YBR269C" 1456 0.0031
"YMR243C" 1256 0.0016
"YMR183C" 1227 0.0018
"YOR311C" 501 0.0027
"YDR339C" 229 0.0026
"YGL148W" 562 0.0016
"YML120C" 1116 0.0028
"YLR250W" 833 0.0023
"YNL307C" 1472 0.0023
"YGL209W" 543 0.0027
"YEL012W" 1922 0.0012
"YLR028C" 756 0.0029
"YDL128W" 49 0.0021
"YMR092C" 1199 0.0016
"YJL014W" 1696 0.0023
"YMR200W" 1237 0.002
"YKL058W" 1825 0.0026
"YOL048C" 347 0.0025
"YLR224W" 826 0.0019
"YNR017W" 1608 0.0024
"YPR114W" 1072 0.0023
"YAL054C" 2314 0.0015
"YOR361C" 518 0.0021
"YOR016C" 371 0.0018
"YDR188W" 185 0.0027
"YOL140W" 310 0.0022
"YDR098C" 152 0.0019
"YCR009C" 2242 0.0028
"YJL002C" 1700 0.003
"YDR074W" 144 0.0024
"YJR001W" 1702 0.0014
"YMR043W" 1179 0.0023
"YKR071C" 1881 0.0024
"YDR429C" 265 0.0014
"YKL039W" 1831 0.0021
"YLR066W" 771 0.0032
"YDR178W" 182 0.0015
"YER073W" 1975 0.0023
"YNL263C" 1490 0.0018
"YGL058W" 587 0.003
"YOR253W" 472 0.0019
"YPL199C" 951 0.0014
"YHR020W" 2054 0.0025
"YBR291C" 1463 0.002
"YBR183W" 1421 0.0022
"YBR146W" 1403 0.0017
"YDR368W" 244 0.0019
"YHR096C" 2093 0.0015
"YCR002C" 2239 0.0019
"YCL057C.A" 2215 0.0019
"YBR263W" 1452 0.002
"YBL058W" 1305 0.0015
"YHR108W" 2098 0.0026
"YLR350W" 877 0.0018
"YEL001C" 1927 0.0035
"YHR163W" 2115 0.0021
"YGR284C" 725 0.0019
"YER006W" 1931 0.0015
"YDR533C" 305 0.0023
"YKR001C" 1856 0.0022
"YER086W" 1981 0.0026
"YLR370C" 886 0.0024
"YFL022C" 2274 0.0019
"YDL078C" 75 0.0011
"YMR235C" 1251 0.0023
"YHR037W" 2063 0.0027
"YKR091W" 1891 0.0016
"YML053C" 1145 0.003
"YGR295C" 727 0.0024
"YFL034C.A" 2272 0.002
"YOR270C" 480 0.0018
"YDL143W" 38 0.0023
"YLR244C" 830 0.0022
"YCR013C" 2245 0.0022
"YNL121C" 1543 0.0028
"YOR099W" 406 0.0022
"YCR034W" 2255 0.0017
"YJR007W" 1704 0.0024
"YKR048C" 1871 0.0028
"YDL188C" 21 0.0024
"YHR063C" 2074 0.0025
"YOR020W.A" 374 0.0021
"YOR283W" 488 0.002
"YER125W" 2002 0.0023
"YIL106W" 2156 0.0027
"YLR438C.A" 907 0.0019
"YCL011C" 2233 0.0018
"YLR120C" 793 0.0018
"YHR132C" 2106 0.0022
"YER148W" 2012 0.0026
"YLR190W" 810 0.0028
"YHR027C" 2058 0.0015
"YOL026C" 356 0.0022
"YPL262W" 919 0.0027
"YCR030C" 2253 0.0029
"YPR010C" 1022 0.0017
"YNL004W" 1600 0.0028
"YIL121W" 2150 0.0023
"YDL134C" 43 0.0017
"YNL194C" 1512 0.0018
"YGR054W" 630 0.0022
"YLR025W" 753 0.0023
"YLR328W" 867 8e-04
"YPL127C" 972 0.0017
"YPR065W" 1052 0.0015
"YJL143W" 1653 0.0024
"YGL198W" 548 0.002
"YBR056W" 1360 0.0018
"YKL091C" 1813 0.0018
"YOR317W" 505 0.0027
"YPL163C" 959 0.0024
"YIR032C" 2208 0.0025
"YDL237W" 1 0.0022
"YNR046W" 1619 0.0026
"YJL012C" 1697 0.0018
"YGL077C" 581 0.0016
"YIR031C" 2207 0.0018
"YBL007C" 1329 0.0017
"YGR178C" 680 0.0022
"YOL061W" 339 0.0025
"YKL160W" 1782 0.0021
"YLR414C" 900 0.0022
"YBL050W" 1309 0.0019
"YCR043C" 2258 0.0026
"YNL130C" 1541 0.0021
"YNL241C" 1498 0.002
"YFL017C" 2277 0.0017
"YER007C.A" 1932 0.0012
"YNL306W" 1473 0.0021
"YAL016W" 2332 0.0026
"YNL189W" 1516 0.0031
"YNR016C" 1607 0.0023
"YLR153C" 797 0.0028
"YGR172C" 676 0.0017
"YCL059C" 2214 0.0026
"YOR209C" 453 0.0032
"YOL077W.A" 333 0.0021
"YGR074W" 634 0.0024
"YBR154C" 1407 0.002
"YDR072C" 142 0.0023
"YDR272W" 212 0.002
"YGL221C" 537 0.0018
