"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj","zero.pvalue","zero.pvalue.adj","combined.pvalue","combined.pvalue.adj"
"YDL237W","YDL237W","NS",1,1,1,0.774021990995044,0.999996939341318,0.721891721223226,0.999199716046925,0.883978047732569,0.999970326634593
"YDL236W","YDL236W","NS",1,1,1,0.930988472257097,0.999996939341318,0.628775292034909,0.999199716046925,0.898848883400148,0.999970326634593
"YDL235C","YDL235C","NS",1,1,1,0.362658264926661,0.999996939341318,0.968800553008694,0.999199716046925,0.718845633215575,0.999970326634593
"YDL232W","YDL232W","NS",1,1,1,0.294361649364979,0.999996939341318,0.155348192182453,0.999199716046925,0.186802610862748,0.999970326634593
"YDL229W","YDL229W","NS",1,2,1,0.0757563264020007,0.999996939341318,0.520580248115731,0.999199716046925,0.166939624264201,0.999970326634593
"YDL226C","YDL226C","NS",1,1,1,0.381744570862465,0.999996939341318,0.90800449417728,0.999199716046925,0.713879101769915,0.999970326634593
"YDL224C","YDL224C","NS",1,1,1,0.679328218282898,0.999996939341318,0.320314678907746,0.999199716046925,0.549459225898255,0.999970326634593
"YDL219W","YDL219W","NS",1,1,1,0.971730342562089,0.999996939341318,0.254139567696471,0.999199716046925,0.592333884808965,0.999970326634593
"YDL215C","YDL215C","NS",1,1,1,0.557835056632358,0.999996939341318,0.364708359373963,0.999199716046925,0.527405952105875,0.999970326634593
"YDL214C","YDL214C","NS",1,1,1,0.863772925085141,0.999996939341318,0.640618365922485,0.999199716046925,0.880802212506822,0.999970326634593
"YDL213C","YDL213C","NS",1,1,1,0.807560802801831,0.999996939341318,0.710408660228425,0.999199716046925,0.892474633618526,0.999970326634593
"YDL212W","YDL212W","NS",1,1,1,0.718024131233123,0.999996939341318,0.988601608427795,0.999199716046925,0.953113238109232,0.999970326634593
"YDL208W","YDL208W","NS",1,1,1,0.941588214760521,0.999996939341318,0.284102038086332,0.999199716046925,0.620244456033277,0.999970326634593
"YDL207W","YDL207W","NS",1,1,1,0.666307210488264,0.999996939341318,0.273381646599791,0.999199716046925,0.492348238124271,0.999970326634593
"YDL204W","YDL204W","NS",1,1,1,0.366850508328815,0.999996939341318,0.752743754446587,0.999199716046925,0.631495711537522,0.999970326634593
"YDL198C","YDL198C","NS",1,1,1,0.773862081811792,0.999996939341318,0.583268552797166,0.999199716046925,0.810419871372881,0.999970326634593
"YDL195W","YDL195W","NS",1,1,1,0.869703631261392,0.999996939341318,0.791327311692378,0.999199716046925,0.945371237253538,0.999970326634593
"YDL193W","YDL193W","NS",1,1,1,0.747562472544585,0.999996939341318,0.833453453790993,0.999199716046925,0.917836749237494,0.999970326634593
"YDL192W","YDL192W","NS",1,1,1,0.0695822409203758,0.999996939341318,0.487222469482992,0.999199716046925,0.148636009361563,0.999970326634593
"YDL191W","YDL191W","NS",1,1,1,0.866875993928398,0.999996939341318,0.720899650204645,0.999199716046925,0.918719646546655,0.999970326634593
"YDL188C","YDL188C","NS",1,1,1,0.730363729020529,0.999996939341318,0.375987562526958,0.999199716046925,0.62951388868487,0.999970326634593
"YDL185W","YDL185W","NS",1,1,1,0.622824817594779,0.999996939341318,0.965144795248904,0.999199716046925,0.907064485120518,0.999970326634593
"YDL184C","YDL184C","NS",1,1,1,0.661577505047672,0.999996939341318,0.280667732186276,0.999199716046925,0.498320904719548,0.999970326634593
"YDL182W","YDL182W","NS",1,1,1,0.770437102945555,0.999996939341318,0.257162536722643,0.999199716046925,0.518865213642723,0.999970326634593
"YDL181W","YDL181W","NS",1,1,1,0.00248967374521647,0.999996939341318,0.22554113153832,0.999199716046925,0.00476444905910295,0.714389980289215
"YDL178W","YDL178W","NS",1,1,1,0.604600152472438,0.999996939341318,0.715146595924149,0.999199716046925,0.794907310481441,0.999970326634593
"YDL174C","YDL174C","NS",1,1,1,0.504381511738735,0.999996939341318,0.711014368248366,0.999199716046925,0.72638448769899,0.999970326634593
"YDL171C","YDL171C","NS",1,1,1,0.455104273988084,0.999996939341318,0.735426876553369,0.999199716046925,0.701031597062291,0.999970326634593
"YDL170W","YDL170W","NS",1,1,1,0.890729009513714,0.999996939341318,0.432099892339783,0.999199716046925,0.752376271066251,0.999970326634593
"YDL168W","YDL168W","NS",1,1,1,0.604054397755852,0.999996939341318,0.31365035746168,0.999199716046925,0.504644490175011,0.999970326634593
"YDL167C","YDL167C","NS",1,1,1,0.946089840297693,0.999996939341318,0.951610137022006,0.999199716046925,0.994856934115808,0.999970326634593
"YDL166C","YDL166C","NS",1,1,2,0.780500689183076,0.999996939341318,0.501465434984753,0.999199716046925,0.75853755480436,0.999970326634593
"YDL165W","YDL165W","NS",1,1,1,0.849798794692544,0.999996939341318,0.0989530913620005,0.999199716046925,0.292286247768519,0.999970326634593
"YDL159W","YDL159W","NS",1,1,1,0.651973268821488,0.999996939341318,0.561115050123634,0.999199716046925,0.73370574652133,0.999970326634593
"YDL157C","YDL157C","NS",1,1,1,0.353545504484495,0.999996939341318,0.785189030661652,0.999199716046925,0.633365022968838,0.999970326634593
"YDL147W","YDL147W","NS",1,1,1,0.852330726608135,0.999996939341318,0.979993908442804,0.999199716046925,0.985620416975702,0.999970326634593
"YDL144C","YDL144C","NS",1,1,4,0.773115436879702,0.999996939341318,0.664688716578183,0.999199716046925,0.856004314440698,0.999970326634593
"YDL143W","YDL143W","NS",2,1,1,0.312145150857176,0.999996939341318,0.112465943076933,0.999199716046925,0.152688438482259,0.999970326634593
"YDL140C","YDL140C","NS",1,1,1,0.929524424416465,0.999996939341318,0.734546691302767,0.999199716046925,0.943316606657185,0.999970326634593
"YDL137W","YDL137W","NS",1,1,1,0.912630863742425,0.999996939341318,0.699039500800386,0.999199716046925,0.924712323181858,0.999970326634593
"YDL136W","YDL136W","NS",1,1,1,0.862846273757916,0.999996939341318,0.844660278479406,0.999199716046925,0.959363991905676,0.999970326634593
"YDL135C","YDL135C","NS",1,1,1,0.919960887977044,0.999996939341318,0.845840608629783,0.999199716046925,0.973335572253281,0.999970326634593
"YDL134C","YDL134C","NS",1,1,1,0.331700927190808,0.999996939341318,0.457005003329374,0.999199716046925,0.437574103108834,0.999970326634593
"YDL133C.A","YDL133C.A","NS",1,1,1,0.837039771295932,0.999996939341318,0.413004211686237,0.999199716046925,0.712897995334392,0.999970326634593
"YDL133W","YDL133W","NS",1,1,1,0.624407992039328,0.999996939341318,0.415296186135199,0.999199716046925,0.609314497962575,0.999970326634593
"YDL131W","YDL131W","NS",1,1,1,0.167248924655256,0.999996939341318,0.436232548802399,0.999199716046925,0.263956387285065,0.999970326634593
"YDL130W.A","YDL130W.A","NS",1,1,1,0.533711522660431,0.999996939341318,0.85900207788502,0.999199716046925,0.816004267633249,0.999970326634593
"YDL130W","YDL130W","NS",1,1,1,0.144833734619729,0.999996939341318,0.255823915506021,0.999199716046925,0.15915416106932,0.999970326634593
"YDL128W","YDL128W","NS",1,1,1,0.567199750552821,0.999996939341318,0.196766807706253,0.999199716046925,0.356333641541857,0.999970326634593
"YDL126C","YDL126C","NS",1,1,1,0.251245616916136,0.999996939341318,0.413712599296275,0.999199716046925,0.33926194853063,0.999970326634593
"YDL125C","YDL125C","NS",1,1,1,0.591841291968184,0.999996939341318,0.359740425681599,0.999199716046925,0.542256264179177,0.999970326634593
"YDL124W","YDL124W","NS",1,1,1,0.600058593669875,0.999996939341318,0.879821174456025,0.999199716046925,0.865176345555185,0.999970326634593
"YDL123W","YDL123W","NS",1,1,1,0.381558022426453,0.999996939341318,0.65107221900871,0.999199716046925,0.594380788042815,0.999970326634593
"YDL122W","YDL122W","NS",1,1,1,0.505814062171548,0.999996939341318,0.891555710306782,0.999199716046925,0.810095134668748,0.999970326634593
"YDL121C","YDL121C","NS",1,1,1,0.975067893354614,0.999996939341318,0.883376919142184,0.999199716046925,0.989910605925296,0.999970326634593
"YDL120W","YDL120W","NS",1,1,1,0.542224025878074,0.999996939341318,0.0671594999502148,0.999199716046925,0.157051321426721,0.999970326634593
"YDL116W","YDL116W","NS",1,1,1,0.965474213169685,0.999996939341318,0.484915535146823,0.999199716046925,0.823477970278786,0.999970326634593
"YDL115C","YDL115C","NS",1,1,1,0.240430194418323,0.999996939341318,0.765909559079295,0.999199716046925,0.495728904572683,0.999970326634593
"YDL113C","YDL113C","NS",1,1,1,0.0362263011321036,0.999996939341318,0.632011286779907,0.999199716046925,0.109367305543565,0.999970326634593
"YDL111C","YDL111C","NS",1,1,1,0.707062466136536,0.999996939341318,0.402728078158695,0.999199716046925,0.64244182106755,0.999970326634593
"YDL110C","YDL110C","NS",1,1,1,0.389913353719753,0.999996939341318,0.338992115699746,0.999199716046925,0.399653259655303,0.999970326634593
"YDL103C","YDL103C","NS",1,1,1,0.287681494158191,0.999996939341318,0.0466671230574117,0.999199716046925,0.0712964507813257,0.999970326634593
"YDL100C","YDL100C","NS",1,1,1,0.572924137972107,0.999996939341318,0.589372369159265,0.999199716046925,0.70426894072213,0.999970326634593
"YDL099W","YDL099W","NS",1,1,1,0.910593100931818,0.999996939341318,0.678743480448655,0.999199716046925,0.915451350468806,0.999970326634593
"YDL097C","YDL097C","NS",1,1,1,0.371914809206745,0.999996939341318,0.264635385251361,0.999199716046925,0.326612093516115,0.999970326634593
"YDL095W","YDL095W","NS",1,1,1,0.730881480560789,0.999996939341318,0.491276118505258,0.999199716046925,0.726837597506288,0.999970326634593
"YDL092W","YDL092W","NS",1,1,3,0.847332979146689,0.999996939341318,0.32349646210942,0.999199716046925,0.628869223976888,0.999970326634593
"YDL088C","YDL088C","NS",1,1,1,0.0370136117888394,0.999996939341318,0.66930621354871,0.999199716046925,0.116385205436841,0.999970326634593
"YDL086W","YDL086W","NS",1,1,1,0.612738064508903,0.999996939341318,0.100182843243222,0.999199716046925,0.23268770141728,0.999970326634593
"YDL085C.A","YDL085C.A","NS",1,1,1,0.998420677866551,0.999996939341318,0.586483507469369,0.999199716046925,0.898942414109976,0.999970326634593
