"GeneNames" "GeneIndex" "ReferenceFreq"
"YDR129C" 159 0.0023
"YOR117W" 417 0.0018
"YHR121W" 2039 0.0032
"YDL095W" 66 0.002
"YOR197W" 449 0.0026
"YJR080C" 1692 0.0026
"YLR370C" 887 0.0028
"YFR047C" 2244 0.0021
"YBL058W" 1282 0.0019
"YLR100W" 791 0.002
"YOR103C" 416 0.0017
"YMR203W" 1220 0.0012
"YPL198W" 945 0.0023
"YNL091W" 1528 0.0022
"YPL019C" 1006 0.0024
"YLR023C" 756 0.0015
"YBL032W" 1298 0.0013
"YJL012C" 1657 0.0023
"YIL077C" 2097 0.002
"YKL002W" 1819 0.0023
"YNL149C" 1503 0.0021
"YGR082W" 642 0.0018
"YMR255W" 1235 0.0024
"YGR087C" 645 0.0024
"YOR039W" 386 0.0025
"YCL030C" 2156 0.0022
"YBL039W.B" 1293 0.0027
"YGL019W" 600 0.0031
"YER055C" 1922 0.0024
"YGR231C" 704 0.0021
"YHR190W" 2059 0.0021
"YIL118W" 2086 0.002
"YOL048C" 356 0.0018
"YLR309C" 858 0.0019
"YPL203W" 942 0.0018
"YFL017W.A" 2214 0.0029
"YPR082C" 1044 0.0025
"YML092C" 1103 0.002
"YGR201C" 689 0.0019
"YJR007W" 1663 0.0024
"YML098W" 1102 0.0025
"YGR169C.A" 675 0.0023
"YBL059C.A" 1280 0.0021
"YML070W" 1113 0.0025
"YLR192C" 814 0.0026
"YJL117W" 1627 0.0023
"YOR232W" 463 0.0025
"YBL050W" 1286 0.0026
"YDR231C" 202 0.0024
"YER079W" 1936 0.0032
"YDL123W" 56 0.0017
"YKR071C" 1852 0.0017
"YGL215W" 531 0.0022
"YER125W" 1956 0.0017
"YMR183C" 1206 0.0023
"YER145C" 1964 0.0017
"YPR163C" 1076 0.0011
"YBR066C" 1341 0.001
"YMR038C" 1153 0.0021
"YEL002C" 1892 0.0021
"YLR264W" 840 0.0025
"YBR177C" 1388 0.0021
"YOR259C" 473 0.0021
"YFL017C" 2215 0.0029
"YOR089C" 406 0.0019
"YLR208W" 818 0.0018
"YMR171C" 1201 0.0027
"YIL050W" 2110 0.0022
"YML048W" 1121 0.0023
"YDR368W" 250 0.0017
"YDR212W" 196 0.0028
"YHR009C" 1995 0.0025
"YDR238C" 206 0.0016
"YNL098C" 1526 0.0027
