"GeneNames" "GeneIndex" "ReferenceFreq"
"YEL066W" 1865 0.0024
"YJR070C" 1685 0.0022
"YDR098C" 150 0.0017
"YLR170C" 803 0.002
"YLR367W" 886 0.002
"YNL307C" 1444 0.0025
"YLR345W" 875 0.002
"YPL237W" 924 0.0021
"YBR206W" 1397 0.0034
"YNL004W" 1559 0.0023
"YGL221C" 527 0.0023
"YCR002C" 2167 0.0022
"YNR035C" 1575 0.0021
"YGR295C" 730 0.0027
"YOR317W" 495 0.0013
"YGL226C.A" 523 0.003
"YJR051W" 1678 0.0024
"YDL200C" 16 0.0027
"YCR069W" 2191 0.002
"YNL113W" 1517 0.0024
"YML022W" 1130 0.0023
"YHR068W" 2016 0.0017
"YOL059W" 351 0.0023
"YNL315C" 1440 0.0024
"YPR082C" 1044 0.0027
"YPL186C" 948 0.002
"YPR002W" 1012 0.0021
"YDR353W" 242 0.0029
"YDL064W" 85 0.0022
"YIL109C" 2087 0.0032
"YDR188W" 189 0.0022
"YPR151C" 1070 0.0016
"YPR062W" 1035 0.0022
"YOR344C" 501 0.0023
"YCL011C" 2161 0.0012
"YER052C" 1921 0.0021
"YPR148C" 1068 0.0016
"YPR098C" 1047 0.0018
"YLR311C" 859 0.0031
"YGR054W" 633 0.0028
"YBL032W" 1298 0.0019
"YLR297W" 851 0.0028
"YML008C" 1135 0.0021
"YMR171C" 1201 0.0023
"YDR056C" 135 0.0026
"YKL039W" 1797 9e-04
"YOR232W" 463 0.0021
"YGL002W" 608 0.001
"YGR130C" 658 0.0018
"YMR183C" 1206 0.0013
"YDL020C" 101 0.0024
"YPR133C" 1059 0.0017
"YML019W" 1131 0.0031
"YJR137C" 1713 0.0017
"YKR067W" 1848 0.0022
"YPL015C" 1007 0.0023
"YPL053C" 995 0.0018
"YOL077C" 345 0.0021
"YHR132C" 2040 0.0019
"YGL127C" 560 0.002
"YOR210W" 453 0.0021
"YDL157C" 36 0.0029
"YNL219C" 1475 0.0016
"YNL056W" 1541 0.0022
"YDL002C" 109 0.0023
"YNL281W" 1453 0.0033
"YBR234C" 1407 0.0029
"YEL001C" 1893 8e-04
"YGR019W" 616 0.0024
"YER148W" 1966 0.0033
"YBL051C" 1285 0.0028
"YIL075C" 2099 0.0018
"YBR062C" 1340 0.0021
"YOR253W" 471 0.002
"YKR076W" 1854 0.0029
"YLR074C" 782 0.0016
"YBR094W" 1353 0.0016
"YPL010W" 1009 0.0025
"YHR025W" 2003 0.0026
"YLR370C" 887 0.0021
"YJL205C" 1586 0.0021
"YJL096W" 1634 0.0022
"YJL008C" 1658 0.0021
"YBR151W" 1378 0.0018
"YHL032C" 1981 0.0017
"YKL007W" 1814 0.0018
"YPR170W.B" 1081 0.0031
"YGL234W" 519 0.0024
"YPL274W" 914 0.0022
"YHR097C" 2027 0.0023
"YDL140C" 43 0.0024
"YJR014W" 1667 0.0026
"YBR058C.A" 1339 0.0029
"YBR154C" 1379 0.0028
"YIR003W" 2130 0.0021
"YOR016C" 376 0.0024
"YDR129C" 159 0.0019
"YGR014W" 614 0.002
"YIL033C" 2120 0.0026
"YGR178C" 679 0.0027
"YBR121C" 1363 0.002
"YGL087C" 575 0.0019
"YEL002C" 1892 0.0027
"YPR167C" 1079 0.0019
"YJR148W" 1717 0.002
"YOL108C" 333 0.0024
"YNL156C" 1499 0.0022
"YER056C" 1923 0.0018
"YOR361C" 508 0.0029
"YPL190C" 946 0.0012
"YCR011C" 2174 0.0018
"YER125W" 1956 0.0029
"YGL186C" 543 0.0026
"YPR029C" 1023 0.0023
"YCR034W" 2184 0.002
"YBR049C" 1334 0.0018
"YOR267C" 476 0.002
"YFR052W" 2248 0.0024
"YBR034C" 1326 0.0026
"YBR082C" 1347 0.0018
"YGR132C" 659 0.0022
"YMR096W" 1175 0.0023
"YMR189W" 1210 0.0021
"YDR001C" 111 0.002
"YLR026C" 758 0.0025
"YPL138C" 964 0.0019
"YKL148C" 1745 0.0025
"YCL050C" 2149 0.0026
"YFL041W" 2203 0.0031
"YGL122C" 562 0.003
"YMR197C" 1216 0.0031
"YGR105W" 648 0.0024
"YJR113C" 1704 0.0025
"YOR259C" 473 0.0016
"YLR250W" 831 0.0017
"YIL106W" 2088 0.0021
"YML106W" 1099 0.002
"YIL021W" 2124 0.0018
"YEL042W" 1874 0.0028
"YJR060W" 1681 0.0023
"YDR427W" 273 0.0019
"YCR043C" 2186 0.0021
"YJL124C" 1623 0.0029
"YPL066W" 989 0.0027
"YPR033C" 1024 0.0023
"YOR168W" 438 0.0012
"YGR232W" 705 0.0024
"YJR058C" 1679 0.0016
"YEL044W" 1873 0.0014
"YLL055W" 734 0.0026
"YNR002C" 1563 0.0014
"YMR244C.A" 1231 0.0017
"YLR193C" 815 0.0026
"YKR049C" 1841 0.0018
"YHR176W" 2056 0.0033
"YEL072W" 1862 0.004
"YDR238C" 206 0.0024
"YMR194C.B" 1213 0.0026
"YLR099W.A" 790 0.0026
"YNL180C" 1487 0.0016
"YPL118W" 971 0.0033
"YMR302C" 1256 0.0016
"YJL191W" 1591 0.003
"YLR356W" 880 0.0025
"YAL008W" 2274 0.0021
"YGR094W" 647 0.0023
"YFR014C" 2227 0.0022
"YJL020C" 1655 0.0018
"YHR208W" 2066 0.0019
"YNL305C" 1446 0.0026
"YLR438W" 906 0.0019
"YDR234W" 205 0.0018
"YNL138W" 1506 0.002
"YBR143C" 1374 0.0024
