"GeneNames" "GeneIndex" "ReferenceFreq"
"YOL092W" 350 0.002
"YJL196C" 1651 0.0014
"YJR143C" 1787 0.0025
"YDR321W" 237 0.0016
"YLR168C" 831 0.0018
"YNL157W" 1549 0.0026
"YFR004W" 2330 0.0029
"YKL068W.A" 1853 0.0014
"YLL014W" 767 0.0024
"YML009C" 1179 0.002
"YDR156W" 170 0.0027
"YDL007W" 104 0.0016
"YIL118W" 2188 0.0016
"YDR171W" 179 0.0012
"YKR092C" 1927 0.0014
"YMR304C.A" 1299 0.0021
"YCL011C" 2266 0.002
"YER136W" 2043 0.0015
"YOR209C" 471 0.0016
"YMR131C" 1230 0.0024
"YIL027C" 2220 0.002
"YJL140W" 1677 0.0022
"YDR272W" 218 0.0025
"YDR245W" 208 0.0016
"YDL052C" 88 0.0022
"YDR388W" 266 0.0017
"YER148W" 2048 0.0021
"YMR203W" 1258 0.0014
"YNR046W" 1639 0.0022
"YDR397C" 270 0.0016
"YFR011C" 2334 0.0027
"X21S_rRNA" 2383 0.0022
"YOR103C" 427 0.0015
"YKL067W" 1854 0.0019
"YFL017C" 2323 0.0029
"YBR291C" 1480 0.002
"YML079W" 1149 0.0019
"YER070W" 2006 0.0023
"YBR126W.A" 1410 0.0018
"YJR137C" 1784 0.002
"YGL137W" 584 0.0021
"YLR074C" 805 0.0019
"YER122C" 2035 0.002
"YER007C.A" 1971 0.0018
"YGL087C" 601 0.0021
"YNL110C" 1571 0.0022
"YKR080W" 1922 0.0032
"YER110C" 2029 0.0019
"YDR056C" 130 0.0021
"YIL138C" 2178 0.0022
"YPR100W" 1085 0.0026
"YLL041C" 756 0.0025
"YDL128W" 52 0.0017
"YDL092W" 68 0.0024
"YGR207C" 718 0.0022
"YNL153C" 1552 0.0014
"YNL281W" 1503 0.0022
"YNL306W" 1492 0.0014
"YLR295C" 885 0.0017
"YDR178W" 183 0.0023
"YDR177W" 182 0.0021
"YDR188W" 185 0.002
"YJL124C" 1687 0.0021
"YGR108W" 673 0.0029
"YGR264C" 743 0.0019
"YIR022W" 2236 0.0015
"YOR020W.A" 393 0.0028
"YNL024C.A" 1612 0.0017
"YIL088C" 2195 0.0024
"YGL231C" 553 0.0021
"YHR063C" 2107 0.0015
"YOL140W" 332 0.0021
"YJR133W" 1782 0.0013
"YER074W.A" 2011 0.0025
"YBR248C" 1458 0.0019
"YDR404C" 273 0.0021
"YPR088C" 1081 0.0015
"YOR246C" 488 0.0022
"YNL327W" 1484 0.0022
"YJL173C" 1664 0.0022
"YBR036C" 1369 0.0021
"YLR065C" 802 0.0019
"YGR008C" 640 0.0024
"YDR452W" 290 0.0017
"YGL198W" 569 0.0029
"YDL121C" 57 0.0014
"YNR067C" 1645 0.0022
"YBR244W" 1455 0.0023
"YHR215W" 2166 0.0021
"YAL042W" 2359 0.0019
"YDR092W" 150 0.0031
"YOR099W" 425 0.0021
"YKL077W" 1851 0.002
"YMR290C" 1292 0.0018
"YER048W.A" 1991 0.0024
"YML048W" 1166 0.0025
"YNL248C" 1513 0.0017
"YCR088W" 2305 0.0023
"YOR061W" 409 0.0021
"YJL122W" 1689 0.0029
"YPR010C.A" 1052 0.002
"YNL189W" 1538 0.0029
