"GeneNames" "GeneIndex" "ReferenceFreq"
"YML072C" 1154 0.0023
"YER006W" 1970 0.0022
"YGR132C" 684 0.0018
"YKL066W" 1855 0.0019
"YPL250C" 955 0.0024
"YGR125W" 681 0.0029
"YML009C" 1179 0.0019
"YHR028C" 2092 0.0016
"YKL058W" 1859 0.0024
"YFR047C" 2346 0.0014
"YKR046C" 1908 0.0027
"YGL020C" 627 0.0022
"YMR311C" 1305 0.002
"YAL044W.A" 2357 0.0021
"YGL019W" 628 0.0013
"YDR368W" 257 0.0016
"YLR009W" 774 0.0022
"YGR264C" 743 0.0021
"YNL121C" 1565 0.0023
"YAL049C" 2355 0.0016
"YBR122C" 1407 0.0018
"YNL157W" 1549 0.002
"YNL147W" 1555 0.0018
"YDR156W" 170 0.0021
"YOR185C" 461 0.0018
"YFR011C" 2334 0.0024
"YDR394W" 268 0.0016
"YER007C.A" 1971 0.0022
"YLR194C" 844 0.0027
"YNL110C" 1571 0.0023
"YBR126W.A" 1410 0.0021
"YOR020W.A" 393 0.0027
"YMR088C" 1214 0.0017
"YKL157W" 1818 0.0025
"YPR118W" 1094 0.0022
"YMR276W" 1289 0.0016
"YER070W" 2006 0.0016
"YGR181W" 704 0.0019
"YJR025C" 1737 0.0021
"YLR257W" 867 0.0021
"YOR259C" 495 0.0024
"YFL017C" 2323 0.0019
"YJL080C" 1700 0.0018
"YGL157W" 581 0.0025
"YHR110W" 2130 0.0021
"YKR001C" 1891 0.0024
"YFR004W" 2330 0.0015
"YDR177W" 182 0.0033
"YDR100W" 153 0.003
"YOL111C" 343 0.0018
"YJL196C" 1651 0.0011
"YMR215W" 1262 0.0018
"YGL215W" 561 0.0031
"YML079W" 1149 0.0018
"YDR339C" 242 0.0031
"YML125C" 1130 0.0014
"YPR110C" 1090 0.0022
"YDR452W" 290 0.002
"YPR016C" 1053 0.0015
"YGR284C" 751 0.003
"YIL021W" 2222 0.002
"YOR039W" 399 0.0018
"YDR321W" 237 0.0017
"YNL306W" 1492 0.0019
"YPR010C.A" 1052 0.0022
"YLR186W" 840 0.0019
"YNL308C" 1490 0.0021
"YEL060C" 1934 0.0014
"YLR348C" 904 0.0014
"YLR370C" 915 0.0023
"YGL209W" 565 0.0015
"YGR232W" 728 0.0021
"YDL012C" 101 0.0024
"YDR171W" 179 0.0019
"YLR065C" 802 0.0017
"YOR061W" 409 0.002
"YBR199W" 1441 0.0026
"YMR074C" 1211 0.0028
"YKL077W" 1851 0.0019
"YDL236W" 2 0.0021
"YBR151W" 1422 0.0012
"YOL064C" 358 0.0026
"YGR108W" 673 0.0016
"YBR187W" 1436 0.0017
"YER048W.A" 1991 0.0026
"YGL137W" 584 0.0023
"YER125W" 2037 0.0018
"YPL059W" 1028 0.0014
"YDL052C" 88 0.0025
"YOL140W" 332 0.0019
"YOR168W" 455 0.0029
"YJR017C" 1736 0.0023
"YGL028C" 624 0.002
"YJR075W" 1757 0.002
"YER083C" 2014 0.0021
"YCL011C" 2266 0.0016
"YDR404C" 273 0.0013
"YBR263W" 1467 0.0023
"YHR049W" 2101 0.0023
"YLR172C" 833 0.0023
"YER067W" 2003 0.0024
"YGR244C" 735 0.0025
"YGR001C" 637 0.0022
"YEL046C" 1941 0.0024
"YHR104W" 2127 0.0024
"YBR036C" 1369 0.002
"YCR082W" 2303 0.0018
"YNL307C" 1491 0.0025
"YER122C" 2035 0.0019
"YAL042W" 2359 0.0021
"YER004W" 1969 0.0016
"YKL033W.A" 1869 0.003
"YLL014W" 767 0.0023
"YDR238C" 207 0.0021
"YJR076C" 1758 0.0028
"YNL002C" 1621 0.0022
"YOR145C" 443 0.0025
"YKL216W" 1792 0.002
"YDR341C" 243 0.0021
"YHR063C" 2107 0.0016
"YDL237W" 1 0.0029
"YEL020W.A" 1955 0.0024
"YDR272W" 218 0.0018
"YDR533C" 326 0.0014
"YJR044C" 1740 0.0018
"YOR091W" 418 0.0015
"YGR207C" 718 0.002
"YPL183W.A" 984 0.0021
"YDR234W" 204 0.0029
"YBL064C" 1322 0.0022
"YKR092C" 1927 0.002
"YBR291C" 1480 0.0024
"YER090W" 2019 0.0028
"YBL024W" 1342 0.0017
"YDL070W" 80 0.0025
"YNR043W" 1638 0.0026
"YHR042W" 2099 0.0022
"YHR108W" 2129 0.002
"YGR063C" 655 0.0021
"YDL135C" 46 0.0026
"YMR292W" 1293 0.0022
"YOR361C" 537 0.0029
"YJL097W" 1696 0.002
"YIL111W" 2190 0.0029
"YJL174W" 1663 0.0029
"YOL026C" 375 0.0016
"YPL232W" 965 0.0017
"YJR152W" 1791 0.002
"YLR351C" 906 0.0019
"YJR074W" 1756 0.002
"YDR487C" 307 0.0019
"YIL142W" 2177 0.0017
"YPL091W" 1015 0.0027
"YGL001C" 636 0.0027
"YNR018W" 1629 0.0025
"YDR127W" 159 0.0023
"YIL035C" 2217 0.0022
"YBR248C" 1458 0.002
"YBR101C" 1397 0.0012
"YHR138C" 2142 0.0016
"YDR084C" 144 0.0026
"YBR035C" 1368 0.0023
"YAL036C" 2363 0.0026
"YDL051W" 89 0.0021
"YDR342C" 244 0.0022
"YCR088W" 2305 0.0031
"YJL078C" 1702 0.0017
"YNL169C" 1546 0.0021
"YER156C" 2053 0.0016
"YJL104W" 1694 0.0021
"YKL190W" 1804 0.0021
"YDR098C" 151 0.0021
"YLR113W" 821 0.0014
"YDL120W" 58 0.0017
"YDR152W" 167 0.002
"YIL010W" 2227 0.0016
"YCL050C" 2251 0.002
"YGL068W" 608 0.0015
"YLR028C" 784 0.002
"YER159C" 2054 0.0028
"YPR088C" 1081 0.0031
"YPL189C.A" 982 0.0027
"YKL103C" 1842 0.0021
"YHR025W" 2089 0.0029
"YOR197W" 465 0.002
"YOR157C" 448 0.0016
"YIR022W" 2236 0.0021
"YDL053C" 87 0.0025
"YOR271C" 502 0.0026
"YHR070W" 2113 0.002
"YNL112W" 1569 0.0022
"YOR327C" 529 0.0019
"YLR053C" 795 0.0022
"YER145C" 2046 0.0023
"YNL024C.A" 1612 0.0015
"YPL211W" 975 0.0028
"YDL092W" 68 0.0024
