"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj","zero.pvalue","zero.pvalue.adj","combined.pvalue","combined.pvalue.adj"
"YDL237W","YDL237W","NS",1,1,1,0.267320188095501,0.999980300072944,0.624139993801656,0.99331411563154,0.465613074856096,0.999981834370818
"YDL236W","YDL236W","NS",1,2,1,0.288067652046751,0.999980300072944,0.347763061266076,0.99331411563154,0.330671175764276,0.999981834370818
"YDL235C","YDL235C","NS",1,1,1,0.0238405580312474,0.999980300072944,0.372757315235881,0.99331411563154,0.0508605573034611,0.999981834370818
"YDL232W","YDL232W","NS",1,1,1,0.969807698101722,0.999980300072944,0.242898848856155,0.99331411563154,0.576137682808518,0.999981834370818
"YDL229W","YDL229W","NS",1,1,1,0.191627310450089,0.999980300072944,0.329076036679979,0.99331411563154,0.237336821447451,0.999981834370818
"YDL226C","YDL226C","NS",1,1,1,0.694872929410299,0.999980300072944,0.462974102135122,0.99331411563154,0.686560767709145,0.999981834370818
"YDL224C","YDL224C","NS",1,2,1,0.381999350860183,0.999980300072944,0.602956280690922,0.99331411563154,0.568508625971786,0.999981834370818
"YDL219W","YDL219W","NS",1,1,1,0.73164110275766,0.999980300072944,0.168047190613474,0.99331411563154,0.380650920858095,0.999981834370818
"YDL213C","YDL213C","NS",1,1,1,0.985260030934142,0.999980300072944,0.359280986701334,0.99331411563154,0.721598887937276,0.999981834370818
"YDL212W","YDL212W","NS",1,1,1,0.716991567622539,0.999980300072944,0.669199174528754,0.99331411563154,0.832165833601041,0.999981834370818
"YDL208W","YDL208W","NS",1,1,1,0.576138750563777,0.999980300072944,0.325774095601005,0.99331411563154,0.50169034805906,0.999981834370818
"YDL207W","YDL207W","NS",1,1,1,0.819757096662736,0.999980300072944,0.880039898514033,0.99331411563154,0.956987662478701,0.999981834370818
"YDL201W","YDL201W","NS",1,2,1,0.681408913434172,0.999980300072944,0.484097712373223,0.99331411563154,0.695712846521199,0.999981834370818
"YDL200C","YDL200C","NS",2,2,1,0.553106565876734,0.999980300072944,0.81922424148056,0.99331411563154,0.811807675953379,0.999981834370818
"YDL198C","YDL198C","NS",1,1,1,0.128693334320925,0.999980300072944,0.179738783163964,0.99331411563154,0.110256488749997,0.999981834370818
"YDL195W","YDL195W","NS",1,1,1,0.296756421164588,0.999980300072944,0.388419128975301,0.99331411563154,0.364299386368364,0.999981834370818
"YDL192W","YDL192W","NS",1,1,1,0.987714700303303,0.999980300072944,0.989341672258373,0.998837111821253,0.999737789088351,0.999981834370818
"YDL191W","YDL191W","NS",1,1,1,0.700997863393041,0.999980300072944,0.84285178606683,0.99331411563154,0.901744511502307,0.999981834370818
"YDL189W","YDL189W","NS",1,1,1,0.315835768773677,0.999980300072944,0.838229295797681,0.99331411563154,0.616585044130537,0.999981834370818
"YDL188C","YDL188C","NS",2,1,1,0.628036627728536,0.999980300072944,0.259423234899349,0.99331411563154,0.458550921747074,0.999981834370818
"YDL185W","YDL185W","NS",1,1,1,0.234023937361208,0.999980300072944,0.0966810159558268,0.99331411563154,0.108346878814961,0.999981834370818
"YDL184C","YDL184C","NS",1,1,1,0.509326447613019,0.999980300072944,0.443926525943793,0.99331411563154,0.562265717236693,0.999981834370818
"YDL182W","YDL182W","NS",1,1,1,0.944808405272881,0.999980300072944,0.646888447534575,0.99331411563154,0.912105663529253,0.999981834370818
"YDL181W","YDL181W","NS",1,1,1,0.681944103761954,0.999980300072944,0.6825681896418,0.99331411563154,0.821421024631379,0.999981834370818
"YDL180W","YDL180W","NS",1,1,1,0.0818740151631395,0.999980300072944,0.579858761007316,0.99331411563154,0.192158644586166,0.999981834370818
"YDL178W","YDL178W","NS",1,1,1,0.475861276855467,0.999980300072944,0.523477057900321,0.99331411563154,0.595327724187306,0.999981834370818
"YDL174C","YDL174C","NS",1,1,1,0.12876918008451,0.999980300072944,0.403056657696001,0.99331411563154,0.205446626763364,0.999981834370818
"YDL171C","YDL171C","NS",1,1,1,0.17642352502633,0.999980300072944,0.480166750675657,0.99331411563154,0.293825157988891,0.999981834370818
"YDL170W","YDL170W","NS",2,1,2,0.601943690632742,0.999980300072944,0.755219818205424,0.99331411563154,0.81297801326083,0.999981834370818
"YDL168W","YDL168W","NS",1,1,1,0.947846099451171,0.999980300072944,0.485983392797415,0.99331411563154,0.817697810252893,0.999981834370818
"YDL167C","YDL167C","NS",1,2,1,0.0861650504629313,0.999980300072944,0.483793420926112,0.99331411563154,0.174147282748298,0.999981834370818
