"GeneNames" "GeneIndex" "ReferenceFreq"
"YEL011W" 1061 0.003
"YIL051C" 1204 0.0041
"YGR067C" 339 0.0037
"YBR035C" 754 0.0033
"YDL130W.A" 27 0.004
"YOR248W" 251 0.0033
"YOR185C" 234 0.0035
"YPL078C" 557 0.0037
"YER036C" 1078 0.005
"YIL101C" 1192 0.0056
"YHR033W" 1147 0.0048
"YLR330W" 481 0.0032
"YGR185C" 363 0.003
"YCL030C" 1225 0.0026
"YOL012C" 198 0.0036
"YHR019C" 1139 0.0039
"YNL010W" 890 0.0047
"YPR113W" 598 0.0035
"YDR483W" 149 0.004
"YBR221C" 809 0.0041
"YJL001W" 948 0.0038
"YLL023C" 400 0.0043
"YOR020W.A" 201 0.0038
"YPR062W" 584 0.0032
"YPR160W" 606 0.0046
"YMR314W" 717 0.003
"YBL050W" 729 0.004
"YDL212W" 7 0.0039
"YML052W" 640 0.0033
"YEL012W" 1060 0.005
"YIL123W" 1187 0.0041
"YOR007C" 199 0.0037
"YIL033C" 1211 0.0046
"YDL131W" 26 0.0033
"YLR197W" 448 0.0025
"YJR016C" 953 0.004
"YCL043C" 1221 0.0039
"YGR135W" 350 0.0043
"YDR381W" 134 0.0042
"YOR234C" 248 0.0048
"YPL189C.A" 535 0.0036
"YBR039W" 756 0.0048
"YJL172W" 914 0.0045
"YJR105W" 968 0.0039
"YMR217W" 696 0.0046
"YLL027W" 397 0.0049
"YOL139C" 171 0.0037
"YGL080W" 308 0.0044
"YLR180W" 441 0.0041
"YKL085W" 1005 0.0034
"YDL215C" 5 0.0051
"YDR153C" 95 0.0032
"YOL123W" 176 0.0037
"YDR454C" 146 0.0041
"YJR073C" 960 0.0039
"YKL013C" 1023 0.004
"YKR043C" 1034 0.0034
"YJL174W" 913 0.0049
"YBR214W" 808 0.0039
"YDR298C" 120 0.0027
"YER148W" 1118 0.0037
"YKL081W" 1006 0.0029
"YDR003W.A" 65 0.0039
"YDR516C" 157 0.0033
"YPL239W" 520 0.0038
"YER063W" 1089 0.0042
"YGR182C" 362 0.0036
"YOR184W" 233 0.0044
"YLR264W" 465 0.0039
"YNL112W" 864 0.0033
"YML081C.A" 629 0.0038
"YBR199W" 806 0.0051
"YHR071W" 1155 0.0035
"YDL126C" 30 0.0034
