"GeneNames" "GeneIndex" "ReferenceFreq"
"YPR074C" 588 0.0033
"YPL010W" 566 0.0027
"YKL196C" 980 0.0042
"YDR529C" 162 0.0041
"YDL212W" 7 0.0051
"YOR136W" 223 0.003
"YGR210C" 370 0.0036
"YKL103C" 998 0.0038
"YGL200C" 292 0.0041
"YJR085C" 962 0.0035
"YHR208W" 1179 0.0029
"YGR253C" 383 0.0041
"YDL204W" 9 0.0038
"YJL167W" 916 0.0037
"YOR276W" 257 0.0032
"YMR146C" 680 0.0041
"YJL151C" 921 0.0034
"YGR285C" 390 0.0037
"YER025W" 1074 0.0033
"YEL012W" 1060 0.0037
"YDR035W" 74 0.0047
"YLR421C" 503 0.0041
"YMR123W" 676 0.003
"YDR023W" 69 0.0046
"YER148W" 1118 0.0035
"YOR020W.A" 201 0.0047
"YPR113W" 598 0.0046
"YMR195W" 690 0.0047
"YER003C" 1066 0.0042
"YPR069C" 587 0.0039
"YER073W" 1095 0.0042
"YGL054C" 313 0.0029
"YKL120W" 996 0.0042
"YHR179W" 1173 0.0045
"YPL231W" 525 0.0058
"YMR011W" 653 0.0043
"YOR142W" 224 0.0025
"YLR432W" 504 0.0031
"YDR233C" 111 0.0042
"YML008C" 646 0.0042
"YHR138C" 1166 0.004
"YER086W" 1099 0.0044
"YPR167C" 609 0.0042
"YKL066W" 1010 0.0039
"YOR348C" 275 0.0026
"YCL030C" 1225 0.0044
"YMR090W" 666 0.0029
"YOL123W" 176 0.003
"YBR287W" 819 0.0037
"YDL015C" 57 0.0032
"YPL127C" 544 0.0041
"YGL225W" 286 0.0041
"YIL051C" 1204 0.0037
"YDR377W" 132 0.0052
"YJL034W" 941 0.0042
"YCL035C" 1223 0.0027
"YLR294C" 471 0.0033
"YNL006W" 892 0.004
"YOL129W" 173 0.0044
"YNL156C" 852 0.005
"YBL043W" 731 0.0041
"YIL165C" 1180 0.0036
"YDL110C" 34 0.004
"YJL191W" 909 0.0039
"YAR015W" 1296 0.0029
"YMR226C" 698 0.004
"YBL056W" 728 0.0045
"YGR037C" 334 0.0038
"YDL020C" 56 0.0034
"YDR322C.A" 122 0.0037
"YGR244C" 380 0.0037
"YHR071W" 1155 0.0041
"YOR261C" 253 0.0043
"YFL034C.A" 1250 0.0039
"YNL112W" 864 0.0027
"YKR059W" 1038 0.0041
"YKL150W" 993 0.0032
"YKL009W" 1024 0.0034
"YML053C" 639 0.0042
"YPL048W" 561 0.0037
"YEL051W" 1048 0.0039
"YMR202W" 693 0.0045
"YDL181W" 18 0.0036
"YPR165W" 608 0.0045
"YER057C" 1087 0.0041
"YGL215W" 289 0.0038
"YER036C" 1078 0.0039
"YJR045C" 956 0.0041
"YER065C" 1090 0.0032
"YMR217W" 696 0.0032
"YMR194W" 689 0.0043
"YJR016C" 953 0.0037
"YNL010W" 890 0.0048
"YOR247W" 250 0.0046
"YGL011C" 321 0.0045
"YJL133C.A" 927 0.0045
"YNL157W" 851 0.0044
"YDR019C" 68 0.0038
"YJL144W" 922 0.0046
"YIL101C" 1192 0.004
"YOR128C" 221 0.0042
"YPR030W" 574 0.0027
"YHR007C" 1134 0.0037
"YGR182C" 362 0.0037
"YGR175C" 359 0.0029
"YLR074C" 417 0.0039
"YBR256C" 814 0.0026
"YGL245W" 282 0.0038
"YDL004W" 61 0.0035
"YLL027W" 397 0.0036
"YKL068W.A" 1008 0.0033
"YOR220W" 242 0.0043
"YDL185W" 15 0.0042
"YCR043C" 1242 0.0034
"YDR032C" 71 0.0043
"YBR036C" 755 0.0037
"YHL034C" 1125 0.0048
"YER023W" 1073 0.0054
"YHR019C" 1139 0.0025
"YGL191W" 294 0.0041
"YBR249C" 812 0.0041
"YKR046C" 1035 0.0044
"YGR130C" 348 0.0039
"YBR121C" 778 0.0034
"YOR246C" 249 0.0035
"YDR378C" 133 0.0036
"YCL057C.A" 1219 0.0049
"YAL060W" 1279 0.0045
"YJR077C" 961 0.0037
"YMR256C" 706 0.0052
"YKL007W" 1026 0.0032
"YCR005C" 1234 0.0043
"YLR179C" 440 0.0039
"YEL046C" 1049 0.0034
"YDL126C" 30 0.0046
"YKL192C" 981 0.0049
"YLR216C" 451 0.0055
"YLR359W" 491 0.0027
"YDL136W" 23 0.005
"YOR234C" 248 0.0042
"YBR090C" 770 0.0032
"YMR107W" 670 0.0042
"YDR381W" 134 0.0038
"YLR060W" 413 0.0051
"YLR175W" 437 0.0036
"YDR454C" 146 0.0037
"YLR304C" 477 0.0033
"YPR063C" 585 0.0043
"YJL172W" 914 0.0039
"YNL104C" 865 0.0048
"YGR155W" 353 0.0049
"YHR072W.A" 1156 0.0048
"YBR212W" 807 0.0042
"YOR344C" 274 0.004
"YML100W" 625 0.0026
"YLR197W" 448 0.0033
"YGR248W" 381 0.0036
"YPR033C" 575 0.0053
"YKL080W" 1007 0.0044
"YIL041W" 1207 0.0034
"YDR483W" 149 0.0037
"YLR180W" 441 0.005
"YIL088C" 1194 0.0026
"YDR536W" 164 0.0038
"YBR025C" 750 0.0032
"YLR043C" 408 0.0048
"YNL241C" 836 0.0039
"YJR070C" 959 0.0034
"YKL067W" 1009 0.0034
"YFL037W" 1249 0.0036
"YFR050C" 1273 0.0041
"YER136W" 1114 0.0037
"YER053C" 1083 0.0029
"YOR224C" 244 0.0031
"YAR002C.A" 1295 0.0035
"YKR066C" 1039 0.0028
"YML012W" 645 0.0036
"YMR315W" 718 0.0037
"YLR056W" 411 0.003
"YGR106C" 345 0.0045
"YJL200C" 906 0.0036
"YLR190W" 444 0.0047
"YNL149C" 853 0.0034
"YJL121C" 930 0.0034
"YJL001W" 948 0.0036
"YDR298C" 120 0.004
"YLR354C" 488 0.0033
"YIL124W" 1186 0.0044
"YLR367W" 493 0.0037
"YPL117C" 546 0.0048
"YLR342W" 484 0.0035
"YFL018C" 1253 0.0032
"YHR143W" 1168 0.0045
"YPL218W" 530 0.0043
"YGR020C" 330 0.0041
"YHR005C.A" 1133 0.0028
"YPR020W" 570 0.0043
"YGL026C" 319 0.0039
"YFL005W" 1258 0.0039
"YDL198C" 10 0.0045
"YBR126W.A" 781 0.0028
"YMR083W" 665 0.0044
"YGR060W" 336 0.0038
"YLR259C" 464 0.0038
"YJL060W" 938 0.0037
"YPL271W" 512 0.0026
"YOR283W" 259 0.0037
"YOL030W" 196 0.0039
"YOR285W" 260 0.0038
"YLR301W" 475 0.004
"YBR139W" 785 0.0022
"YBL001C" 742 0.0033
"YLR378C" 497 0.0031
"YJL140W" 924 0.0037
"YBR149W" 789 0.0048
"YLR297W" 473 0.0042
"YER087C.B" 1100 0.0035
"YDR178W" 103 0.0048
"YIL062C" 1199 0.0043
"YNL044W" 883 0.0029
"YLR372W" 495 0.0049
"YBR052C" 759 0.0046
"YKL160W" 989 0.0035
"YLR258W" 463 0.0042
"YBR283C" 817 0.0038
"YDL075W" 44 0.004
"YML081C.A" 629 0.0038
"YLR264W" 465 0.0032
"YNL052W" 882 0.0037
"YBR101C" 771 0.0032
"YHL021C" 1128 0.004
"YFR033C" 1268 0.0043
"YER081W" 1098 0.0035
"YLR027C" 404 0.0026
"YNL141W" 855 0.0044
"YBR116C" 776 0.0044
"YDL147W" 20 0.0033
