"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj","zero.pvalue","zero.pvalue.adj","combined.pvalue","combined.pvalue.adj"
"YDL237W","YDL237W","NS",1,1,1,0.450954855689897,0.999980773665202,0.485710964681094,0.982484310718019,0.551642901620511,0.999796319983012
"YDL232W","YDL232W","NS",1,1,1,0.905701564703783,0.999980773665202,0.545119053015594,0.982484310718019,0.842177618992272,0.999796319983012
"YDL229W","YDL229W","NS",1,1,1,0.846798607848558,0.999980773665202,0.247772795353463,0.967792247515551,0.537445130476216,0.999796319983012
"YDL222C","YDL222C","NS",1,1,1,0.272428085662173,0.999980773665202,0.327041968737843,0.982484310718019,0.304532358009362,0.999796319983012
"YDL215C","YDL215C","NS",1,1,1,0.668148823100037,0.999980773665202,0.848284057013831,0.995374407967676,0.888588644959447,0.999796319983012
"YDL214C","YDL214C","NS",1,1,2,0.298691321020139,0.999980773665202,0.238119695619981,0.967792247515551,0.259128991838851,0.999796319983012
"YDL212W","YDL212W","NS",1,1,1,0.976387027474233,0.999980773665202,0.870841081452098,0.995374407967676,0.988186214324072,0.999796319983012
"YDL208W","YDL208W","NS",1,1,1,0.381999350860182,0.999980773665202,0.06081751515025,0.842029215331147,0.110636948321386,0.999796319983012
"YDL204W","YDL204W","NS",1,1,1,0.958760394999805,0.999980773665202,0.0880620805267412,0.842029215331147,0.293127892674803,0.999796319983012
"YDL198C","YDL198C","NS",1,1,1,0.937502699053248,0.999980773665202,0.0181328357633917,0.730456511152489,0.0862655116437704,0.999796319983012
"YDL195W","YDL195W","NS",1,1,1,0.141022913327735,0.999980773665202,0.979615154162901,0.995374407967676,0.411602617045791,0.999796319983012
"YDL192W","YDL192W","NS",1,1,1,0.673237492330687,0.999980773665202,0.877605492976085,0.995374407967676,0.901744311623254,0.999796319983012
"YDL191W","YDL191W","NS",1,1,1,0.860103883487371,0.999980773665202,0.229689730618952,0.966671224095694,0.517940791439392,0.999796319983012
"YDL188C","YDL188C","NS",1,1,2,0.0404076171437455,0.999980773665202,0.914125334802352,0.995374407967676,0.158777294830999,0.999796319983012
"YDL185W","YDL185W","NS",1,1,1,0.376805289390858,0.999980773665202,0.898585637915909,0.995374407967676,0.705273207957851,0.999796319983012
"YDL184C","YDL184C","NS",1,1,1,0.0432522022423685,0.999980773665202,0.633153495029891,0.982484310718019,0.125910672014064,0.999796319983012
"YDL182W","YDL182W","NS",1,1,1,0.728531579002489,0.999980773665202,0.734320864083146,0.982484310718019,0.869621313998337,0.999796319983012
"YDL181W","YDL181W","NS",1,1,1,0.862598038289096,0.999980773665202,0.837372993649434,0.995374407967676,0.957280120847105,0.999796319983012
"YDL168W","YDL168W","NS",1,2,1,0.6241737385414,0.999980773665202,0.465971925991344,0.982484310718019,0.650031349381755,0.999796319983012
"YDL147W","YDL147W","NS",1,1,1,0.855737346890024,0.999980773665202,0.718376524068146,0.982484310718019,0.913846140918037,0.999796319983012
"YDL143W","YDL143W","NS",1,1,1,0.932152018983971,0.999980773665202,0.389659666706287,0.982484310718019,0.731071879415341,0.999796319983012
"YDL137W","YDL137W","NS",1,1,1,0.948272361730929,0.999980773665202,0.97532745262459,0.995374407967676,0.997104755546002,0.999796319983012
"YDL136W","YDL136W","NS",1,1,1,0.261582450651417,0.999980773665202,0.865689333201604,0.995374407967676,0.562779303290752,0.999796319983012
"YDL134C","YDL134C","NS",3,2,1,0.481283918202744,0.999980773665202,0.985954530552899,0.995758785382144,0.828254677807158,0.999796319983012
"YDL133C.A","YDL133C.A","NS",1,1,1,0.796813259245674,0.999980773665202,0.622896934335746,0.982484310718019,0.844018014945352,0.999796319983012
"YDL131W","YDL131W","NS",1,1,1,0.221664714955568,0.999980773665202,0.0743362923250827,0.842029215331147,0.084131108427026,0.999796319983012
"YDL130W.A","YDL130W.A","NS",1,1,1,0.219722001225783,0.999980773665202,0.139487311648474,0.9084333072887,0.137463540910897,0.999796319983012
"YDL130W","YDL130W","NS",1,1,1,0.00503278556954267,0.857989517560841,0.73930770925314,0.982484310718019,0.024534145027413,0.926505304371281
"YDL128W","YDL128W","NS",1,1,1,0.934826791362128,0.999980773665202,0.173706990852728,0.946298409453987,0.457567777844615,0.999796319983012
"YDL126C","YDL126C","NS",1,1,1,0.749633736538806,0.999980773665202,0.539495991773374,0.982484310718019,0.770545946566033,0.999796319983012
"YDL125C","YDL125C","NS",1,1,1,0.748284761880655,0.999980773665202,0.0095685427116376,0.719960561883468,0.0425249701780849,0.998502047618845
"YDL124W","YDL124W","NS",1,1,1,0.999002393676889,0.999980773665202,0.704076793338499,0.982484310718019,0.950867905118048,0.999796319983012
"YDL123W","YDL123W","NS",1,1,2,0.433779615240338,0.999980773665202,0.351163095635748,0.982484310718019,0.438965377392849,0.999796319983012
"YDL110C","YDL110C","NS",1,1,1,0.633151333951647,0.999980773665202,0.253054638614873,0.967792247515551,0.453619497265356,0.999796319983012
"YDL100C","YDL100C","NS",3,1,3,0.892778337250123,0.999980773665202,0.633971933993695,0.982484310718019,0.888143195825204,0.999796319983012
"YDL097C","YDL097C","NS",1,1,1,0.521263675319939,0.999980773665202,0.676897288626186,0.982484310718019,0.720409797805149,0.999796319983012
"YDL086W","YDL086W","NS",1,1,1,0.991963884966834,0.999980773665202,0.672697671189468,0.982484310718019,0.937229913598477,0.999796319983012
"YDL084W","YDL084W","NS",1,1,1,0.720628265335916,0.999980773665202,0.297192804971523,0.970692910452275,0.544195917708094,0.999796319983012
"YDL083C","YDL083C","NS",1,1,1,0.000333196066863217,0.216077649360796,0.978575835537844,0.995374407967676,0.00294379049538559,0.763619254503021
"YDL082W","YDL082W","NS",1,1,1,0.138646744495484,0.999980773665202,0.0100599613730007,0.719960561883468,0.01056549029697,0.774733953797157
"YDL081C","YDL081C","NS",1,1,1,0.121890675325349,0.999980773665202,0.243191157778057,0.967792247515551,0.133941828793941,0.999796319983012
"YDL078C","YDL078C","NS",1,1,1,0.687815650077088,0.999980773665202,0.795518203395268,0.995374407967676,0.877111100106408,0.999796319983012
"YDL076C","YDL076C","NS",1,1,1,0.608612184119977,0.999980773665202,0.819740739446333,0.995374407967676,0.845812839227692,0.999796319983012
"YDL075W","YDL075W","NS",1,1,1,0.31906368770911,0.999980773665202,0.378190877026182,0.982484310718019,0.375843938840468,0.999796319983012
"YDL072C","YDL072C","NS",1,2,1,0.513674917638856,0.999980773665202,0.0436924815964979,0.842029215331147,0.107656834174357,0.999796319983012
"YDL070W","YDL070W","NS",1,1,2,0.491993893782449,0.999980773665202,0.917226365543997,0.995374407967676,0.810340595482534,0.999796319983012
"YDL067C","YDL067C","NS",1,1,1,0.141114325320595,0.999980773665202,0.649334297374873,0.982484310718019,0.310626271237898,0.999796319983012
"YDL064W","YDL064W","NS",1,1,1,0.997896628939117,0.999980773665202,0.121199410455582,0.868145452555169,0.376430470315376,0.999796319983012
"YDL061C","YDL061C","NS",1,1,1,0.914812537121515,0.999980773665202,0.189178401969479,0.951942314888853,0.476632340511052,0.999796319983012
"YDL055C","YDL055C","NS",1,1,1,0.0591886628480559,0.999980773665202,0.846174408573093,0.995374407967676,0.200037980412829,0.999796319983012
"YDL051W","YDL051W","NS",1,1,1,0.947322143248766,0.999980773665202,0.443520259286866,0.982484310718019,0.784486027404852,0.999796319983012
"YDL046W","YDL046W","NS",1,1,1,0.247786693547949,0.999980773665202,0.653228128872684,0.982484310718019,0.456613120884934,0.999796319983012
"YDL029W","YDL029W","NS",1,1,1,0.916601974868799,0.999980773665202,0.326998595892608,0.982484310718019,0.660863705726988,0.999796319983012
"YDL027C","YDL027C","NS",1,1,1,0.238652909372902,0.999980773665202,0.789937997585369,0.995374407967676,0.50307693867185,0.999796319983012
"YDL022W","YDL022W","NS",1,1,1,0.0139917528776682,0.857989517560841,0.600832740902837,0.982484310718019,0.048580033593513,0.998502047618845
"YDL020C","YDL020C","NS",1,1,1,0.174862624813916,0.999980773665202,0.661373749492803,0.982484310718019,0.365127692739027,0.999796319983012
"YDL015C","YDL015C","NS",1,1,1,0.525642157411083,0.999980773665202,0.361454088046689,0.982484310718019,0.505531466989633,0.999796319983012
"YDL014W","YDL014W","NS",1,1,1,0.218879103690146,0.999980773665202,0.0841077493426934,0.842029215331147,0.0919531143181246,0.999796319983012
"YDL010W","YDL010W","NS",1,1,1,0.522943488329391,0.999980773665202,0.792765234020663,0.995374407967676,0.779605704629022,0.999796319983012
