"GeneNames" "GeneIndex" "ReferenceFreq"
"YLR301W" 475 0.0041
"YER145C" 1097 0.0049
"YHR128W" 1147 0.0044
"YOL012C" 205 0.0038
"YER056C.A" 1068 0.0043
"YML056C" 624 0.0039
"YPR110C" 586 0.0035
"YNL112W" 839 0.0044
"YOR276W" 267 0.0032
"YML008C" 636 0.004
"YIR029W" 1203 0.0038
"YNL024C.A" 863 0.0047
"YLR244C" 461 0.0032
"YFL018C" 1246 0.0047
"YOL129W" 180 0.0034
"YJR065C" 939 0.004
"YGR094W" 360 0.0046
"YOL097C" 187 0.0043
"YLL039C" 406 0.0031
"YAR015W" 1275 0.0043
"YDR341C" 130 0.0044
"YIL123W" 1175 0.0039
"YPL145C" 536 0.0036
"YML085C" 614 0.0027
"YJL136C" 903 0.0044
"YPR004C" 565 0.0037
"YER087C.B" 1078 0.0041
"YJL060W" 916 0.0045
"YLR038C" 421 0.0043
"YLR294C" 472 0.004
"YPL010W" 563 0.0032
"YGL037C" 330 0.0041
"YDR129C" 93 0.0035
"YOR234C" 257 0.0042
"YMR002W" 639 0.0042
"YHR020W" 1119 0.004
"YER150W" 1099 0.0039
"YPL135W" 538 0.0037
"YFL004W" 1248 0.003
"YDR500C" 165 0.0023
"YDR035W" 70 0.0043
"YDL075W" 43 0.0035
"YNL066W" 853 0.0042
"YEL046C" 1032 0.0035
"YNL130C" 837 0.0043
"YJR044C" 934 0.004
"YDL236W" 2 0.0037
"YDL124W" 29 0.0049
"YOR187W" 246 0.0038
"YJL196C" 885 0.0032
"YKR092C" 1027 0.0042
"YGR284C" 398 0.0042
"YHR190W" 1161 0.0042
"YGR082W" 357 0.0032
"YMR145C" 661 0.0051
"YOL140W" 177 0.0047
"YGR211W" 386 0.0027
"YPL081W" 548 0.004
"YJL097W" 911 0.0041
"YGL225W" 296 0.0034
"YPL057C" 553 0.004
"YLR388W" 493 0.0048
"YCR043C" 1234 0.0026
"YIL041W" 1193 0.0035
"YJR077C" 944 0.0034
"YNL307C" 801 0.0047
"YGR020C" 346 0.0038
"YOR085W" 221 0.0044
"YJL174W" 892 0.0044
"YGR267C" 395 0.004
"YOL052C.A" 198 0.0035
