"GeneNames" "GeneIndex" "ReferenceFreq"
"YKR092C" 1027 0.0029
"YMR088C" 649 0.0045
"YKR065C" 1022 0.0037
"YPL145C" 536 0.0034
"YGL215W" 298 0.0035
"YOR315W" 279 0.0035
"YGR082W" 357 0.0033
"YOR317W" 280 0.0044
"YJL002C" 926 0.0058
"YAL007C" 1271 0.0039
"YGL037C" 330 0.0044
"YOR270C" 264 0.0041
"YPR036W" 571 0.003
"YGR284C" 398 0.0035
"YIL041W" 1193 0.0049
"YER087C.B" 1078 0.0046
"YKL035W" 1001 0.0045
"YNL327W" 799 0.0043
"YIR032C" 1206 0.0048
"YOR310C" 276 0.0045
"YOL011W" 206 0.0037
"YMR145C" 661 0.0044
"YOL109W" 185 0.0036
"YGL234W" 294 0.0043
"YDL014W" 58 0.0032
"YDL100C" 34 0.0041
"YJL136C" 903 0.0041
"YIR029W" 1203 0.0049
"YDR178W" 102 0.0032
"YMR108W" 653 0.0051
"YCL001W" 1221 0.0038
"YBR036C" 737 0.0033
"YDR019C" 64 0.0036
"YBR187W" 775 0.0039
"YJL130C" 906 0.0044
"YNL255C" 811 0.0032
"YJL196C" 885 0.0027
"YNR021W" 874 0.0046
"YDR212W" 106 0.0035
"YDR224C" 109 0.0033
"YER003C" 1049 0.005
"YPR156C" 596 0.0024
"YER026C" 1058 0.0027
"YGR020C" 346 0.0041
"YJR065C" 939 0.0039
"YBR177C" 773 0.0034
"YCL009C" 1219 0.0039
"YOR020C" 211 0.0043
"YOR103C" 228 0.0049
"YHR128W" 1147 0.0038
"YJL171C" 894 0.0038
"YAR002C.A" 1274 0.0036
"YLR244C" 461 0.0039
"YEL001C" 1048 0.0033
"YPL004C" 564 0.0039
"YOR323C" 281 0.0038
"YER094C" 1082 0.0036
"YNL024C.A" 863 0.0038
"YOR309C" 275 0.0045
"YPR110C" 586 0.0045
"YOL012C" 205 0.0042
"YDL236W" 2 0.0047
"YER120W" 1088 0.0041
"YIL124W" 1174 0.0043
"YDR304C" 125 0.0031
"YKL196C" 965 0.0045
"YFR050C" 1260 0.0036
"YPR170W.B" 601 0.0035
"YML052W" 626 0.0037
"YGR172C" 376 0.0037
"YDL191W" 11 0.0038
"YIL123W" 1175 0.0035
"YMR015C" 642 0.0036
"YDL134C" 22 0.004
"YIL043C" 1192 0.0034
"YLR190W" 453 0.004
"YDR100W" 89 0.0043
"YCR043C" 1234 0.004
"YLR294C" 472 0.0037
"YDL126C" 27 0.004
"YHL011C" 1109 0.0045
"YLR216C" 458 0.0034
"YNR043W" 877 0.0039
"YPR191W" 606 0.0039
