"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj","zero.pvalue","zero.pvalue.adj","combined.pvalue","combined.pvalue.adj"
"YDL237W","YDL237W","NS",1,1,1,0.0328870018945887,0.797265615524899,0.113335346280018,0.999102051502671,0.0245704017714078,0.999992345144005
"YDL236W","YDL236W","NS",1,1,1,0.251881323624936,0.947871498895148,0.644775155462205,0.999102051502671,0.457605714835624,0.999992345144005
"YDL232W","YDL232W","NS",1,1,1,0.541243098374871,0.996309175779655,0.442153025049781,0.999102051502671,0.581525472944577,0.999992345144005
"YDL229W","YDL229W","NS",1,1,1,0.749911423572726,0.999937200961416,0.0875327200283469,0.999102051502671,0.244420001776727,0.999992345144005
"YDL226C","YDL226C","NS",1,1,1,0.0321845501210243,0.797265615524899,0.685593424349402,0.999102051502671,0.106217640192345,0.999992345144005
"YDL212W","YDL212W","NS",1,1,1,0.696022195686199,0.999937200961416,0.691838953654242,0.999102051502671,0.833429590477096,0.999992345144005
"YDL208W","YDL208W","NS",2,2,1,0.161854385741104,0.91132274789269,0.194868440280931,0.999102051502671,0.140559046313493,0.999992345144005
"YDL201W","YDL201W","NS",1,1,1,0.658249609254399,0.999937200961416,0.774384070293767,0.999102051502671,0.85322924645516,0.999992345144005
"YDL198C","YDL198C","NS",1,1,1,0.389053244904301,0.960628458666801,0.143900555664538,0.999102051502671,0.217371299819939,0.999992345144005
"YDL192W","YDL192W","NS",1,1,1,0.558859802584856,0.999477092865876,0.808380472745024,0.999102051502671,0.810739419280851,0.999992345144005
"YDL191W","YDL191W","NS",1,1,1,0.211900834752788,0.940610307599621,0.907460495641996,0.999102051502671,0.509330956833756,0.999992345144005
"YDL188C","YDL188C","NS",1,1,1,0.387651105343026,0.960628458666801,0.56611556197917,0.999102051502671,0.552282716349031,0.999992345144005
"YDL185W","YDL185W","NS",1,1,1,0.489658690094368,0.975789188951002,0.897766305544943,0.999102051502671,0.80090210707476,0.999992345144005
"YDL184C","YDL184C","NS",1,1,1,0.692710366185068,0.999937200961416,0.628305823210729,0.999102051502671,0.797292707794484,0.999992345144005
"YDL182W","YDL182W","NS",1,1,1,0.752255498860483,0.999937200961416,0.749600875262761,0.999102051502671,0.88694116246553,0.999992345144005
"YDL181W","YDL181W","NS",1,1,1,0.910337395651381,0.999937200961416,0.71983871426737,0.999102051502671,0.93226884750343,0.999992345144005
