"GeneNames" "GeneIndex" "ReferenceFreq"
"YDL147W" 27 0.0029
"YCL001W" 1621 0.0022
"YJR063W" 1250 0.0023
"YDL097C" 44 0.0029
"YOR285W" 351 0.0037
"YER086W" 1438 0.0029
"YJL111W" 1208 0.0032
"YKL080W" 1323 0.0025
"YNL007C" 1153 0.0035
"YKL013C" 1343 0.0028
"YMR131C" 879 0.0033
"YDR487C" 210 0.0019
"YDR156W" 121 0.0035
"YMR203W" 892 0.0031
"YHR013C" 1484 0.0026
"YIL074C" 1571 0.0037
"YDR212W" 137 0.0022
"YPL094C" 727 0.0028
"YKL207W" 1281 0.0029
"YBL001C" 971 0.0026
"YNL141W" 1111 0.0026
"YDL072C" 56 0.0025
"YER031C" 1417 0.0025
"YJL196C" 1178 0.0032
"YKR092C" 1375 0.0037
"YAL030W" 1686 0.0025
"YDR513W" 219 0.0026
"YEL002C" 1401 0.0034
"YOR103C" 291 0.0033
"YFL004W" 1659 0.0032
"YHR200W" 1545 0.0021
"YER090W" 1440 0.0023
"YMR290C" 920 0.0038
"YKL058W" 1329 0.0028
"YOR261C" 342 0.003
"YNL113W" 1117 0.0021
"YDR529C" 224 0.0033
"YML001W" 849 0.0027
"YJL008C" 1232 0.004
"YJL026W" 1226 0.0029
"YFR052W" 1675 0.0022
"YDL182W" 17 0.0031
"YAR015W" 1697 0.0026
"YGR175C" 495 0.0024
"YKL096W" 1319 0.0031
"YLR438C.A" 671 0.0034
"YNL248C" 1085 0.0032
"YGR001C" 450 0.0043
"YLR065C" 566 0.0039
"YJL002C" 1234 0.0033
"YPL226W" 694 0.0029
"YKL190W" 1286 0.0038
"YGR204W" 508 0.0026
"YMR295C" 922 0.0035
"YIR037W" 1600 0.0033
"YDR328C" 162 0.0031
"YDR056C" 90 0.0024
"YER145C" 1459 0.0034
"YEL046C" 1384 0.0032
"YPL135W" 716 0.003
"YER063W" 1430 0.003
"YNR016C" 1160 0.0024
"YFR044C" 1670 0.0025
"YGR103W" 475 0.0024
"YOR153W" 304 0.0029
"YJL217W" 1177 0.003
"YGL019W" 444 0.0026
"YDR045C" 86 0.0033
"YJL192C" 1179 0.0031
"YBL076C" 944 0.0022
"YPL154C" 711 0.004
"YJL124C" 1203 0.0025
"YLR301W" 632 0.0028
"YDR152W" 118 0.0035
"YDL121C" 40 0.003
"YER146W" 1460 0.003
"YOR270C" 345 0.0027
"YPL239W" 687 0.0022
"YBL040C" 956 0.0028
"YOR226C" 326 0.0028
"YML085C" 822 0.0035
"YOL143C" 228 0.0024
"YGR284C" 531 0.003
"YER003C" 1404 0.0026
"YOL129W" 232 0.003
"YBR016W" 976 0.0041
"YDL007W" 71 0.0044
"YOL092W" 244 0.0037
"YPL246C" 683 0.0023
"YDR098C" 105 0.0034
"YDR404C" 188 0.003
"YER048W.A" 1423 0.002
"YMR074C" 865 0.0021
"YAL036C" 1683 0.0041
"YGR264C" 526 0.0032
"YHR039C.A" 1492 0.0029
"YLR221C" 609 0.0032
"YJR044C" 1244 0.0033
"YNL024C.A" 1149 0.0031
"YEL040W" 1387 0.0037
"YDR361C" 170 0.0035
"YKL033W.A" 1336 0.0023
"YMR229C" 901 0.0033
"YFL010C" 1657 0.0025
"YMR071C" 862 0.0028
"YNL111C" 1119 0.0029
"YBL028C" 962 0.0038
"YMR099C" 871 0.0032
"YKR081C" 1372 0.0035
"YPL145C" 714 0.0033
"YMR038C" 859 0.0032
"YBR058C.A" 987 0.004
"YGR094W" 473 0.0024
"YBR093C" 1003 0.0032
"YER006W" 1406 0.0032
"YOL026C" 259 0.0024
"YFL022C" 1654 0.0026
"YNL153C" 1108 0.0036
"YCL030C" 1613 0.0022
"YOR157C" 305 0.0035
"YGR055W" 463 0.0041
"YBR085C.A" 997 0.0033
"YJR065C" 1252 0.0025
"YLR294C" 630 0.0023
"YJL166W" 1191 0.0037
"YJL097W" 1211 0.0028
"YCR051W" 1638 0.0023
"YDR377W" 176 0.003
"YDR210W" 135 0.0029
"YLR186W" 595 0.0018
"YKL007W" 1346 0.0032
"YDR483W" 208 0.0028
"YOR253W" 337 0.0038
"YOR145C" 302 0.0033
"YML081C.A" 823 0.0033
"YBR173C" 1030 0.0034
"YFL037W" 1651 0.0023
"YDR321W" 160 0.0026
"YBR296C" 1064 0.0031
"YNL104C" 1121 0.0025
"YOR335C" 367 0.003
"YOR117W" 294 0.0029
"YDR298C" 156 0.0027
"YDR281C" 151 0.0022
"YAL007C" 1692 0.0033
"YGR181W" 498 0.0027
"YJR048W" 1246 0.0026
"YLR153C" 587 0.0017
"YML079W" 824 0.0033
"YOR294W" 354 0.0032
"YJL122W" 1205 0.0018
"YHR190W" 1541 0.0024
"YMR226C" 900 0.0028
"YBR088C" 1000 0.0025
"YOR361C" 371 0.0026
"YLR066W" 567 0.0029
"YBR256C" 1051 0.0029
"YDR339C" 163 0.0023
"YMR297W" 924 0.0031
"YBL041W" 955 0.0029
"YKL216W" 1280 0.0032
"YPL098C" 726 0.0021
"YBR252W" 1050 0.0026
"YOR286W" 352 0.0038
"YIL016W" 1592 0.0036
"YIL076W" 1569 0.003
"YGL048C" 432 0.0033
"YFL005W" 1658 0.0022
"YOR230W" 327 0.0025
"YGL020C" 443 0.0033
"YGR105W" 476 0.0029
"YPL004C" 747 0.0037
"YPL199C" 702 0.0027
"YER007C.A" 1407 0.0022
"YER156C" 1464 0.0039
"YPR020W" 752 0.0036
"YNR021W" 1163 0.0034
"YMR298W" 925 0.0036
"YCR034W" 1632 0.0025
"YDR525W.A" 223 0.0034
"YJL173C" 1188 0.003
"YBR035C" 982 0.0027
"YER126C" 1455 0.0029
"YEL031W" 1392 0.0036
"YBR234C" 1042 0.003
"YJR017C" 1242 0.0029
"YIL123W" 1560 0.002
"YOR362C" 372 0.0025
"YGR082W" 470 0.0029
"YER042W" 1419 0.0034
"YKL065C" 1326 0.0039
"YPL117C" 721 0.0033
"YLR038C" 554 0.0026
"YBR187W" 1033 0.0026
"YJR014W" 1240 0.0028
"YER110C" 1449 0.0027
"YDR346C" 166 0.003
"YHR049W" 1497 0.0033
"YPL078C" 734 0.0029
"YDR177W" 129 0.0026
"YJR016C" 1241 0.0022
"YBL036C" 959 0.0021
"YPR118W" 783 0.0022
"YNL066W" 1137 0.0029
"YPR183W" 807 0.0025
"YNR043W" 1168 0.0022
"YDL120W" 41 0.0028
"YDL131W" 35 0.0033
"YLL014W" 538 0.0037
"YDR508C" 216 0.0027
"YCL035C" 1611 0.0039
"YOR323C" 363 0.0043
"YCL050C" 1607 0.0027
"YDR032C" 80 0.0029
"YBR286W" 1062 0.0024
"YLL018C" 537 0.0039
"YML004C" 848 0.0034
"YBL068W" 947 0.0039
"YIL138C" 1556 0.0021
"YBR164C" 1027 0.0026
"YDR397C" 185 0.0036
"YPR010C" 749 0.0042
"YPL059W" 737 0.0033
"YDL029W" 67 0.0024
"YLR449W" 675 0.0029
"YPL160W" 709 0.0041
"YNL327W" 1066 0.0021
"YHR025W" 1488 0.0018
"YDR238C" 145 0.0029
"YMR235C" 903 0.0034
"YHR042W" 1494 0.0035
"YFL018C" 1655 0.0038
"YGR267C" 527 0.0023
"YNL070W" 1134 0.0021
"YGR211W" 513 0.0026
"YEL071W" 1377 0.0025
"YDR502C" 215 0.0022
"YBL039C" 957 0.0037
"YBR171W" 1028 0.0035
"YLR395C" 657 0.0023
"YOR309C" 357 0.0023
"YAL035W" 1684 0.0024
"YPR145W" 793 0.0034
"YMR022W" 856 0.0037
"YLR437C" 669 0.0031
"YOR197W" 318 0.002
"YCL059C" 1603 0.0032
"YCR043C" 1634 0.0028
"YLR060W" 563 0.002
"YNL241C" 1089 0.0018
"YDR092W" 104 0.0023
"YLR378C" 651 0.0022
"YJL104W" 1210 0.0028
"YGL234W" 383 0.0024
"YNL112W" 1118 0.0034
"YMR241W" 907 0.0031
"YPR108W" 778 0.0029
"YJL014W" 1228 0.0025
"YCR009C" 1624 0.0045
"YDL201W" 9 0.0027
"YEL001C" 1402 0.0032
"YOL061W" 251 0.0034
"YMR243C" 909 0.0028
"YCR002C" 1622 0.0025
"YBR079C" 992 0.0028
"YEL021W" 1395 0.0027
"YER073W" 1434 0.0025
"YPL271W" 678 0.0031
"YOR045W" 278 0.0041
"YKR071C" 1369 0.0032
"YLR074C" 569 0.0029
"YGL055W" 430 0.0024
"YIL062C" 1575 0.003
"YCR004C" 1623 0.0021
"YOR222W" 324 0.0027
"YBR034C" 981 0.0035
"YMR292W" 921 0.0029
"YMR276W" 918 0.0029
"YOR168W" 311 0.0032
"YGL191W" 399 0.0037
"YNL189W" 1098 0.0038
"YPR016C" 750 0.0024
"YDR429C" 193 0.0035
"YNL016W" 1151 0.0033
"YML052W" 836 0.0035
"YOR310C" 358 0.0023
"YOR210W" 323 0.0025
"YLR413W" 663 0.0029
"YIR012W" 1596 0.0031
"YML055W" 835 0.0025
"YOL155C" 226 0.0025
"YOR142W" 301 0.0024
"YAL044C" 1680 0.0034
"YJR064W" 1251 0.0028
"YMR246W" 911 0.0028
"YNL071W" 1133 0.0035
"YIL064W" 1574 0.0027
"YPL091W" 729 0.0036
"YDR497C" 213 0.0028
"YOL123W" 235 0.0022
"YPL266W" 679 0.003
"YDR322C.A" 161 0.0028
"YGL231C" 385 0.0027
"YAL023C" 1688 0.0025
"YOR091W" 286 0.0034
"YBR122C" 1011 0.0025
"YOR046C" 279 0.0023
"YPR060C" 763 0.0025
"YPL093W" 728 0.0025
"YBL071W.A" 946 0.0024
"YOR085W" 285 0.003
"YPR036W" 757 0.0029
"YHR170W" 1535 0.0034
"YIL142W" 1555 0.0037
"YOR209C" 322 0.0028
"YDR427W" 192 0.003
"YOR340C" 368 0.0031
"YHR051W" 1498 0.0023
"YDR394W" 183 0.0034
"YDL052C" 63 0.0025
"YDL232W" 2 0.0042
"YHR215W" 1550 0.0035
"YNR050C" 1170 0.0027
"YJR069C" 1254 0.0038
"YDL064W" 59 0.0022
"YAL044W.A" 1679 0.0028
"YOL012C" 262 0.0025
"YGL221C" 389 0.0022
"YOR271C" 346 0.0027
"YPL262W" 681 0.0032
"YPL273W" 677 0.0035
"YDL126C" 38 0.0024
"YLR214W" 606 0.0031
"YGL215W" 391 0.002
"YDR062W" 93 0.0031
"YDR245W" 146 0.003
"YBR039W" 984 0.0024
"YER122C" 1452 0.0032
"YER004W" 1405 0.0033
"YMR205C" 893 0.0033
