"GeneNames" "GeneIndex" "ReferenceFreq"
"YNL248C" 1085 0.003
"YOR294W" 354 0.0027
"YPL226W" 694 0.0045
"YBL040C" 956 0.0034
"YGR264C" 526 0.0024
"YBR088C" 1000 0.0018
"YKL080W" 1323 0.0037
"YCL001W" 1621 0.0042
"YMR290C" 920 0.0033
"YFL022C" 1654 0.0023
"YGR175C" 495 0.0016
"YDR513W" 219 0.0037
"YLR066W" 567 0.0026
"YPR145W" 793 0.0034
"YDR328C" 162 0.0031
"YAL030W" 1686 0.0041
"YGR103W" 475 0.0031
"YDR152W" 118 0.0034
"YNL024C.A" 1149 0.0025
"YDR508C" 216 0.0028
"YDR346C" 166 0.003
"YDL121C" 40 0.0024
"YGL026C" 441 0.0029
"YNL066W" 1137 0.003
"YBL001C" 971 0.0035
"YJL111W" 1208 0.0041
"YFR052W" 1675 0.0032
"YDR212W" 137 0.0026
"YHR001W.A" 1478 0.0031
"YBR039W" 984 0.0029
"YOR310C" 358 0.0029
"YKL007W" 1346 0.003
"YJL026W" 1226 0.0025
"YLR221C" 609 0.002
"YOR253W" 337 0.0033
"YJL192C" 1179 0.0028
"YPL239W" 687 0.0039
"YAR015W" 1697 0.0023
"YHR013C" 1484 0.0029
"YOR375C" 376 0.0027
"YOR261C" 342 0.003
"YJR065C" 1252 0.0027
"YDR056C" 90 0.0031
"YJL097W" 1211 0.0035
"YOL143C" 228 0.0028
"YKL065C" 1326 0.0037
"YML001W" 849 0.0029
"YIR037W" 1600 0.0034
"YDL147W" 27 0.0045
"YMR226C" 900 0.0021
"YIL123W" 1560 0.0031
"YML079W" 824 0.002
"YER146W" 1460 0.0026
"YCR051W" 1638 0.003
"YML085C" 822 0.0043
"YKL207W" 1281 0.0024
"YCR004C" 1623 0.0031
"YDR156W" 121 0.0035
"YNR016C" 1160 0.0032
"YDR177W" 129 0.0021
"YDL007W" 71 0.0033
"YMR203W" 892 0.0033
"YFL004W" 1659 0.0027
"YEL002C" 1401 0.003
"YOR270C" 345 0.0029
"YPR118W" 783 0.0025
"YJL196C" 1178 0.0021
"YDL097C" 44 0.0034
"YNL113W" 1117 0.0029
"YDR404C" 188 0.0039
"YLR438C.A" 671 0.0036
"YOR361C" 371 0.0022
"YOR286W" 352 0.0021
"YOR153W" 304 0.0031
"YMR038C" 859 0.0034
"YKL141W" 1306 0.0033
"YJL124C" 1203 0.0025
"YDR045C" 86 0.0032
"YAL035W" 1684 0.0022
"YNL052W" 1143 0.0019
"YER156C" 1464 0.0026
"YNL141W" 1111 0.0028
"YFL037W" 1651 0.0038
"YER031C" 1417 0.0028
"YHR025W" 1488 0.0033
"YPL094C" 727 0.0035
"YOR335C" 367 0.0029
"YEL040W" 1387 0.0038
"YLR301W" 632 0.002
"YMR131C" 879 0.0032
"YKL058W" 1329 0.0031
"YMR099C" 871 0.0031
"YNR043W" 1168 0.0036
"YJR063W" 1250 0.0027
"YHR051W" 1498 0.0028
"YLR186W" 595 0.0029
"YNR050C" 1170 0.0029
"YKL096W" 1319 0.0026
"YDR032C" 80 0.0028
"YKR081C" 1372 0.0027
"YDR339C" 163 0.0028
"YDR210W" 135 0.0031
"YLR065C" 566 0.0019
"YAL036C" 1683 0.0037
"YOL026C" 259 0.0033
"YER110C" 1449 0.0028
"YJL217W" 1177 0.0029
"YMR071C" 862 0.0032
"YNL111C" 1119 0.0033
"YOR103C" 291 0.0033
"YBL028C" 962 0.0029
"YER003C" 1404 0.002
