"GeneNames" "GeneIndex" "ReferenceFreq"
"YMR203W" 883 0.0032
"YJR063W" 1235 0.0037
"YNL113W" 1108 0.0037
"YJL097W" 1201 0.0032
"YMR298W" 914 0.0038
"YLR038C" 545 0.0032
"YDR212W" 138 0.0028
"YBL076C" 932 0.0031
"YJL008C" 1218 0.0025
"YJL026W" 1213 0.0028
"YBL040C" 945 0.0034
"YJL192C" 1169 0.0021
"YDR098C" 108 0.0039
"YDR513W" 219 0.0035
"YNL141W" 1102 0.0039
"YDR322C.A" 163 0.0023
"YOR310C" 354 0.0015
"YNR050C" 1160 0.0022
"YKL207W" 1266 0.0028
"YDR056C" 92 0.0037
"YOR286W" 347 0.0035
"YJL002C" 1220 0.0041
"YOR261C" 338 0.0025
"YGR284C" 525 0.0034
"YOR323C" 358 0.0027
"YFL005W" 1626 0.0024
"YKL080W" 1304 0.0029
"YHR051W" 1476 0.0022
"YGR103W" 468 0.0022
"YDL072C" 56 0.0032
"YDR328C" 164 0.0021
"YOR362C" 367 0.0029
"YOL123W" 236 0.0028
"YNR043W" 1158 0.0026
"YPL094C" 715 0.0031
"YDR404C" 187 0.0026
"YGR082W" 462 0.0024
"YDR346C" 168 0.0031
"YHR013C" 1464 0.0033
"YER003C" 1384 0.0026
"YIL016W" 1564 0.0035
"YHR163W" 1509 0.003
"YDR156W" 123 0.0027
"YPL145C" 701 0.004
"YMR229C" 893 0.0024
"YJR065C" 1237 0.0037
"YIL138C" 1529 0.0026
"YIR037W" 1572 0.0038
"YOR253W" 334 0.0032
"YFL022C" 1622 0.0025
"YOR270C" 340 0.0038
"YDR361C" 170 0.0033
"YPL240C" 674 0.003
"YOR103C" 291 0.0025
"YJL151C" 1184 0.0035
"YBR039W" 973 0.0033
"YPL154C" 699 0.0022
"YMR297W" 913 0.003
"YDR397C" 184 0.0032
"YKL216W" 1265 0.0034
"YOR091W" 286 0.0037
"YOR361C" 366 0.0027
"YGL026C" 435 0.003
"YAL030W" 1654 0.0034
"YMR099C" 861 0.003
"YAL035W" 1652 0.004
"YER126C" 1437 0.0028
"YGR175C" 488 0.0036
"YLR066W" 558 0.003
"YER146W" 1443 0.0033
"YBL028C" 951 0.0029
"YGL055W" 425 0.003
"YOL129W" 233 0.0028
"YNL024C.A" 1139 0.0043
"YKL013C" 1325 0.004
"YGR106C" 470 0.0029
"YDR045C" 87 0.0023
"YML092C" 811 0.0025
"YEL040W" 1367 0.0039
"YPL246C" 671 0.0036
"YKL190W" 1271 0.0029
"YNL248C" 1075 0.0027
"YAR015W" 1665 0.0029
"YML081C.A" 813 0.0039
"YNL153C" 1099 0.0034
"YOR136W" 299 0.0024
"YLR438C.A" 658 0.0024
"YOR335C" 362 0.0031
"YKL058W" 1312 0.0036
"YOR145C" 301 0.0023
"YBL068W" 935 0.0031
"YHR215W" 1524 0.003
"YGR181W" 491 0.0032
"YMR295C" 912 0.0022
"YLR449W" 662 0.003
"YMR131C" 869 0.003
"YDR152W" 120 0.0026
"YDR487C" 210 0.0026
"YPL239W" 675 0.0024
"YJR014W" 1226 0.0027
"YMR226C" 892 0.0033
"YJL014W" 1215 0.0036
"YOR117W" 294 0.0027
"YDL121C" 39 0.0026
"YMR290C" 910 0.0031
"YJL196C" 1168 0.0035
"YNL111C" 1110 0.0027
"YJL173C" 1178 0.0029
"YMR241W" 899 0.0031
"YDR429C" 193 0.003
"YGR094W" 466 0.0027
"YKL096W" 1300 0.0028
"YDR483W" 208 0.0028
"YGL221C" 385 0.0026
"YDR339C" 165 0.0027
"YHR190W" 1516 0.0024
"YPL004C" 736 0.0029
"YMR246W" 902 0.0034
"YPL226W" 682 0.0038
"YJL124C" 1193 0.003
"YLR065C" 557 0.0018
"YER031C" 1396 0.0039
"YCR051W" 1608 0.0032
"YKR081C" 1352 0.003
"YOR095C" 287 0.0033
"YLR303W" 621 0.0023
"YOL155C" 226 0.0028
"YDL147W" 25 0.0022
"YPL163C" 697 0.0035
"YJR017C" 1228 0.0021
