"GeneNames" "GeneIndex" "ReferenceFreq"
"YBR173C" 1020 0.0022
"YOR310C" 354 0.0026
"YKL207W" 1266 0.0033
"YDL121C" 39 0.0025
"YHR051W" 1476 0.0026
"YOR294W" 349 0.0027
"YMR290C" 910 0.0034
"YOL143C" 229 0.0023
"YKL065C" 1309 0.0033
"YOR270C" 340 0.0029
"YDR513W" 219 0.0022
"YPL226W" 682 0.0036
"YDL147W" 25 0.0028
"YJL002C" 1220 0.0027
"YKL035W" 1317 0.0035
"YKL080W" 1304 0.0038
"YOR145C" 301 0.0024
"YER156C" 1446 0.0033
"YHR215W" 1524 0.0026
"YAL035W" 1652 0.0032
"YER003C" 1384 0.0031
"YJL192C" 1169 0.0037
"YEL040W" 1367 0.0025
"YCR004C" 1593 0.0023
"YIR037W" 1572 0.0032
"YLR449W" 662 0.0023
"YOR362C" 367 0.0028
"YJL008C" 1218 0.0032
"YNL248C" 1075 0.0025
"YOL129W" 233 0.002
"YDR404C" 187 0.0043
"YKR081C" 1352 0.0038
"YHR013C" 1464 0.0027
"YNL066W" 1128 0.0022
"YOR285W" 346 0.0025
"YBL040C" 945 0.0034
"YOR361C" 366 0.0032
"YOR153W" 303 0.0028
"YER146W" 1443 0.0025
"YJL124C" 1193 0.003
"YEL002C" 1382 0.0036
"YGL026C" 435 0.0024
"YGR175C" 488 0.002
"YDR346C" 168 0.0031
"YDR098C" 108 0.0042
"YML001W" 839 0.0018
"YHR039C.A" 1471 0.003
"YLR066W" 558 0.0032
"YKL058W" 1312 0.0027
"YJL196C" 1168 0.0022
"YBR039W" 973 0.0031
"YDR508C" 216 0.0035
"YKL013C" 1325 0.0041
"YCL001W" 1591 0.0038
"YER031C" 1396 0.0028
"YDR156W" 123 0.0033
"YNL111C" 1110 0.0026
"YCR051W" 1608 0.0031
"YDR212W" 138 0.003
"YHR001W.A" 1459 0.0021
"YDR152W" 120 0.0023
"YHR025W" 1468 0.0034
"YDR483W" 208 0.0027
"YNL052W" 1133 0.0024
"YAR015W" 1665 0.0021
"YFL022C" 1622 0.003
"YOR253W" 334 0.0038
"YJL014W" 1215 0.0032
"YER007C.A" 1387 0.0019
"YHR163W" 1509 0.0046
"YOL038W" 259 0.0033
"YDR328C" 164 0.0032
"YOR157C" 304 0.0039
"YGR264C" 519 0.0032
"YMR038C" 849 0.0024
"YPL154C" 699 0.002
"YNL113W" 1108 0.0047
"YJL026W" 1213 0.0025
"YLR437C" 656 0.0024
"YKL190W" 1271 0.0022
"YBR058C.A" 976 0.0027
"YPL094C" 715 0.0031
"YMR295C" 912 0.0039
"YOL026C" 261 0.003
"YJL097W" 1201 0.0027
"YNR043W" 1158 0.0019
"YPL239W" 675 0.0027
"YBL028C" 951 0.0033
"YOR117W" 294 0.0029
"YML079W" 814 0.0028
"YJR014W" 1226 0.0031
"YMR203W" 883 0.0034
"YPL145C" 701 0.0034
"YOL097C" 243 0.0017
"YER048W.A" 1402 0.0041
"YLR179C" 580 0.0029
"YGL055W" 425 0.003
"YOR375C" 372 0.002
"YDR339C" 165 0.0029
"YPR020W" 742 0.0032
"YJL217W" 1167 0.0032
"YDR322C.A" 163 0.0035
"YDR210W" 136 0.0028
"YPL135W" 704 0.0032
"YLR221C" 596 0.0041
"YNL141W" 1102 0.0028
"YJR063W" 1235 0.0031
"YLR438C.A" 658 0.0032
"YBL076C" 932 0.0023
"YIL076W" 1541 0.0033
"YLR060W" 554 0.0031
"YIL016W" 1564 0.0031
"YJR065C" 1237 0.0029
"YOR335C" 362 0.0029
"YDR056C" 92 0.003
"YDR177W" 130 0.0031
