"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj","zero.pvalue","zero.pvalue.adj","combined.pvalue","combined.pvalue.adj"
"YDL237W","YDL237W","NS",1,1,1,0.911302130450443,0.999727588202445,0.487819310721785,0.96371186382915,0.80494408954722,0.978018802678729
"YDL232W","YDL232W","NS",1,1,1,0.47126699014674,0.898284589178972,0.519669248409287,0.96371186382915,0.589455279686467,0.940059084903614
"YDL229W","YDL229W","NS",1,1,1,0.66442098693689,0.963121552368517,0.276400075049657,0.948490824030447,0.494879211126576,0.904274982557313
"YDL226C","YDL226C","NS",1,1,1,0.921291708808513,0.999727588202445,0.0145770712878236,0.565537628957984,0.0713157065413201,0.669076168539191
"YDL219W","YDL219W","NS",1,1,1,0.92783617606135,0.999727588202445,0.956585171453416,0.991867087400748,0.993426729554065,0.999013538749381
"YDL213C","YDL213C","NS",1,1,1,0.437198294536244,0.891068895139404,0.457657347123543,0.96371186382915,0.522027603401311,0.916021068284195
"YDL212W","YDL212W","NS",1,1,1,0.0135216604145111,0.441514073496686,0.446613562628849,0.96371186382915,0.03689515215375,0.537882644694975
"YDL208W","YDL208W","NS",1,1,1,0.199321449412979,0.763836450968818,0.280849812969671,0.949567999219561,0.21735519596658,0.761241480491257
"YDL201W","YDL201W","NS",1,1,1,0.944486798199501,0.999727588202445,0.320575650687345,0.955256633527461,0.664525411292055,0.954174202312057
"YDL198C","YDL198C","NS",1,1,1,0.160929620443743,0.724058131199495,0.269702380019842,0.948490824030447,0.17956837004463,0.747717666891125
"YDL192W","YDL192W","NS",1,1,1,0.24480955278033,0.80162059609231,0.315647337370869,0.955256633527461,0.275124851878368,0.793953978091975
"YDL191W","YDL191W","NS",1,1,1,0.323423689648085,0.8294694990913,0.256253526361933,0.939732782804726,0.289277328431848,0.798713325325002
"YDL188C","YDL188C","NS",1,1,1,0.254373478369195,0.80162059609231,0.38874940608162,0.96371186382915,0.327690761427189,0.835260702292238
"YDL185W","YDL185W","NS",1,1,1,0.0313374758904406,0.600454854130625,0.0188265587620208,0.58113817658394,0.00497670666373431,0.286074827877417
"YDL184C","YDL184C","NS",1,1,1,0.689151324909384,0.970751020122874,0.219051983345333,0.926242927897339,0.436386100417646,0.880696887888881
"YDL182W","YDL182W","NS",1,1,1,0.362439147326538,0.854577169156066,0.000533818040973287,0.154189853375304,0.00184776963778113,0.212006486772705
"YDL181W","YDL181W","NS",1,1,1,0.0244095085450421,0.544123470775008,0.00393960898126291,0.351500667994902,0.000985627889455573,0.205380211465305
"YDL171C","YDL171C","NS",1,1,1,0.879303411249829,0.995399274583932,0.466363024624122,0.96371186382915,0.775621733942635,0.971461313488738
"YDL168W","YDL168W","NS",1,1,1,0.566240497407606,0.938898949628435,0.538157723892632,0.96371186382915,0.666845614175933,0.955009998995945
"YDL167C","YDL167C","NS",1,1,1,0.99338148050278,0.999727588202445,0.17873900238104,0.900703118214216,0.484456107642154,0.900733357669656
"YDL166C","YDL166C","NS",1,1,1,0.235328004678502,0.799459377712882,0.114455437775277,0.857434896386585,0.124285389248787,0.708431675619529
"YDL165W","YDL165W","NS",1,1,1,0.0345759435559568,0.601871943237516,0.425095992757719,0.96371186382915,0.0767246056117693,0.669076168539191
"YDL157C","YDL157C","NS",1,1,1,0.928072235544914,0.999727588202445,0.925218693919011,0.989596686601839,0.989506028494909,0.999013538749381
"YDL153C","YDL153C","NS",1,1,1,0.0579663078482685,0.634686067351532,0.0895316271431205,0.840266790841853,0.0324937437698663,0.537882644694975
"YDL147W","YDL147W","NS",1,1,1,0.0361429745451364,0.601871943237516,0.145216286291677,0.894771625956421,0.0328023981277161,0.537882644694975
"YDL143W","YDL143W","NS",1,1,1,0.684980811184049,0.970146994259821,0.917811731380678,0.987406352338756,0.920472658224723,0.99473904812325
"YDL140C","YDL140C","NS",1,1,1,0.976312495691947,0.999727588202445,0.860922920290189,0.970642793049512,0.986549051437466,0.999013538749381
"YDL137W","YDL137W","NS",1,1,1,0.0965359180250082,0.653817125787896,0.0456387654447453,0.712233391103788,0.0283064232535242,0.514684862265624
"YDL136W","YDL136W","NS",1,1,1,0.0372957641750482,0.601871943237516,0.994313562370799,0.995404764562829,0.159258780984059,0.737456633056738
"YDL135C","YDL135C","NS",1,1,1,0.952442735515712,0.999727588202445,0.650654583984284,0.96371186382915,0.916244087810733,0.994114311867773
"YDL134C","YDL134C","NS",1,1,1,0.260613424902693,0.80162059609231,0.490737318644332,0.96371186382915,0.390912246212249,0.863113529054065
"YDL133C.A","YDL133C.A","NS",1,1,1,0.837146459901281,0.993349983532099,0.0349805640002081,0.662262751081148,0.132676917570419,0.708431675619529
"YDL131W","YDL131W","NS",1,1,1,0.953798105979529,0.999727588202445,0.86915905130764,0.972609363842879,0.984467040920018,0.999013538749381
