"GeneNames" "GeneIndex" "ReferenceFreq"
"YER136W" 1836 0.0022
"YNL098C" 1417 0.0025
"YGL002W" 557 0.0031
"YHR037W" 1884 0.0024
"YJL097W" 1517 0.0023
"YPL232W" 850 0.0026
"YJL158C" 1495 0.0016
"YNL064C" 1430 0.0022
"YGR146C" 612 0.0029
"YLR118C" 729 0.0025
"YOR228C" 427 0.0025
"YOL126C" 295 0.003
"YDR023W" 102 0.0028
"YER146W" 1840 0.0021
"YER050C" 1794 0.0025
"YJL016W" 1543 0.002
"YDL200C" 10 0.0024
"YMR173W.A" 1118 0.0018
"YPR148C" 987 0.0031
"YMR008C" 1058 0.0028
"YBR251W" 1320 0.0021
"YOR163W" 400 0.0024
"YLL018C.A" 687 0.0027
"YDL198C" 12 0.0021
"YDR454C" 253 0.0024
"YDR002W" 96 0.0026
"YLR447C" 832 0.0024
"YKR006C" 1701 0.0025
"YHR141C" 1917 0.0021
"YGR220C" 647 0.0017
"YBR177C" 1299 0.0035
"YPL127C" 888 0.0018
"YOL123W" 296 0.0015
"YLR439W" 830 0.0026
"YML001W" 1056 0.0024
"YBR101C" 1265 0.0019
"YPL094C" 903 0.0032
"YDL065C" 70 0.0017
"YNR018W" 1456 0.0027
"YDL055C" 73 0.002
"YPL231W" 851 0.0023
"YDR007W" 98 0.0023
"YKL054C" 1673 0.0017
"YJL078C" 1521 0.0027
"YKL156W" 1634 0.0027
"YBR230W.A" 1315 0.0033
"YOR157C" 396 0.0024
"YDR035W" 107 0.0018
"YDR366C" 219 0.002
"YGR207C" 643 0.003
"YDR337W" 210 0.0026
"YGR111W" 600 0.0021
"YCR003W" 2035 0.0026
"YOR021C" 348 0.0023
"YKL077W" 1665 0.0022
"YDR047W" 112 0.0028
"YPL249C.A" 842 0.0025
"YNL251C" 1364 0.0021
"YNL137C" 1403 0.0033
"YPL019C" 924 0.0021
"YLR250W" 768 0.0029
"YGR267C" 670 0.0028
"YPL063W" 912 0.0023
"YJR109C" 1592 0.0016
"YKL018C.A" 1688 0.0026
"YML100W" 1021 0.0027
"YLR028C" 701 0.0022
"YDL027C" 83 0.0025
"YER020W" 1775 0.0024
"YMR139W" 1106 0.0027
"YBR282W" 1333 0.0028
"YOR158W" 397 0.0028
"YBR120C" 1272 0.0023
"YDR322W" 205 0.0029
"YLR093C" 720 0.0019
"YDR394W" 235 0.003
"YDL045W.A" 78 0.0016
"YDR116C" 140 0.0015
"YIL070C" 1972 0.0021
"YPL015C" 925 0.002
"YBL002W" 1223 0.0029
"YNL007C" 1446 0.0035
"YHR199C" 1934 0.0029
"YOL011W" 337 0.0026
"YKR001C" 1699 0.0017
"YLR058C" 707 0.0018
"YEL002C" 1765 0.0024
"YGL006W" 554 0.0023
"YFR004W" 2085 0.0028
"YMR280C" 1165 0.0025
"YDL130W" 41 0.0023
"YBL056W" 1198 0.002
"YKL039W" 1678 0.0024
"YLR192C" 748 0.0023
"YBR214W" 1310 0.0025
"YNL149C" 1400 0.0028
"YDL086W" 58 0.0021
"YER042W" 1788 0.0024
"YGR215W" 645 0.002
"YGR193C" 636 0.0028
"YER080W" 1810 0.0023
"YJL121C" 1511 0.0036
"YBR162C" 1292 0.0024
"YMR146C" 1110 0.002
"YPL111W" 892 0.0021
"YEL051W" 1741 0.0025
"YGR102C" 596 0.0026
"YBR137W" 1282 0.0018
"YPR006C" 935 0.0017
"YKL184W" 1622 0.0021
"YMR105C" 1093 0.0021
"YHR121W" 1910 0.0023
"YOL040C" 326 0.0024
"YER063W" 1800 0.0019
"YML085C" 1028 0.0022
"YMR012W" 1060 0.0027
"YMR295C" 1169 0.0013
"YDR487C" 268 0.0017
"YDR150W" 148 0.0024
"YBR116C" 1270 0.0025
"YGR250C" 662 0.0034
"YKR035W.A" 1709 0.0018
"YDR486C" 267 0.0024
"YGR141W" 611 0.0024
"YML055W" 1040 0.0012
"YJR058C" 1568 0.0023
"YOR257W" 435 0.0026
"YLR330W" 800 0.0027
"YGL161C" 503 0.0022
"YLR164W" 738 0.0021
"YJR008W" 1554 0.0013
"YER017C" 1773 0.0019
"YPR052C" 955 0.0026
"YOL083W" 311 0.0022
"YCL028W" 2025 0.0022
"YPR108W" 973 0.0013
"YMR074C" 1082 0.002
"YOR123C" 382 0.0025
"YML007W" 1054 0.0023
"YDL143W" 32 0.0022
"YDL100C" 52 0.0026
"YKR042W" 1711 0.0023
"YDR084C" 130 0.0025
"YGR105W" 597 0.0024
"YMR056C" 1073 0.0027
"YGR055W" 581 0.0017
"YPL189C.A" 869 0.0023
"YMR114C" 1097 0.0029
"YGR194C" 637 0.0023
"YJL034W" 1539 0.0031
"YGL115W" 516 0.0025
"YOR176W" 406 0.0021
"YDL182W" 20 0.0025
"YPR154W" 990 0.0026
"YDR092W" 133 0.0021
"YHL004W" 1862 0.0019
"YNL045W" 1435 0.0018
"YBL039W.B" 1207 0.0021
"YIL088C" 1965 0.0018
"YBL022C" 1215 0.0024
"YLR201C" 751 0.0012
"YBR062C" 1251 0.001
"YHR110W" 1905 0.0022
"YFL004W" 2084 0.0032
"YPL206C" 863 0.0013
"YKL137W" 1644 0.0022
"YDL061C" 72 0.0026
"YJL008C" 1546 0.0025
"YMR206W" 1138 0.0022
"YDL133C.A" 38 0.0022
"YDR452W" 251 0.002
"YGL220W" 484 0.0025
"YGL173C" 502 0.0022
"YOL005C" 338 0.0018
"YOR184W" 409 0.0026
"YCR088W" 2063 0.0018
"YMR027W" 1063 0.0025
"YBR283C" 1334 0.0024
"YOR194C" 412 0.0032
"YGL208W" 488 0.0027
"YNR022C" 1458 0.0019
"YER125W" 1833 0.0023
"YMR197C" 1133 0.0023
"YJL020C" 1542 0.0021
"YGR239C" 656 0.0028
"YPL057C" 915 0.0026
"YFR010W" 2087 0.0018
"YPL260W" 839 0.0023
"YJR096W" 1584 0.0022
"YCL033C" 2024 0.0025
"YJR009C" 1555 0.0017
"YDL084W" 60 0.0028
"YOL026C" 332 0.0024
"YBR046C" 1244 0.0024
"YOR182C" 408 0.0024
"YJL155C" 1496 0.0016
"YGL245W" 476 0.0019
"YMR200W" 1134 0.0022
"YDR381C.A" 229 0.0023
"YBR297W" 1340 0.0018
"YHR132C" 1911 0.002
"YDR397C" 236 0.0027
"YDL053C" 74 0.0026
"YOR064C" 364 0.0022
"YGL219C" 485 0.0035
"YDR347W" 215 0.0019
"YBR106W" 1266 0.0026
"YJL144W" 1498 0.0023
"YFL010C" 2081 0.0026
"YJL117W" 1512 0.002
"YGL019W" 548 0.0025
"YNL156C" 1397 0.0019
"YMR171C" 1117 0.0023
"YLR350W" 806 0.0013
"YNL274C" 1357 0.0016
"YGL105W" 518 0.0022
"YPL117C" 891 0.0013
"YBR169C" 1295 0.0018
"YHR190W" 1929 0.0023
"YDR500C" 272 0.002
"YPL143W" 882 0.0025
"YLR345W" 805 0.0031
"YLR163C" 737 0.0027
"YNL252C" 1363 0.0017
"YDL165W" 28 0.0027
"YPR172W" 998 0.0017
"YMR298W" 1171 0.0022
"YDL212W" 6 0.0025
"YLR344W" 804 0.0023
"YCL001W" 2033 0.0027
"YNL315C" 1344 0.0022
"YHR009C" 1872 0.0023
"YMR195W" 1131 0.0024
"YDL064W" 71 0.0023
"YBR056W" 1248 0.003
"YBL027W" 1213 0.0032
"YKR048C" 1713 0.0023
"YBR199W" 1305 0.0026
"YDR508C" 273 0.002
"YFL017W.A" 2077 0.0019
"YGL221C" 483 0.0024
"YNL327W" 1342 0.0034
"YGL156W" 504 0.0022
"YPR103W" 972 0.0027
"YJR117W" 1594 0.0025
"YLR325C" 798 0.0024
"YKL207W" 1611 0.0022
"YPR170W.B" 997 0.0022
"YPR082C" 965 0.0019
"YIL123W" 1954 0.0029
"YML091C" 1025 0.0023
