"GeneNames" "GeneIndex" "ReferenceFreq"
"YKR074W" 1725 0.0027
"YLR118C" 729 0.0018
"YER119C" 1828 0.0022
"YMR298W" 1171 0.0026
"YDL182W" 20 0.0028
"YMR295C" 1169 0.003
"YGR146C" 612 0.0017
"YMR105C" 1093 0.0024
"YDR002W" 96 0.0024
"YBR006W" 1228 0.0024
"YJR133W" 1602 0.002
"YJR034W" 1561 0.0016
"YBR282W" 1333 0.0023
"YEL050C" 1742 0.002
"YNL045W" 1435 0.002
"YLR192C" 748 0.0027
"YOL151W" 288 0.0024
"YGR239C" 656 0.0022
"YGL055W" 533 0.0023
"YPL127C" 888 0.0023
"YBR116C" 1270 0.0023
"YER050C" 1794 0.0025
"YPL170W" 877 0.0019
"YER146W" 1840 0.0032
"YGR020C" 565 0.0019
"YPR043W" 953 0.0022
"YNL274C" 1357 0.0019
"YFL004W" 2084 0.0021
"YDR450W" 250 0.0029
"YDR047W" 112 0.0026
"YOL083W" 311 0.0023
"YDR487C" 268 0.0019
"YMR173W.A" 1118 0.0017
"YMR170C" 1116 0.0017
"YNL168C" 1392 0.0025
"YHR072W.A" 1894 0.002
"YEL002C" 1765 0.0023
"YNL115C" 1413 0.0018
"YPR140W" 984 0.002
"YOL040C" 326 0.002
"YNR037C" 1465 0.0021
"YFR032C.A" 2094 0.0026
"YBR046C" 1244 0.0021
"YNL084C" 1421 0.0021
"YMR197C" 1133 0.0028
"YNL010W" 1445 0.0022
"YNL327W" 1342 0.002
"YDR055W" 115 0.0027
"YIL088C" 1965 0.0018
"YCR003W" 2035 0.0026
"YMR012W" 1060 0.0029
"YGL002W" 557 0.0024
"YOL026C" 332 0.0029
"YGR032W" 572 0.0019
"YDR357C" 217 0.0024
"YOR086C" 368 0.0019
"YKL035W" 1680 0.0024
"YDR381C.A" 229 0.0013
"YBR024W" 1236 0.0027
"YBR214W" 1310 0.0023
"YDR092W" 133 0.0027
"YOR163W" 400 0.0016
"YJL097W" 1517 0.0017
"YBR251W" 1320 0.0015
"YKR042W" 1711 0.0015
"YKL018C.A" 1688 0.003
"YBR169C" 1295 0.0021
"YPL015C" 925 0.002
"YKR035W.A" 1709 0.0013
"YDR397C" 236 0.0024
"YBL027W" 1213 0.0025
"YNL098C" 1417 0.0031
"YHR110W" 1905 0.0022
"YMR206W" 1138 0.0024
"YIL123W" 1954 0.002
"YGR084C" 589 0.0028
"YMR143W" 1108 0.0026
"YBR062C" 1251 0.0018
"YDR394W" 235 0.0021
"YHR018C" 1876 0.0028
"YGR111W" 600 0.0024
"YKR006C" 1701 0.0025
"YDR366C" 219 0.0022
"YBR106W" 1266 0.0026
"YGL006W" 554 0.0016
"YMR225C" 1143 0.0023
"YHR132C" 1911 0.0021
"YKL207W" 1611 0.0022
"YDR150W" 148 0.0042
"YFR016C" 2091 0.0023
"YPL201C" 865 0.0021
"YOR064C" 364 0.0021
"YOR158W" 397 0.0018
"YNL156C" 1397 0.0034
"YDR486C" 267 0.0025
"YJL063C" 1526 0.0028
"YKR085C" 1728 0.0013
"YGL080W" 525 0.002
"YDL053C" 74 0.0017
"YPL019C" 924 0.0039
"YDR418W" 241 0.0018
"YDR116C" 140 0.0023
"YER165W" 1849 0.0027
"YCR097W" 2065 0.002
"YDL061C" 72 0.0033
"YEL021W" 1753 0.0021
"YER042W" 1788 0.0023
"YBR162C" 1292 0.0019
"YJL003W" 1549 0.002
"YGR220C" 647 0.0028
"YJL136C" 1504 0.0027
"YJR109C" 1592 0.0023
"YKR009C" 1703 0.0021
"YJL144W" 1498 0.002
"YER048C" 1792 0.0019
"YDL198C" 12 0.0017
"YGL198W" 492 0.0021
"YPR154W" 990 0.0025
"YLL040C" 679 0.0019
"YKR001C" 1699 0.0027
"YIL070C" 1972 0.0026
"YBR151W" 1290 0.0029
"YMR139W" 1106 0.0023
"YLR438W" 828 0.0023
"YBR120C" 1272 0.0016
"YNL137C" 1403 0.0024
"YBR230W.A" 1315 0.0032
"YBR297W" 1340 0.0027
"YOR021C" 348 0.0016
"YAR015W" 2135 0.003
"YFL010C" 2081 0.0021
"YJL138C" 1502 0.0025
"YCL001W" 2033 0.0027
"YFR004W" 2085 0.0025
"YOR289W" 448 0.0024
"YBR283C" 1334 0.0016
"YDL133C.A" 38 0.0021
"YDR084C" 130 0.0039
"YOL111C" 302 0.003
"YGR267C" 670 0.0024
"YBR132C" 1281 0.0018
"YHR199C" 1934 0.0021
"YIL010W" 1997 0.0032
"YDR337W" 210 0.0021
"YPR108W" 973 0.0024
"YDL027C" 83 0.0026
"YBR185C" 1302 0.0027
"YOR224C" 425 0.003
"YPR082C" 965 0.0014
"YGL103W" 519 0.0027
"YNR016C" 1454 0.0022
"YOL011W" 337 0.0019
"YPL111W" 892 0.0024
"YPR172W" 998 0.0022
"YDR353W" 216 0.0028
"YGL019W" 548 0.002
"YFR010W" 2087 0.0028
"YKL184W" 1622 0.0026
"YGL208W" 488 0.0032
"YDR494W" 270 0.0025
"YJL210W" 1477 0.003
"YHR037W" 1884 0.0022
"YBR164C" 1294 0.0026
"YNR022C" 1458 0.0023
"YPR052C" 955 0.0028
