"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj","zero.pvalue","zero.pvalue.adj","combined.pvalue","combined.pvalue.adj"
"YDL237W","YDL237W","NS",1,1,1,0.262507623528361,0.976306436621832,0.0960572510635078,0.999622821946429,0.118016973177058,0.999898468959961
"YDL234C","YDL234C","NS",1,1,1,0.866911664437128,0.99999285520842,0.516023158001087,0.999622821946429,0.807201780110378,0.999898468959961
"YDL232W","YDL232W","NS",1,1,1,0.633886194123118,0.99999285520842,0.688596553811557,0.999622821946429,0.798337296299996,0.999898468959961
"YDL226C","YDL226C","NS",1,1,1,0.693966910904242,0.99999285520842,0.511325180954813,0.999622821946429,0.722488426468847,0.999898468959961
"YDL215C","YDL215C","NS",1,1,1,0.894989236705766,0.99999285520842,0.990729039621819,0.999622821946429,0.993323426486171,0.999898468959961
"YDL212W","YDL212W","NS",1,1,1,0.74397823171207,0.99999285520842,0.648945328260345,0.999622821946429,0.834353039073228,0.999898468959961
"YDL208W","YDL208W","NS",1,1,1,0.876681098321458,0.99999285520842,0.12855449582712,0.999622821946429,0.35872984468431,0.999898468959961
"YDL204W","YDL204W","NS",1,1,1,0.536786336264274,0.99999285520842,0.298043695492834,0.999622821946429,0.453186980399323,0.999898468959961
"YDL202W","YDL202W","NS",1,1,1,0.621135154401446,0.99999285520842,0.47192471091847,0.999622821946429,0.652840086654322,0.999898468959961
"YDL200C","YDL200C","NS",1,1,1,0.862557427217175,0.99999285520842,0.347700066608433,0.999622821946429,0.661085005565186,0.999898468959961
"YDL199C","YDL199C","NS",2,1,2,0.874274701234487,0.99999285520842,0.530252564338198,0.999622821946429,0.819974243231813,0.999898468959961
"YDL198C","YDL198C","NS",1,1,1,0.0385338701877799,0.903246448179229,0.962674172578497,0.999622821946429,0.159297910306196,0.999898468959961
"YDL195W","YDL195W","NS",1,1,1,0.271028358215474,0.976306436621832,0.989608455424385,0.999622821946429,0.621172915755907,0.999898468959961
"YDL192W","YDL192W","NS",1,1,2,0.632972558864077,0.99999285520842,0.782401276083847,0.999622821946429,0.843250452334252,0.999898468959961
"YDL191W","YDL191W","NS",1,1,1,0.925874549166303,0.99999285520842,0.137059643929134,0.999622821946429,0.388866838633236,0.999898468959961
"YDL188C","YDL188C","NS",1,1,1,0.567111198276861,0.99999285520842,0.0905642897539093,0.999622821946429,0.203842546961195,0.999898468959961
"YDL185W","YDL185W","NS",1,1,1,0.420010838407539,0.99999285520842,0.34652289644314,0.999622821946429,0.426046369496824,0.999898468959961
"YDL184C","YDL184C","NS",1,1,2,0.382782420685126,0.99999285520842,0.159324937217886,0.999622821946429,0.231572804486028,0.999898468959961
"YDL183C","YDL183C","NS",1,1,1,0.521968512666054,0.99999285520842,0.603079156582868,0.999622821946429,0.678637943447072,0.999898468959961
"YDL182W","YDL182W","NS",1,1,1,0.225583653009569,0.96506035630958,0.590058361211116,0.999622821946429,0.401531887343278,0.999898468959961
"YDL181W","YDL181W","NS",1,1,1,0.64231522374159,0.99999285520842,0.628339592247613,0.999622821946429,0.76979160687242,0.999898468959961
"YDL180W","YDL180W","NS",1,1,1,0.99316724854419,0.99999285520842,0.590424567103102,0.999622821946429,0.899387679849969,0.999898468959961
"YDL178W","YDL178W","NS",1,1,1,0.861677250590996,0.99999285520842,0.649558900668808,0.999622821946429,0.884530208941324,0.999898468959961
"YDL174C","YDL174C","NS",1,1,1,0.34305674071197,0.99999285520842,0.861712707831982,0.999622821946429,0.655881865086336,0.999898468959961
"YDL171C","YDL171C","NS",1,1,1,0.931328691507293,0.99999285520842,0.993009610666338,0.999622821946429,0.997100245632648,0.999898468959961
"YDL169C","YDL169C","NS",1,1,1,0.470234551704789,0.99999285520842,0.602321741795928,0.999622821946429,0.640526655866073,0.999898468959961
"YDL168W","YDL168W","NS",1,1,1,0.43549795244455,0.99999285520842,0.388080678760304,0.999622821946429,0.469472588192246,0.999898468959961
"YDL165W","YDL165W","NS",1,1,1,0.158672107147738,0.934475117870004,0.790020901626361,0.999622821946429,0.385666398067601,0.999898468959961
"YDL161W","YDL161W","NS",1,1,1,0.281301231884904,0.976306436621832,0.638137966030443,0.999622821946429,0.487821073805013,0.999898468959961
"YDL147W","YDL147W","NS",1,1,1,0.839475919250283,0.99999285520842,0.146773552981983,0.999622821946429,0.38120110968557,0.999898468959961
"YDL144C","YDL144C","NS",1,1,1,0.967920853352017,0.99999285520842,0.217461031727874,0.999622821946429,0.53849248669812,0.999898468959961
"YDL143W","YDL143W","NS",1,1,1,0.628160695383303,0.99999285520842,0.539337610096859,0.999622821946429,0.705488514424122,0.999898468959961
"YDL142C","YDL142C","NS",1,1,1,0.772379250122264,0.99999285520842,0.748396967311544,0.999622821946429,0.894874227749225,0.999898468959961
"YDL140C","YDL140C","NS",1,1,1,0.117095874178285,0.910987234803564,0.937585892226115,0.999622821946429,0.352330855856617,0.999898468959961
"YDL137W","YDL137W","NS",2,2,2,0.784458714484431,0.99999285520842,0.753689991393303,0.999622821946429,0.901955587513718,0.999898468959961
"YDL135C","YDL135C","NS",1,1,1,0.389164843774455,0.99999285520842,0.841880451136179,0.999622821946429,0.6932229107902,0.999898468959961
"YDL134C","YDL134C","NS",1,1,1,0.523280977559365,0.99999285520842,0.574574638947002,0.999622821946429,0.661990519416091,0.999898468959961
"YDL133C.A","YDL133C.A","NS",1,1,1,0.14458818337846,0.917151080365144,0.953066653143738,0.999622821946429,0.410917287374657,0.999898468959961
"YDL131W","YDL131W","NS",1,2,1,0.715416453906509,0.99999285520842,0.638862207651527,0.999622821946429,0.814904988622414,0.999898468959961
"YDL130W.A","YDL130W.A","NS",1,1,1,0.940930843735661,0.99999285520842,0.351192614968032,0.999622821946429,0.696355002589074,0.999898468959961
"YDL130W","YDL130W","NS",1,1,1,0.472461982163267,0.99999285520842,0.0836671411076132,0.999622821946429,0.167237913862674,0.999898468959961
"YDL128W","YDL128W","NS",1,1,1,0.743110810966362,0.99999285520842,0.139523289475235,0.999622821946429,0.338667992660512,0.999898468959961
"YDL126C","YDL126C","NS",1,1,1,0.336223513860075,0.99999285520842,0.548483575932429,0.999622821946429,0.496177590360849,0.999898468959961
"YDL125C","YDL125C","NS",1,1,1,0.687181711244199,0.99999285520842,0.814700692491363,0.999622821946429,0.884609865537559,0.999898468959961
"YDL124W","YDL124W","NS",1,1,1,0.648009910087788,0.99999285520842,0.0640297044255847,0.999622821946429,0.17352973728226,0.999898468959961
"YDL123W","YDL123W","NS",1,1,1,0.26949791858509,0.976306436621832,0.504489126035453,0.999622821946429,0.407251388075361,0.999898468959961
"YDL120W","YDL120W","NS",1,1,1,0.803181126984705,0.99999285520842,0.914056959079675,0.999622821946429,0.961034138755538,0.999898468959961
"YDL115C","YDL115C","NS",1,1,1,0.452468664448015,0.99999285520842,0.0138019467527197,0.999622821946429,0.0379441966261143,0.999898468959961
"YDL110C","YDL110C","NS",1,1,1,0.661422679015915,0.99999285520842,0.851764501068522,0.999622821946429,0.886645874271693,0.999898468959961
"YDL104C","YDL104C","NS",1,1,1,0.652012825130107,0.99999285520842,0.304287239520344,0.999622821946429,0.519304742716639,0.999898468959961
"YDL103C","YDL103C","NS",1,1,1,0.387651105343026,0.99999285520842,0.128357406266796,0.999622821946429,0.199060731071117,0.999898468959961
"YDL100C","YDL100C","NS",1,1,1,0.846777795294574,0.99999285520842,0.489362055439789,0.999622821946429,0.779437928540889,0.999898468959961
"YDL099W","YDL099W","NS",1,1,1,0.0693840273095715,0.910987234803564,0.411576788099724,0.999622821946429,0.130100984295606,0.999898468959961
"YDL097C","YDL097C","NS",1,1,1,0.128382945483891,0.910987234803564,0.148949096974194,0.999622821946429,0.0947882160488267,0.999898468959961
"YDL095W","YDL095W","NS",1,1,1,0.993331107527858,0.99999285520842,0.370082599451544,0.999622821946429,0.735493904177286,0.999898468959961
"YDL092W","YDL092W","NS",1,1,1,0.94865953634294,0.99999285520842,0.936998854815391,0.999622821946429,0.993585392916668,0.999898468959961
"YDL091C","YDL091C","NS",1,1,1,0.960605213604762,0.99999285520842,0.748063911391817,0.999622821946429,0.956059708666839,0.999898468959961
"YDL086W","YDL086W","NS",1,1,1,0.865350423752254,0.99999285520842,0.773579380608485,0.999622821946429,0.938086335732851,0.999898468959961
"YDL085W","YDL085W","NS",1,1,1,0.53375758245774,0.99999285520842,0.483259353351053,0.999622821946429,0.607460525737712,0.999898468959961
"YDL084W","YDL084W","NS",1,1,1,0.951123383417172,0.99999285520842,0.554843746045558,0.999622821946429,0.865036157813197,0.999898468959961
