"GeneNames" "GeneIndex" "ReferenceFreq"
"YBR088C" 1265 0.0014
"YJL164C" 1508 0.003
"YNR021W" 1471 0.0021
"YMR105C" 1097 0.0021
"YPL117C" 903 0.0025
"YLR351C" 812 0.0023
"YJL052W" 1548 0.0021
"YLR438C.A" 843 0.0023
"YGR182C" 638 0.0026
"YOL064C" 321 0.0034
"YPL206C" 876 0.0027
"YMR205C" 1134 0.0022
"YJL104W" 1530 0.0022
"YOR099W" 372 0.0022
"YHR042W" 1915 0.0019
"YPR073C" 970 0.0024
"YOR221C" 418 0.0034
"YPL015C" 937 0.0022
"YCR088W" 2109 0.0027
"YKR018C" 1717 0.0025
"YOR153W" 392 0.0024
"YDR007W" 102 0.0021
"YHR057C" 1920 0.0016
"YBR036C" 1239 0.0019
"YER163C" 1869 0.0026
"YHR025W" 1905 0.0023
"YOR039W" 355 0.0013
"YGR244C" 664 0.002
"YLL041C" 686 0.0022
"YPR033C" 955 0.0031
"YML009C" 1063 0.0018
"YMR256C" 1156 0.002
"YOR335C" 465 0.0016
"YMR235C" 1144 0.0035
"YJL174W" 1502 0.0028
"YJL192C" 1494 0.0016
"YGL137W" 521 0.0026
"YEL040W" 1762 0.0023
"YMR194C.B" 1127 0.0023
"YBR096W" 1267 0.0024
"YIL157C" 1980 0.0025
"YPL232W" 866 0.0032
"YLR065C" 719 0.0016
"YML100W" 1032 0.0027
"YPR181C" 1009 0.0018
"YJR133W" 1611 0.0025
"YPR058W" 963 0.0021
"YBR162W.A" 1296 0.0022
"YLR099W.A" 729 0.0023
"YNL153C" 1408 0.002
"YOR163W" 396 0.002
"YBL045C" 1202 0.0023
"YDR284C" 197 0.0031
"YER145C" 1860 0.0024
"YPL246C" 859 0.0017
"YLR093C" 727 0.0013
"YJL060W" 1546 0.0022
"YDR427W" 247 0.0015
"YJR120W" 1605 0.0016
"YFL004W" 2129 0.0025
"YGR231C" 658 0.0022
"YGL221C" 493 0.0027
"YKL002W" 1707 0.0036
"YFL021W" 2122 0.0026
"YDR148C" 153 0.0012
"YAL049C" 2161 0.0019
"YHR071W" 1925 0.0019
"YKR043C" 1726 0.0024
"YLR414C" 834 0.0028
"YOR187W" 407 0.0019
"YBR151W" 1292 0.0017
"YBR199W" 1308 0.0022
"YGR130C" 618 0.0024
"YIL065C" 2015 0.0027
"YPR182W" 1010 0.0024
"YMR238W" 1147 0.0026
"YMR181C" 1121 0.0015
"YMR108W" 1098 0.0022
"YBR268W" 1336 0.0024
"YGR063C" 602 0.0029
"YDL064W" 77 0.0016
"YJR025C" 1570 0.0029
"YPR170W.B" 1004 0.0021
"YMR197C" 1130 0.0018
"YNL307C" 1355 0.0021
"YHR104W" 1933 0.0021
"YNL134C" 1413 0.0028
"YOL111C" 304 0.0018
"YCR036W" 2097 0.0022
"YPL183W.A" 884 0.0019
"YKL077W" 1674 0.0013
"YHR181W" 1964 0.0017
"YOL030W" 334 0.0021
"YDR452W" 253 0.0025
"YJL008C" 1557 0.002
"YHR136C" 1949 0.0018
"YER095W" 1842 0.0027
"YGL242C" 483 0.0031
"YDR041W" 115 0.0027
"YMR194W" 1126 0.0016
"YFR034W.A" 2144 0.0025
"YOR303W" 453 0.0025
"YBR269C" 1337 0.0021
"YDL086W" 64 0.0026
"YPL031C" 933 0.0016
"YER141W" 1857 0.0027
"YPR114W" 981 0.0029
"YDR404C" 241 0.003
"YBL059C.A" 1195 0.0021
"YBR249C" 1325 0.003
"YCL017C" 2074 0.0023
"YNL130C" 1415 0.0018
"YJL191W" 1495 0.0021
"YER122C" 1849 0.0021
"YMR027W" 1079 0.002
"YPR052C" 961 0.0021
"YFR006W" 2132 0.0017
"YLR268W" 784 0.0031
"YGL161C" 513 0.0019
"YCR069W" 2106 0.0021
"YDR408C" 242 0.0024
"YOR197W" 409 0.0019
"YLR028C" 705 0.0031
"YER091C" 1838 0.0027
"YOR367W" 471 0.0024
"YPR004C" 944 0.0019
"YBR126W.A" 1280 0.0027
"YOR224C" 421 0.002
"YML052W" 1051 0.0021
"YDR394W" 239 0.0027
"YJL127C.B" 1523 0.0024
"YFR051C" 2151 0.0019
"YPR191W" 1014 0.0015
"YCL050C" 2063 0.0022
"YOR150W" 390 0.0015
"YMR120C" 1102 0.0025
"YPL240C" 862 0.0027
"YDL120W" 54 0.0028
"YIL010W" 2040 0.0023
"YGL068W" 549 0.0025
"YIL075C" 2011 0.0032
"YOR253W" 434 0.0022
"YIL087C" 2006 0.0022
"YMR246W" 1152 0.0017
"YNL156C" 1406 0.001
"YEL066W" 1751 0.0029
"YGR161W.C" 629 0.0023
"YNR018W" 1470 0.0019
"YDR127W" 146 0.0035
"YIR036C" 2055 0.0017
"YDR531W" 286 0.0019
"YOL147C" 292 0.0022
"YOR261C" 437 0.0026
"YLR104W" 731 0.0017
"YBR145W" 1288 0.0025
"YLR356W" 815 0.0016
"YGL019W" 571 0.0035
"YLR437C" 841 0.0025
"YAL014C" 2174 0.0021
"YER125W" 1851 0.0032
"YDL134C" 43 0.0026
"YKL067W" 1676 0.0022
"YDR471W" 260 0.0031
"YHR108W" 1936 0.002
"YMR272C" 1161 0.0021
"YDL131W" 45 0.0022
"YLR348C" 811 0.0024
"YJL138C" 1519 0.002
"YLR406C" 830 0.0029
"YOR311C" 455 0.0016
"YPR194C" 1015 0.0019
"YLR342W" 808 0.0022
"YFR047C" 2148 0.0029
"YNL084C" 1432 0.002
"YMR241W" 1148 0.0018
"YDR242W" 186 0.0019
"YJR125C" 1608 0.0033
"YDR214W" 176 0.003
"YDR001C" 99 0.002
"YEL038W" 1764 0.0031
"YML070W" 1044 0.0017
"YAR027W" 2185 0.0025
"YHR068W" 1923 0.0026
"YER035W" 1805 0.0018
"YJR135W.A" 1612 0.0024
"YDR366C" 224 0.0025
"YER083C" 1832 0.0019
"YHR072W.A" 1927 0.0017
"YHR028C" 1908 0.0024
"YPL019C" 936 0.002
"YKL066W" 1677 0.0021
"YGL157W" 515 0.0022
"YAL046C" 2162 0.002
"YDL052C" 83 0.0027
"YPL145C" 894 0.0014
"YDL135C" 42 0.0025
"YMR178W" 1120 0.0025
"YOR061W" 362 0.0032
"YNL305C" 1357 0.0023
"YBR222C" 1316 0.0021
"YHR199C" 1971 0.0024
"YNL098C" 1427 0.0013
"YDR372C" 227 0.0022
"YBL091C" 1187 0.0026
"YHR064C" 1922 0.0025
"YOR234C" 427 0.0026
"YHR143W.A" 1955 0.0029
"YML069W" 1045 0.0017
"YKR013W" 1715 0.0024
"YLR113W" 734 0.0018
"YPR100W" 976 0.0022
"YMR200W" 1131 0.0023
"YJL171C" 1505 0.0023
"YML128C" 1020 0.0024
"YNL189W" 1394 0.0025
"YGL047W" 556 0.0028
"YDR236C" 183 0.002
"YDR016C" 105 0.0019
"YHR209W" 1977 0.0025
"YGL020C" 570 0.0038
"YGL022W" 568 0.0016
"YDR391C" 238 0.0019
"YJL184W" 1497 0.0019
"YHR138C" 1951 0.0028
"YHR029C" 1909 0.0018
"YLR204W" 759 0.002
"YFR004W" 2131 0.0021
"YOR259C" 436 0.0022
"YGR001C" 581 0.0019
"YDR517W" 280 0.0028
"YCL033C" 2070 0.003
"YJL078C" 1538 0.0025
"YDR354W" 222 0.0013
"YAL060W" 2158 0.0021
"YIL077C" 2009 0.0033
"YNL287W" 1365 0.0025
"YMR236W" 1145 0.0028
"YPL091W" 913 0.0031
"YDR115W" 143 0.003
"YIL109C" 2000 0.002
"YNL067W" 1440 0.0026
"YOR347C" 466 0.0024
"YEL020W.A" 1774 0.0026
"YLR372W" 821 0.0017
"YLR190W" 751 0.0023
"YOR164C" 397 0.0028
"YJL124C" 1524 0.0029
"YBR187W" 1304 0.0022
"YBR171W" 1300 0.0024
"YOR323C" 461 0.0015
"YMR123W" 1105 0.003
"YIL121W" 1996 0.0034
"YKL150W" 1649 0.0026
"YIL033C" 2029 0.0029
"YGL173C" 511 0.0024
"YGL196W" 503 0.0031
"YGL224C" 492 0.0021
"YGL215W" 496 0.0023
"YDL018C" 91 0.0024
"YJR088C" 1591 0.0019
"YDL110C" 57 0.0028
"YDL022W" 89 0.0025
"YFR010W" 2134 0.0016
"YDL078C" 70 0.0025
"YAL042W" 2165 0.0018
"YOL011W" 339 0.0022
"YML007W" 1065 0.0025
"YBL050W" 1200 0.0025
"YOR065W" 364 0.0016
"YOR327C" 463 0.0023
"YKL126W" 1658 0.0027
"YHR030C" 1910 0.0025
"YER010C" 1792 0.002
"YOL077W.A" 316 0.0022
"YGR038W" 597 0.0017
"YGL080W" 542 0.0026
"YOL002C" 342 0.0027
"YML098W" 1033 0.0022
"YOR085W" 367 0.0027
"YKL100C" 1665 0.0017
"YBR080C" 1260 0.0019
"YPR154W" 997 0.0032
"YPR124W" 983 0.0023
"YNR035C" 1475 0.0026
"YCR046C" 2100 0.0026
"YAL023C" 2170 0.0018
"YLR214W" 763 0.0021
"YOR374W" 474 0.002
"YNL301C" 1359 0.0015
"YDR516C" 279 0.0023
"YOR036W" 354 0.0029
"YNL322C" 1349 0.0018
"YNL101W" 1424 0.0019
"YDR486C" 267 0.0027
"YCR053W" 2103 0.0034
"YIL154C" 1982 0.0025
"YCR082W" 2108 0.0032
"YJR058C" 1577 0.0033
"YEL024W" 1772 0.0023
"YNL255C" 1377 0.0021
"YCL057W" 2061 0.0015
"YNL268W" 1371 0.0029
"YKL008C" 1702 0.002
"YIL016W" 2038 0.0031
"YHR132C" 1947 0.0031
"YDR502C" 272 0.0025
"YMR146C" 1111 0.0026
"YKL184W" 1633 0.0032
"YOL049W" 328 0.0034
"YML125C" 1022 0.0025
"YKR088C" 1742 0.0015
"YDL147W" 34 0.0025
"YGR207C" 650 0.0021
"YGR181W" 637 0.0022
"YKL003C" 1706 0.0016
"YOR130C" 384 0.0016
"YJR001W" 1562 0.0019
"YGR235C" 661 0.0024
"YGL001C" 580 0.0023
"YDR084C" 133 0.0026
"YIL078W" 2008 0.003
"YGL002W" 579 0.0029
"YDR457W" 257 0.0026
"YKL128C" 1656 0.0018
"YLR262C.A" 782 0.0023
"YNL111C" 1421 0.0019
"YLL023C" 693 0.0026
"YLR120C" 736 0.0019
"YGR175C" 634 0.0025
"YJL012C" 1556 0.0029
"YPR187W" 1012 0.0019
"YNL310C" 1354 0.0022
"YDR379C.A" 232 0.0022
"YML022W" 1058 0.0022
"YMR304C.A" 1172 0.0023
"YLR220W" 766 0.0024
"YDR059C" 122 0.0023
"YBL076C" 1192 0.0023
"YGL231C" 487 0.0028
"YBL056W" 1198 0.0027
"YLR250W" 776 0.0026
"YBR252W" 1326 0.0018
"YLR218C" 765 0.0022
"YER074W.A" 1829 0.002
"YOR176W" 402 0.0017
"YBL036C" 1207 0.0026
"YHR037W" 1911 0.0026
"YOR027W" 353 0.002
"YOR052C" 360 0.0028
"YLR270W" 785 0.002
"YEL006W" 1783 0.0016
"YBL057C" 1197 0.0016
"YDR212W" 175 0.0029
"YNL306W" 1356 0.0025
"YMR170C" 1117 0.0022
"YMR183C" 1122 0.0011
"YER037W" 1807 0.0022
"YBL058W" 1196 0.003
"YPL163C" 889 0.0026
"YBR177C" 1302 0.0023
"YER090W" 1837 0.0024
"YDR497C" 270 0.0031
"YLL014W" 696 0.0021
"YCL028W" 2072 0.0026
"YOR220W" 417 0.0029
"YMR015C" 1076 0.0021
"YLR375W" 822 0.0017
"YPR067W" 967 0.0027
"YDR476C" 263 0.0018
"YKL058W" 1683 0.0023
"YLR359W" 816 0.002
"YDR079W" 132 0.002
"YPR176C" 1007 0.0027
"YBR164C" 1297 0.0018
"YDL237W" 3 0.0042
"YNL274C" 1370 0.0019
"YGR125W" 617 0.0022
"YGR132C" 619 0.002
"YGR105W" 610 0.0019
"YAL062W" 2156 0.002
"YJR143C" 1615 0.0027
"YDL226C" 8 0.002
"YGR137W" 622 0.0026
"YBR248C" 1324 0.0025
"YKR048C" 1728 0.0019
"YPR108W" 979 0.0021
"YER146W" 1861 0.0024
"YBR046C" 1244 0.002
"YOR232W" 426 0.0021
"YJL014W" 1555 0.0025
"YER119C" 1847 0.0019
"YHR135C" 1948 0.0013
"YDL140C" 39 0.0028
"YKL094W" 1668 0.0016
"YHR113W" 1939 0.0022
"YFR052C.A" 2153 0.0021
"YKL175W" 1637 0.0028
"YPR098C" 975 0.0018
"YBR111C" 1273 0.0019
"YJL068C" 1540 0.0024
