"GeneNames" "GeneIndex" "ReferenceFreq"
"YOL052C.A" 327 0.0034
"YDR452W" 253 0.0023
"YOR303W" 453 0.0025
"YGL161C" 513 0.0016
"YER091C" 1838 0.0023
"YPR181C" 1009 0.0011
"YMR197C" 1130 0.0023
"YOL111C" 304 0.0018
"YNL301C" 1359 0.0018
"YDL064W" 77 0.0026
"YPL206C" 876 0.0026
"YNL307C" 1355 0.0031
"YBR126W.A" 1280 0.0029
"YDL086W" 64 0.002
"YDR408C" 242 0.002
"YPR114W" 981 0.0025
"YER083C" 1832 0.0032
"YOR221C" 418 0.0028
"YPR100W" 976 0.0026
"YJL060W" 1546 0.0026
"YHR104W" 1933 0.0024
"YDR148C" 153 0.0038
"YBR036C" 1239 0.0021
"YLR438C.A" 843 0.0021
"YPL232W" 866 0.0026
"YDR007W" 102 0.0015
"YGL224C" 492 0.0025
"YML009C" 1063 0.002
"YPR170W.B" 1004 0.0031
"YJL174W" 1502 0.0028
"YPR194C" 1015 0.0018
"YHR071W" 1925 0.0023
"YGL137W" 521 0.0017
"YJR133W" 1611 0.0023
"YJR120W" 1605 0.0022
"YMR238W" 1147 0.0024
"YKL077W" 1674 0.002
"YMR027W" 1079 0.0027
"YPL031C" 933 0.0019
"YDR379C.A" 232 0.002
"YKL150W" 1649 0.0019
"YIL075C" 2011 0.0017
"YHR042W" 1915 0.0018
"YPL183W.A" 884 0.0023
"YLR065C" 719 0.002
"YLR104W" 731 0.0031
"YMR108W" 1098 0.0025
"YDR427W" 247 0.0027
"YLR342W" 808 0.0027
"YDR453C" 254 0.0023
"YGL242C" 483 0.0032
"YOL064C" 321 0.0024
"YFL004W" 2129 0.002
"YJL104W" 1530 0.0029
"YPR033C" 955 0.002
"YAR027W" 2185 0.0031
"YHR030C" 1910 0.0022
"YOR039W" 355 0.003
"YIR036C" 2055 0.0014
"YBR222C" 1316 0.0016
"YBR268W" 1336 0.0023
"YDR127W" 146 0.0021
"YPR052C" 961 0.0023
"YMR090W" 1093 0.0025
"YOR253W" 434 0.0024
"YOR367W" 471 0.0026
"YMR256C" 1156 0.0033
"YHR068W" 1923 0.0024
"YER095W" 1842 0.0023
"YLR437C" 841 0.0024
"YCL017C" 2074 0.0012
"YIL157C" 1980 0.0012
"YJL138C" 1519 0.0015
"YER141W" 1857 0.0028
"YCR069W" 2106 0.0017
"YGL157W" 515 0.0027
"YPL145C" 894 0.0024
"YBR249C" 1325 0.0023
"YML069W" 1045 0.0027
"YBR199W" 1308 0.0022
"YHR025W" 1905 0.0019
"YOR150W" 390 0.0025
"YOR347C" 466 0.0028
"YFL021W" 2122 0.0021
"YGR235C" 661 0.0027
"YKL002W" 1707 0.0025
"YGL221C" 493 0.003
"YHR138C" 1951 0.0016
"YBR151W" 1292 0.0023
"YLR406C" 830 0.0026
"YJL192C" 1494 0.0023
"YMR120C" 1102 0.0018
"YDR404C" 241 0.0024
"YFR034W.A" 2144 0.0031
"YER163C" 1869 0.0029
"YPL015C" 937 0.0018
"YMR205C" 1134 0.0024
"YBR162W.A" 1296 0.0027
"YMR194W" 1126 0.0023
"YCR082W" 2108 0.0016
"YDR391C" 238 0.0022
"YHR064C" 1922 0.0012
"YER122C" 1849 0.0024
"YDR001C" 99 0.0029
"YLR093C" 727 0.0023
"YGR244C" 664 0.0024
"YCR088W" 2109 0.0017
"YBR269C" 1337 0.0019
"YPL246C" 859 0.0028
"YKR013W" 1715 0.0031
"YGR161W.C" 629 0.0022
"YCR053W" 2103 0.0024
"YOR197W" 409 0.0017
"YJL008C" 1557 0.0018
"YJR025C" 1570 0.0028
"YBR096W" 1267 0.0017
"YDR394W" 239 0.0022
"YPL091W" 913 0.0014
"YPR124W" 983 0.0024
"YGL215W" 496 0.0018
"YNR018W" 1470 0.0014
"YCL050C" 2063 0.0025
"YOR036W" 354 0.0025
"YOR099W" 372 0.002
"YOR153W" 392 0.0019
"YDL120W" 54 0.003
"YLL023C" 693 0.0029
"YGR130C" 618 0.0015
"YNL130C" 1415 0.0017
"YHR029C" 1909 0.0028
"YJL191W" 1495 0.0028
"YKL008C" 1702 0.0032
"YLR348C" 811 0.002
"YER125W" 1851 0.0026
"YML128C" 1020 0.0011
"YJL171C" 1505 0.0025
"YDR502C" 272 0.0023
"YGL047W" 556 0.0027
"YHR181W" 1964 0.0016
"YJL164C" 1508 0.0026
"YDR354W" 222 0.0014
"YMR105C" 1097 0.0031
"YFR006W" 2132 0.0022
"YGR063C" 602 0.0024
"YMR146C" 1111 0.002
"YAL061W" 2157 0.0021
"YPL019C" 936 0.0023
"YBR145W" 1288 0.0017
"YBR171W" 1300 0.0017
"YBL091C" 1187 0.002
"YDL095W" 62 0.0021
"YDL135C" 42 0.002
"YER074W.A" 1829 0.0026
"YOR224C" 421 0.0027
"YEL040W" 1762 0.0023
"YNL287W" 1365 0.0018
"YLL041C" 686 0.0015
"YHR199C" 1971 0.0026
"YOL002C" 342 0.0024
"YCL057W" 2061 0.0023
"YPR058W" 963 0.002
"YLR268W" 784 0.0035
"YHR057C" 1920 0.0027
"YPL117C" 903 0.0022
"YOR261C" 437 0.0019
"YBL076C" 1192 0.0022
"YOR311C" 455 0.0021
"YPR191W" 1014 0.0027
"YFR024C.A" 2139 0.0017
"YDR041W" 115 0.0026
"YOR163W" 396 0.0023
"YMR241W" 1148 0.0029
"YDL226C" 8 0.0019
"YGL173C" 511 0.0025
"YKR018C" 1717 0.0028
"YBL045C" 1202 0.002
"YHR028C" 1908 0.0032
"YFR004W" 2131 0.0023
"YNL084C" 1432 0.0019
"YIL154C" 1982 0.0015
"YKR043C" 1726 0.0017
"YGL019W" 571 0.002
"YBL059C.A" 1195 0.0021
"YHR072W.A" 1927 0.0016
"YPR073C" 970 0.0031
"YDR236C" 183 0.0024
"YMR184W" 1123 0.0024
"YPR182W" 1010 0.0018
"YGR231C" 658 0.0024
"YLR351C" 812 0.0018
"YGR105W" 610 0.0035
"YOR187W" 407 0.0026
"YHR132C" 1947 0.0019
"YEL038W" 1764 0.0018
"YDR471W" 260 0.0022
"YDR119W.A" 145 0.0029
"YDL134C" 43 0.0018
"YGL002W" 579 0.0024
"YDR284C" 197 0.002
"YNR021W" 1471 0.0024
"YIL121W" 1996 0.0016
"YFR053C" 2154 0.0023
"YCL033C" 2070 0.0019
"YDL018C" 91 0.0026
"YEL066W" 1751 0.003
"YNL322C" 1349 0.0021
"YEL024W" 1772 0.0026
"YOR085W" 367 0.0031
"YOR176W" 402 0.0023
"YHR108W" 1936 0.0016
"YIR029W" 2049 0.0026
"YHR087W" 1931 0.0017
"YIL010W" 2040 0.0022
"YAL049C" 2161 0.0025
"YDR214W" 176 0.0026
"YBR164C" 1297 0.0021
"YNL111C" 1421 0.0022
"YML100W" 1032 0.002
"YFR047C" 2148 0.0025
"YGL022W" 568 0.0028
"YGR182C" 638 0.0028
"YJR088C" 1591 0.0021
"YMR194C.B" 1127 0.0021
"YER037W" 1807 0.0019
"YDR016C" 105 0.0016
"YCR043C" 2098 0.003
"YOR065W" 364 0.0018
