"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj","zero.pvalue","zero.pvalue.adj","combined.pvalue","combined.pvalue.adj"
"YDL243C","YDL243C","NS",1,1,1,0.430856190925379,0.676046909315751,0.713390696869418,0.953745919081001,0.669973907392531,0.840834570736749
"YDL238C","YDL238C","NS",1,1,1,0.182855932956497,0.499425266887433,0.424363787894921,0.888135797925269,0.275953624081912,0.596988780810869
"YDL237W","YDL237W","NS",1,1,1,0.0539474622210278,0.355506603740894,0.414554047774251,0.886082454454464,0.107354498430036,0.462786068974472
"YDL236W","YDL236W","NS",1,1,1,0.82312887495857,0.905607548733371,0.509735158778672,0.914432028886182,0.78398370468919,0.890278194199562
"YDL235C","YDL235C","NS",1,1,1,0.105682393957632,0.422568127039398,0.600043408909577,0.927525919085524,0.238314356412501,0.579217874039283
"YDL232W","YDL232W","NS",1,1,1,0.101938210162137,0.419465031652254,0.558650409573403,0.926008118578437,0.220138632679705,0.562657882785022
"YDL229W","YDL229W","NS",1,1,1,0.774216032240236,0.876054909603789,0.304404426355659,0.822909754859305,0.576296133235702,0.78552979824473
"YDL226C","YDL226C","NS",1,1,1,0.010759160695283,0.23126700966138,0.213884804696773,0.800019580539617,0.0162795631249088,0.24681953520265
"YDL224C","YDL224C","NS",1,1,1,0.180422748199614,0.496255633488258,0.0801882088515576,0.703225677025557,0.0757508408515428,0.412757075462895
"YDL219W","YDL219W","NS",1,1,1,0.0296530116465566,0.301249241676863,0.364580210041113,0.863045523483044,0.0597540162435395,0.383277742191542
"YDL217C","YDL217C","NS",1,1,1,0.277176712901903,0.577611295576873,0.101820633308085,0.733310852467166,0.128909416469054,0.485632887904969
"YDL215C","YDL215C","NS",1,1,1,0.934541105641743,0.965433277052869,0.960363412775506,0.988542605942693,0.994557488474782,0.995468672614475
"YDL212W","YDL212W","NS",1,1,1,0.192903749247316,0.50478406240166,0.34939229337263,0.850045526087847,0.249182759282538,0.580685359089235
"YDL210W","YDL210W","NS",1,1,1,0.58968745773951,0.780416169085905,0.263948052706232,0.813154411665801,0.445175780720883,0.704498331188752
"YDL204W","YDL204W","NS",1,1,1,0.224201359705295,0.533895137710615,0.500616375626907,0.90982941673819,0.357719415399543,0.659036191102867
"YDL200C","YDL200C","NS",1,1,1,0.364482508571151,0.631557717072138,0.637234437382295,0.933843442988016,0.571337050610284,0.781989786155066
"YDL198C","YDL198C","NS",1,1,2,0.0273771549513229,0.300612717188497,0.271427215617616,0.815430919101133,0.0438580007607118,0.353615245985813
"YDL195W","YDL195W","NS",1,1,1,0.24973108731529,0.554026615142947,0.791617003419346,0.96514450839373,0.518158617948405,0.749471162717266
"YDL192W","YDL192W","NS",1,2,1,0.304769283089518,0.595103559920104,0.406608933529216,0.886082454454464,0.382683711660645,0.671078579437006
"YDL191W","YDL191W","NS",1,1,1,0.757234052862415,0.867167927413195,0.938791912148567,0.984569411518076,0.953470741698607,0.970835535468344
"YDL190C","YDL190C","NS",1,1,1,0.334865459753359,0.61589312252617,0.975159941503551,0.993853582549933,0.692012752928524,0.851622129899835
"YDL188C","YDL188C","NS",1,1,1,0.0271163123185073,0.300612717188497,0.231678979830364,0.808820118884747,0.038133577583025,0.343300621850655
"YDL185W","YDL185W","NS",1,1,1,0.377582672261491,0.641039734958321,0.12186763042794,0.7628015407788,0.187685747851662,0.532606736714745
"YDL184C","YDL184C","NS",1,1,1,0.0359704787793523,0.322704701572608,0.590882254888989,0.927525919085524,0.103108844051559,0.454219403735193
"YDL182W","YDL182W","NS",1,1,1,0.819957083659107,0.903482716992007,0.59007211624846,0.927525919085524,0.835103833634579,0.913606316642825
"YDL181W","YDL181W","NS",1,1,1,0.272352057542916,0.574785631326318,0.0623982745611602,0.659429850121817,0.0862439807894335,0.434234050635578
"YDL179W","YDL179W","NS",1,1,1,0.226377004582532,0.53535482569061,0.29775643267801,0.819772457056546,0.249199281517844,0.580685359089235
"YDL174C","YDL174C","NS",1,1,2,0.359077603834289,0.62995453518903,0.561166979470888,0.926008118578437,0.524300124196582,0.75071806773888
"YDL171C","YDL171C","NS",1,1,1,0.280114370256998,0.579426650588007,0.00602872062473158,0.305126729278745,0.0124692164655271,0.236605865927184
"YDL169C","YDL169C","NS",1,1,1,0.622785739651919,0.792456758986514,0.195918149508769,0.798538853263592,0.378687194048279,0.669800141139719
"YDL168W","YDL168W","NS",1,1,1,0.358149762428402,0.62995453518903,0.548264883898682,0.923569422402455,0.515997428427304,0.748753217836405
"YDL165W","YDL165W","NS",1,1,1,0.59408726099751,0.781976304385277,0.286226918842043,0.818404958317484,0.471310209381106,0.721157428219689
"YDL157C","YDL157C","NS",1,1,1,0.59091122409854,0.780617306321227,0.592939265479568,0.927525919085524,0.717830667254671,0.860797742931891
