"GeneNames" "GeneIndex" "ReferenceFreq"
"YMR158W" 2352 8e-04
"YHR123W" 3989 0.0015
"YMR125W" 2329 0.0011
"YAL021C" 4438 0.0011
"YIR011C" 4190 0.0016
"YGR277C" 1411 8e-04
"YOR303W" 960 0.0011
"YDL063C" 138 0.0012
"YDL112W" 98 0.001
"YDR182W" 323 0.0014
"YIL115C" 4094 0.0019
"YDL207W" 21 0.0012
"YML032C" 2213 7e-04
"YPL064C" 1948 0.0011
"YOR064C" 774 8e-04
"YML019W" 2224 0.0013
"YJL207C" 3125 0.001
"YFR016C" 4368 8e-04
"YDL123W" 89 0.0014
"YOR015W" 736 7e-04
"YDL099W" 108 0.0015
"YIL091C" 4114 0.0012
"YHR003C" 3892 0.0014
"YDL145C" 68 0.0012
"YDR498C" 571 0.0015
"YPR146C" 2098 0.0011
"YKL150W" 3443 0.001
"YKR003W" 3568 0.0015
"YMR059W" 2284 5e-04
"YLR193C" 1599 0.0011
"YLR414C" 1756 0.0015
"YDR308C" 418 8e-04
"YML031W" 2214 8e-04
"YEL036C" 3678 0.001
"YHR072W" 3948 9e-04
"YJL133W" 3178 5e-04
"YGL255W" 1019 0.0012
"YDR237W" 364 0.0014
"YDL236W" 3 0.0014
"YDL189W" 36 6e-04
"YOL158C" 604 0.0015
"YDR068W" 231 8e-04
"YNL154C" 2941 0.0011
"YIL019W" 4165 0.0013
"YCR052W" 4292 0.0011
"YDR349C" 454 0.0013
"YOR065W" 775 6e-04
"YOL052C" 684 0.0019
"YDR292C" 402 0.0017
"YLL034C" 1435 0.0016
"YDR493W" 566 0.0013
"YHR009C" 3897 8e-04
"YBR110W" 2661 8e-04
"YDR194C" 334 0.0016
"TLC1" 2595 0.0012
"YIL110W" 4098 0.001
"YJL044C" 3248 0.0024
"YGR130C" 1300 0.0015
"YOR094W" 797 0.0011
"YOL094C" 650 0.0011
"YDR527W" 591 8e-04
"YIL085C" 4118 0.0012
"YDL195W" 31 5e-04
"YML038C" 2209 0.0012
"YMR188C" 2371 9e-04
"YJL101C" 3201 0.0012
"YGL027C" 1185 7e-04
"YMR157C" 2351 0.0011
"YPR029C" 2015 9e-04
"YLL029W" 1437 0.0013
"YOR176W" 858 0.001
"YBR245C" 2761 0.001
"YIL106W" 4102 0.0012
"YML115C" 2150 9e-04
"YNL186W" 2915 9e-04
"YMR006C" 2244 0.0012
"YJR074W" 3330 4e-04
"YKL041W" 3528 8e-04
"YNL132W" 2957 7e-04
"YPL260W" 1799 0.001
"YHR062C" 3939 0.001
"YDL148C" 66 8e-04
"YJL212C" 3121 8e-04
"YDR016C" 191 0.0015
"YGR230W" 1379 6e-04
"YGR111W" 1287 0.0012
"YJL198W" 3131 6e-04
"YNL038W" 3039 0.0013
"YGR215W" 1369 9e-04
"YHR144C" 4005 0.0011
"YBR288C" 2798 8e-04
"YJR112W.A" 3359 0.0016
"YHL002W" 3887 7e-04
"YKL109W" 3473 0.0013
"YPL206C" 1842 0.0014
"YPL032C" 1969 0.0013
"YKR020W" 3581 0.0012
"YNL108C" 2976 0.0012
"YNL180C" 2920 8e-04
"YBL051C" 2524 0.0011
"YOR151C" 840 0.0011
"YER089C" 3783 8e-04
"YIL063C" 4133 0.0011
"YKL006C.A" 3559 6e-04
"YOR089C" 792 0.001
"YMR039C" 2271 7e-04
"YHR030C" 3915 0.0012
"YOR001W" 725 0.0018
"YJL208C" 3124 8e-04
"YNL032W" 3042 8e-04
"YMR184W" 2368 0.0012
"YIL008W" 4175 9e-04
"YGR257C" 1397 0.0016
"YDR139C" 282 0.0016
"YHR216W" 4052 5e-04
"YPR101W" 2063 0.0017
"YBR166C" 2706 0.001
"YBR123C" 2671 0.001
"YNR012W" 3074 7e-04
"YML121W" 2145 0.0011
"YBL004W" 2563 0.0013
"YNL005C" 3060 0.0018
"YGL050W" 1170 8e-04
"YNL313C" 2819 0.0016
"YNL288W" 2841 6e-04
