"GeneNames" "GeneIndex" "ReferenceFreq"
"YPL096C.A" 1920 0.0011
"YDR266C" 384 0.001
"YDR090C" 251 0.0013
"YNL310C" 2822 8e-04
"YPL092W" 1925 0.0011
"YMR043W" 2274 0.0012
"YGR215W" 1369 0.0012
"YNR052C" 3110 0.0016
"YHR009C" 3897 0.0015
"YLR168C" 1580 6e-04
"YAL060W" 4403 6e-04
"YMR039C" 2271 0.0014
"YLL034C" 1435 0.001
"YPL063W" 1949 6e-04
"YKR013W" 3576 0.0011
"YGR186W" 1344 8e-04
"YDL070W" 132 0.0012
"YDL235C" 4 0.0015
"YGR147C" 1311 0.001
"YER133W" 3819 0.0012
"YPL260W" 1799 6e-04
"YNR030W" 3089 5e-04
"YBR222C" 2743 7e-04
"YCR094W" 4318 0.0012
"YLR222C" 1621 0.0011
"YML019W" 2224 0.0013
"YDR299W" 409 0.001
"YDR264C" 383 0.0012
"YFR002W" 4357 0.0011
"YDR366C" 467 5e-04
"YGL101W" 1129 7e-04
"YOR196C" 871 9e-04
"YKL157W" 3437 0.0011
"YJL010C" 3269 0.0013
"YHR123W" 3989 0.0011
"YMR189W" 2372 0.0013
"YHL002W" 3887 9e-04
"YGR108W" 1285 0.0012
"YEL024W" 3687 0.0012
"YBR142W" 2687 0.0011
"YIL009W" 4174 0.0012
"YHR146W" 4006 0.0016
"YEL032W" 3682 9e-04
"YNL005C" 3060 0.0014
"YBL090W" 2496 6e-04
"YPL112C" 1905 5e-04
"YOR176W" 858 0.0012
"YMR080C" 2299 0.0014
"YJR025C" 3293 0.0016
"YGL091C" 1138 0.0012
"YDL122W" 90 0.0011
"YDR232W" 359 0.0013
"YPL190C" 1851 0.0012
"YBR105C" 2658 0.0017
"YNL264C" 2858 0.0018
"YMR239C" 2417 0.0011
"YDL236W" 3 0.0012
"YOR074C" 781 0.001
"YJL186W" 3141 0.0015
"YGL172W" 1075 0.0015
"YJR060W" 3318 0.001
"YPR056W" 2035 0.001
"YBR026C" 2588 8e-04
"YDL116W" 95 0.0015
"YNL289W" 2840 9e-04
"YNL045W" 3033 5e-04
"YER080W" 3775 0.0011
"YDR139C" 282 9e-04
"YGR163W" 1323 0.0011
"YKL205W" 3400 0.0014
"YHR028C" 3913 0.0016
"YGR026W" 1224 8e-04
"YBR062C" 2618 0.0018
"YNL252C" 2868 0.0015
"YER152C" 3836 0.0013
"YDL144C" 69 8e-04
"YGR084C" 1265 0.0015
"YHR122W" 3988 0.0013
"YPL206C" 1842 8e-04
"YDR194C" 334 0.0016
"YDR257C" 378 7e-04
"YDL115C" 96 0.0011
"YOR042W" 757 0.0016
"YLR002C" 1462 0.0017
"YGR283C" 1417 8e-04
"YPL221W" 1830 9e-04
"YGR137W" 1305 0.0014
"YJL081C" 3216 0.001
"YBR236C" 2754 0.0021
"YOR078W" 784 0.0016
"YAL021C" 4438 0.0017
"YKR070W" 3623 9e-04
"YOR241W" 906 0.0011
"YGR130C" 1300 8e-04
"YPL064C" 1948 8e-04
"YEL013W" 3696 9e-04
"YKL109W" 3473 0.0017
"YML103C" 2161 4e-04
"YMR061W" 2286 0.0012
"YNL074C" 3006 9e-04
"YDR296W" 406 5e-04
"YLR019W" 1473 0.001
"YMR244C.A" 2422 0.0012
"YDR059C" 222 0.001
"YMR315W" 2479 8e-04
"YKR006C" 3570 0.0016
"YDR335W" 443 0.0018
"YJR042W" 3301 0.0013
"YHR018C" 3904 0.0013
"YNL038W" 3039 0.0012
"YDL076C" 127 0.001
"YNL147W" 2946 5e-04
"YIR035C" 4203 0.0013
"YGL196W" 1061 0.001
"YBR014C" 2579 0.0014
"YJR101W" 3350 8e-04
"YKL028W" 3537 0.0011
"YBR262C" 2777 0.0018
"YIL088C" 4116 0.0012
"YJL168C" 3154 0.002
"YHR027C" 3912 0.0011
"YDL189W" 36 8e-04
"YPL071C" 1941 0.0012
"YDR411C" 507 0.0012
"YKL112W" 3471 0.0015
"YPR101W" 2063 7e-04
"YHR144C" 4005 0.0012
"YNL156C" 2939 9e-04
"YBR029C" 2590 8e-04
"YIR006C" 4187 0.0015
"YLR021W" 1475 0.0015
"YKL067W" 3507 0.0015
"YBR104W" 2657 6e-04
"YOR320C" 976 0.002
"YHR127W" 3990 0.0012
"YGR090W" 1269 7e-04
"YLR199C" 1604 0.001
"YLR120C" 1554 0.0013
"YDR294C" 404 8e-04
"TLC1" 2595 0.0012
"YDR308C" 418 0.0014
"YCL052C" 4216 0.001
"YNL108C" 2976 0.0012
"YPR156C" 2104 0.0014
"YOR151C" 840 9e-04
"YJL207C" 3125 0.001
"YJL101C" 3201 0.0015
"YLR193C" 1599 0.0011
"YGL209W" 1052 5e-04
"YKL125W" 3463 6e-04
"YMR209C" 2389 0.0012
"YPL250C" 1806 0.0011
"YOR305W" 963 9e-04
"YGL095C" 1135 0.0014
"YFR042W" 4389 0.0011
"YKL144C" 3447 0.0017
"YKL150W" 3443 9e-04
"YDR349C" 454 9e-04
"YOL027C" 700 0.0014
"YDL117W" 94 0.001
"YHR100C" 3970 5e-04
"YMR238W" 2416 0.0013
"YMR088C" 2303 0.001
"YPR190C" 2133 0.0011
"YOR303W" 960 0.0011
"YJR006W" 3281 0.0011
"YDL015C" 169 0.0015
"YDR182W" 323 0.0012
"YJL011C" 3268 5e-04
"YIL019W" 4165 0.0014
"YFL048C" 4323 9e-04
"YGL038C" 1179 0.0014
"YOL008W" 718 0.0014
"YDR013W" 190 5e-04
"YBR053C" 2609 0.0013
"YDL207W" 21 0.001
"YLR033W" 1485 0.001
"YOL136C" 618 0.0013
"YDR127W" 275 0.0011
"YDR079W" 240 0.0014
"YNL197C" 2908 0.0011
"YHR188C" 4033 0.0011
"YER027C" 3733 0.0011
"YDR135C" 280 0.0017
"YDR201W" 340 8e-04
"YBR198C" 2726 0.0011
"YHL004W" 3885 7e-04
"YPL050C" 1957 0.001
"YKL138C.A" 3453 0.0015
"YKL010C" 3555 0.0012
"YDL145C" 68 9e-04
"YCR052W" 4292 0.0016
"YHR043C" 3927 0.0017
"YJR112W.A" 3359 0.0014
"YBL004W" 2563 0.0012
"YDL123W" 89 0.0011
