"GeneNames" "GeneIndex" "ReferenceFreq"
"YDR329C" 437 6e-04
"YER008C" 3714 0.0011
"YKL052C" 3520 9e-04
"YML101C" 2163 0.001
"YJR142W" 3385 6e-04
"YIL056W" 4135 0.0016
"YGL196W" 1061 0.0014
"YDL065C" 136 0.0012
"YHR072W" 3948 0.0016
"YPL063W" 1949 0.0013
"YER115C" 3802 0.0011
"YNL265C" 2857 0.0015
"YMR209C" 2389 0.0022
"YLR089C" 1527 0.0011
"YGR014W" 1218 9e-04
"YNL185C" 2916 0.0016
"YLL023C" 1442 0.0012
"YPR156C" 2104 0.001
"YDR424C" 517 9e-04
"YDR498C" 571 0.0012
"YBL079W" 2505 9e-04
"YDR083W" 245 0.0013
"YBL038W" 2533 0.0011
"YJL212C" 3121 8e-04
"YGR008C" 1213 0.0011
"YGL065C" 1158 0.0013
"YIL121W" 4090 0.0012
"YLR256W" 1644 7e-04
"YMR110C" 2317 0.0012
"YAR003W" 4457 0.0012
"YMR039C" 2271 0.0016
"YPL235W" 1820 0.001
"YIR036C" 4204 9e-04
"YIR004W" 4185 9e-04
"YIL091C" 4114 6e-04
"YNL186W" 2915 0.0019
"YFL041W" 4329 8e-04
"YKL126W" 3462 0.0011
"YOR002W" 726 0.0011
"YJL069C" 3227 0.001
"YPR139C" 2092 5e-04
"YML030W" 2215 9e-04
"YIL003W" 4179 9e-04
"YIL157C" 4056 0.0013
"YMR047C" 2276 0.0013
"YIL004C" 4178 0.0014
"YNL327W" 2808 7e-04
"YGL044C" 1174 6e-04
"YGR147C" 1311 0.0013
"YDL099W" 108 0.001
"YIL063C" 4133 0.0015
"YKL138C.A" 3453 0.001
"YCL008C" 4247 0.001
"YPL274W" 1789 8e-04
"YDR135C" 280 0.001
"YNR037C" 3097 0.0019
"YPR009W" 2000 0.0015
"YDL115C" 96 4e-04
"YAL053W" 4409 0.0012
"YKL204W" 3401 0.0013
"YOR148C" 837 0.0011
"YPL157W" 1872 0.001
"YER183C" 3859 0.0016
"YHR204W" 4047 0.0011
"YJR126C" 3370 8e-04
"YNL107W" 2977 0.0017
"YML098W" 2165 8e-04
"YBR061C" 2617 0.0011
"YKL114C" 3469 0.0018
"YDR296W" 406 0.0011
"YHR146W" 4006 0.001
"YER176W" 3854 9e-04
"YJR125C" 3369 0.001
"YLL001W" 1460 8e-04
"YNL222W" 2891 8e-04
"YIL070C" 4127 0.0019
"YDR139C" 282 0.0013
"YGR099W" 1277 9e-04
"YOL059W" 677 0.0013
"YOR020W.A" 741 0.0011
"YOL014W" 711 5e-04
"YAL016W" 4441 0.001
"YMR315W" 2479 0.0011
"YPL208W" 1840 0.0011
"YLL039C" 1432 0.0017
"YDR148C" 291 9e-04
"YOR073W" 780 0.0014
"YGL072C" 1153 0.0014
"YMR005W" 2243 0.0012
"YHR037W" 3920 9e-04
"YDR493W" 566 0.0014
"YDR462W" 542 0.0013
"YLR298C" 1672 8e-04
"YDL133W" 80 8e-04
"YJR096W" 3345 0.0015
"YHL020C" 3877 0.0013
"YDL045W.A" 150 0.0018
"YPL173W" 1864 0.0012
"YPL221W" 1830 8e-04
"YOL093W" 651 0.0011
"YML070W" 2187 0.0013
"YDR503C" 574 8e-04
"YKL101W" 3478 0.0015
"YNL100W" 2983 0.0015
"YLR201C" 1606 0.001
"YNL068C" 3012 0.001
"YGR108W" 1285 7e-04
"YER022W" 3728 0.001
"YHR039C" 3922 7e-04
"YKL027W" 3538 8e-04
"YER172C" 3851 6e-04
"YDR252W" 375 0.0011
"YNL132W" 2957 0.0015
"YNL118C" 2969 0.0013
"YHR191C" 4035 0.0012
"YBR002C" 2568 0.0016
"YKL039W" 3530 0.0011
"YKR087C" 3637 0.0018
"YDR370C" 470 9e-04
"YDL207W" 21 0.001
"YCR020C.A" 4267 0.001
"YML113W" 2152 0.0011
"YMR184W" 2368 0.0017
"YPL122C" 1900 0.0011
"YJL033W" 3255 9e-04
"YJL133W" 3178 0.0012
"YNL182C" 2918 0.0014
"YDR374W.A" 474 0.0014
"YGL037C" 1180 0.0014
"YBL090W" 2496 0.0011
"YKL214C" 3393 0.0013
"YOR143C" 834 7e-04
"YIL085C" 4118 0.001
"YDL022W" 164 0.0012
"YOR201C" 874 0.0014
"YLR199C" 1604 8e-04
"YNR038W" 3098 0.0014
"YJL127C.B" 3183 8e-04
"YER141W" 3825 0.0014
"YJL109C" 3197 4e-04
"YOR320C" 976 5e-04
"YNL259C" 2862 8e-04
"YDR390C" 492 9e-04
"YBL022C" 2549 9e-04
"YGL172W" 1075 0.0011
"YDR376W" 476 0.001
"YOR194C" 869 4e-04
"YDR287W" 399 0.001
"YNL243W" 2876 0.0016
"YMR134W" 2337 0.0013
"YGL209W" 1052 0.001
"YNR012W" 3074 0.0012
"YOL036W" 694 0.0014
"YDL148C" 66 8e-04
"YLL040C" 1431 5e-04
"YPL128C" 1896 0.0013
"YLR348C" 1705 9e-04
"YIL026C" 4160 0.0011
"YDR292C" 402 0.0011
"YHL002W" 3887 0.001
"YHR024C" 3909 0.001
"YKL046C" 3524 8e-04
"YDL198C" 29 8e-04
"YPR056W" 2035 0.0012
"YGL112C" 1120 0.0011
"YDR337W" 445 0.001
"YLL036C" 1433 0.0012
"YJR056C" 3314 0.0017
"YML116W.A" 2148 7e-04
"YNL206C" 2905 8e-04
"YDR168W" 309 6e-04
"YMR296C" 2462 0.0011
"YFR055W" 4401 0.0016
"YPR072W" 2044 0.0013
"YMR061W" 2286 7e-04
"YML081W" 2177 0.0011
"YOR299W" 958 7e-04
"YPR173C" 2118 7e-04
"YGR233C" 1382 0.0011
"YDR366C" 467 8e-04
"YOR015W" 736 0.0015
"YJR074W" 3330 8e-04
"YKR038C" 3594 9e-04
"YGL039W" 1178 0.0012
"YJR120W" 3364 0.0015
"YER134C" 3820 0.0014
"YHR027C" 3912 0.0012
"YMR171C" 2358 0.0012
"YKR037C" 3593 0.0012
"YNL166C" 2929 0.001
"YGR145W" 1309 0.001
"YBR207W" 2734 0.0012
"YGR218W" 1372 4e-04
"YHR103W" 3972 0.0014
"YKR003W" 3568 0.0013
"YHR074W" 3951 0.0014
"YPL169C" 1867 0.001
"YCR023C" 4269 0.0012
"YCL052C" 4216 8e-04
"YDR127W" 275 0.0013
"YBR123C" 2671 7e-04
"YJL168C" 3154 3e-04
"YBR110W" 2661 5e-04
"YOR217W" 888 9e-04
"YDR143C" 286 0.0012
"YHR104W" 3973 6e-04
"YKR007W" 3571 9e-04
"YKL023W" 3541 0.0018
"YLR295C" 1670 0.0014
"YLR052W" 1498 8e-04
"YLR363W.A" 1719 0.0011
"YGL014W" 1195 7e-04
"YNR055C" 3113 0.0013
"YDR019C" 193 0.0015
"YLR002C" 1462 0.0014
"YLR105C" 1541 0.001
"YNR054C" 3112 0.0012
"YLR410W" 1753 0.0011
"YPR057W" 2036 0.0011
"YBL042C" 2528 0.0011
"YOL010W" 716 9e-04
"YJR024C" 3292 0.0011
"YER163C" 3844 0.0012
"YMR138W" 2339 0.0014
"YER062C" 3759 0.0015
"YLR034C" 1486 0.001
"YGR241C" 1387 0.001
"YGR142W" 1308 0.0018
"YGL190C" 1066 7e-04
"YHR137W" 3999 9e-04
"YJL006C" 3271 0.0015
"YIL104C" 4104 0.0011
"YDR530C" 595 0.001
"YHL004W" 3885 0.0011
"YKL144C" 3447 0.0015
"YGL085W" 1143 6e-04
"YOL146W" 609 9e-04
"YJL200C" 3129 8e-04
"YDL088C" 117 6e-04
"YPL053C" 1954 8e-04
"YML112W" 2153 0.0014
"YOR236W" 903 0.0016
"YIL005W" 4177 0.0011
"YML093W" 2169 8e-04
"YHL048W" 3861 0.0014
"YJR073C" 3329 0.0015
"YJL060W" 3235 0.0012
"YHR100C" 3970 0.0013
"YAL013W" 4444 0.001
"YOL103W" 642 0.0011
"YMR197C" 2380 0.0013
"YOR221C" 890 8e-04
"YGL071W" 1154 8e-04
"YOR067C" 777 0.0015
"YPL196W" 1848 0.0012
"YHR142W" 4002 0.0012
"YKL100C" 3479 8e-04
"YDR113C" 266 0.0014
"YBR287W" 2797 7e-04
"YLL027W" 1439 0.0013
"YJR101W" 3350 0.0011
"YGR215W" 1369 0.001
"YDR120C" 271 6e-04
"YDR322W" 431 0.0013
"YMR221C" 2401 0.0011
"YLR154C" 1573 0.0011
"YPR067W" 2042 7e-04
"YJL031C" 3256 0.0014
"YER046W" 3745 0.001
"YEL022W" 3688 0.0012
"YDR435C" 524 0.0014
"YDR349C" 454 0.001
"YDR464W" 544 0.0016
"YBR080C" 2633 0.0014
"YNL221C" 2892 7e-04
"YDL085C.A" 119 9e-04
"YDR308C" 418 0.001
"YOR089C" 792 0.0013
"YPL047W" 1960 0.0011
"YBR254C" 2769 0.0015
"YJL003W" 3274 0.0015
"YLR332W" 1694 0.0018
"YBL081W" 2503 0.0014
"YNL323W" 2811 8e-04
"YPL139C" 1887 0.0013
"YGR133W" 1302 0.001
"YGR146C" 1310 9e-04
"YGR178C" 1337 0.0011
"YOR064C" 774 0.0012
"YHR188C" 4033 0.0011
"YPL024W" 1975 0.0013
"YCR036W" 4283 6e-04
"YNL246W" 2873 0.001
"YHR062C" 3939 0.0012
"YJL125C" 3185 0.0011
"YFL009W" 4348 0.0013
"YBR167C" 2707 0.0016
"YMR059W" 2284 0.0016
"YGR163W" 1323 0.001
"YOR250C" 914 0.0012
"YOR165W" 852 9e-04
"YCR047C" 4290 0.0013
"YJL041W" 3250 8e-04
"YGL050W" 1170 8e-04
"YIL145C" 4069 0.0015
"YDR222W" 351 0.0011
"YIL008W" 4175 0.001
"YIL020C" 4164 2e-04
"YMR299C" 2465 0.0015
"YML121W" 2145 0.001
"YDR357C" 459 9e-04
"YER080W" 3775 9e-04
"YLL029W" 1437 5e-04
"YFR011C" 4365 0.0011
"YNL219C" 2894 9e-04
"YKL138C" 3454 6e-04
"YJR100C" 3349 0.0015
"YGL040C" 1177 0.0014
"YPR154W" 2102 0.0012
"YBR042C" 2601 0.001
"YLR248W" 1639 0.0013
"YGR078C" 1259 0.0014
"YJR132W" 3375 0.001
"YNL292W" 2837 9e-04
"YLR183C" 1590 0.001
"YBR029C" 2590 0.0015
"YGR191W" 1347 0.0013
"YDR348C" 453 0.001
"YBL095W" 2491 0.0014
"YEL024W" 3687 0.001
"YOR131C" 826 6e-04
"YER143W" 3827 0.0014
"YIL087C" 4117 0.0013
"YNL330C" 2806 9e-04
"YML007W" 2234 0.0014
"YCL034W" 4230 6e-04
"YMR311C" 2475 0.001
"YAL060W" 4403 5e-04
"YGL079W" 1148 0.0011
"YOR079C" 785 9e-04
"snR33" 4262 9e-04
"YBR070C" 2625 0.0016
"YCL002C" 4251 6e-04
"YJL062W" 3233 7e-04
"YOR086C" 790 4e-04
"TLC1" 2595 8e-04
"YLR209C" 1611 0.0015
"YBR222C" 2743 5e-04
"YPL260W" 1799 9e-04
"YLL011W" 1451 0.0012
"YMR239C" 2417 6e-04
"YDR260C" 380 7e-04
"YLR243W" 1635 0.0011
"YAR027W" 4465 0.0015
"YIR011C" 4190 7e-04
"YKL142W" 3449 0.0019
"YDL108W" 101 8e-04
"YPL178W" 1859 9e-04
"YNL191W" 2911 0.0022
"YOR057W" 767 0.0013
"YGR277C" 1411 0.001
"YAR014C" 4460 9e-04
"YDL010W" 173 0.0013
"YJL081C" 3216 0.001
"YFL034C.B" 4334 9e-04
"YKL104C" 3476 0.001
"YBR126C" 2673 8e-04
"YGR295C" 1421 0.0012
"YOR382W" 1014 0.0013
"YLR200W" 1605 0.0011
"YGL082W" 1146 0.0011
"YCR017C" 4264 0.0015
"YML114C" 2151 8e-04
"YJR032W" 3295 0.0011
"YEL006W" 3700 0.0011
"YCL057W" 4212 9e-04
"YGR120C" 1294 0.0017
"YDL150W" 65 0.0013
"YOR267C" 929 0.0011
"YKL041W" 3528 6e-04
"YGR201C" 1357 7e-04
"YKL042W" 3527 6e-04
"YLL031C" 1436 8e-04
"YFR005C" 4360 7e-04
"YGL181W" 1071 0.0013
"YLR398C" 1745 0.0016
"YGR193C" 1349 7e-04
"YBR041W" 2600 0.0013
"YJR051W" 3310 0.0014
"YGR244C" 1388 0.0017
"YCR035C" 4282 0.0012
"YBR276C" 2789 0.0022
"YKL057C" 3516 0.001
"YER119C" 3806 0.0015
"YER019W" 3724 0.001
"YER112W" 3800 0.001
"YLR401C" 1747 9e-04
"YLR375W" 1728 7e-04
"YHL031C" 3869 0.0012
"YDR170C" 311 0.0011
"YEL066W" 3655 9e-04
"YKL054C" 3518 6e-04
"YKR090W" 3640 0.0013
"YLR389C" 1737 0.0011
"YHR123W" 3989 6e-04
"YLR321C" 1687 0.0017
"YML096W" 2167 0.001
"YKR060W" 3613 0.0017
"YDR489W" 563 6e-04
"YOL088C" 655 0.0013
"YDR060W" 223 0.0012
"YKR006C" 3570 8e-04
"YOL064C" 672 7e-04
"YKR070W" 3623 0.0013
"YNL022C" 3052 0.001
"YBR233W.A" 2751 0.001
"YPL030W" 1971 0.0012
"YDL122W" 90 0.0013
"YGL224C" 1043 0.0012
"YJR113C" 3360 0.0012
"YDR333C" 441 0.0013
"YOR006C" 730 0.0017
"YKL019W" 3545 0.0013
"YLR020C" 1474 9e-04
"YGL029W" 1183 9e-04
"YPL011C" 1986 0.0012
"YKL012W" 3553 0.0011
"YNL038W" 3039 0.0012
"YDL236W" 3 7e-04
"YHR001W" 3889 8e-04
"YML051W" 2204 0.0011
"YIL083C" 4120 0.0014
"YBL058W" 2518 0.001
"YJL011C" 3268 0.0012
"YBL007C" 2561 9e-04
"YDL188C" 37 9e-04
"YKL005C" 3561 0.0018
"YOR059C" 769 0.0016
"YNL001W" 3064 0.0015
"YPR125W" 2080 7e-04
"YER088C" 3782 0.0014
"YDL112W" 98 7e-04
"YBR076C.A" 2629 0.0013
"YGL211W" 1050 0.0011
"YKL113C" 3470 0.0011
"YAL043C" 4416 0.0013
"YHR216W" 4052 0.0016
"YDR284C" 397 0.0013
"YGL041W.A" 1176 8e-04
"YNR004W" 3067 0.0015
"YER089C" 3783 8e-04
"YKL150W" 3443 0.001
"YJL198W" 3131 0.0012
"YGR102C" 1280 0.0015
"YDR178W" 319 0.002
"YDR239C" 366 6e-04
"YDR266C" 384 8e-04
"YOR047C" 761 0.0016
"YNR032C.A" 3092 0.0014
"YHR081W" 3957 7e-04
"YHR012W" 3900 0.0012
"YPL215W" 1834 8e-04
"YEL037C" 3677 0.0013
"YNL126W" 2962 9e-04
"YGR026W" 1224 0.0015
"YCL058W.A" 4210 0.0011
"YEL007W" 3699 0.001
"YLR361C.A" 1717 0.0014
"YLL051C" 1425 0.0012
"YDL124W" 88 0.0013
"YPL105C" 1912 0.0014
"YOR097C" 800 0.0014
"YGL056C" 1167 0.0013
"YER048C" 3746 8e-04
"YML019W" 2224 0.0014
"YIL114C" 4095 0.0012
"YOR075W" 782 0.001
"YNL247W" 2872 0.0014
"YFR003C" 4358 0.001
"YMR277W" 2447 5e-04
"YDR294C" 404 8e-04
"YGL061C" 1162 9e-04
"YML014W" 2227 6e-04
"YPR010C.A" 2002 8e-04
"YKR020W" 3581 9e-04
"YLR182W" 1589 5e-04
"YDR105C" 260 0.0011
"YJL118W" 3191 6e-04
"YMR148W" 2346 0.0015
"YKL112W" 3471 0.0011
"YJL123C" 3187 0.0012
"YLR181C" 1588 0.0012
"YIR034C" 4202 0.0015
"YIL126W" 4085 0.001
"YOR001W" 725 3e-04
"YHR009C" 3897 0.0012
"YPR148C" 2100 8e-04
"YHR205W" 4048 8e-04
"YPR176C" 2121 0.0012
"YLR120C" 1554 0.0012
"YLR146C" 1567 0.0014
"YNL165W" 2930 7e-04
"YPL009C" 1988 0.0012
"YHR094C" 3967 0.0013
"YNR013C" 3075 0.001
"YPL202C" 1845 0.0016
"YCL033C" 4231 9e-04
"YOR262W" 925 7e-04
"YMR189W" 2372 9e-04
"YKL130C" 3458 8e-04
"YOL019W" 707 9e-04
"YPL177C" 1860 0.0019
"YDR511W" 578 0.0015
"YDL002C" 180 8e-04
"YBR017C" 2582 9e-04
"YOR252W" 916 0.0015
"YCR072C" 4304 0.0012
"YJR057W" 3315 0.0011
"YMR152W" 2347 0.0013
"YOR008C" 732 9e-04
"YOR303W" 960 0.0014
"YOR116C" 812 0.0012
"YPR109W" 2070 5e-04
"YLR223C" 1623 0.0011
"YPR180W" 2124 8e-04
"YDR347W" 452 0.0011
"YAR008W" 4459 0.001
"YIR038C" 4206 0.0013
"YMR214W" 2394 0.0016
"YDR320C" 428 8e-04
"YGR246C" 1390 0.0014
"YOR213C" 885 9e-04
"YIR006C" 4187 0.0011
"YBR236C" 2754 0.0012
"YAL029C" 4431 7e-04
"YGL256W" 1018 0.0011
"YGR128C" 1299 5e-04
"YDL145C" 68 0.001
"YDR046C" 212 8e-04
"YJR006W" 3281 7e-04
"YIL044C" 4144 8e-04
"YMR092C" 2307 8e-04
"YOR202W" 875 0.0011
"YOR052C" 765 0.001
"YOL076W" 664 0.001
"YGL207W" 1054 0.0011
"YKL170W" 3426 0.0014
"YLR409C" 1752 0.001
"YDR517W" 584 0.0011
"YDR208W" 344 8e-04
"YOR048C" 762 0.001
"YFR009W" 4363 9e-04
"YCR011C" 4258 0.0011
"YKR082W" 3632 5e-04
"YJR012C" 3285 0.0013
"YLR405W" 1749 0.0014
"YDR275W" 389 0.0013
"YKL074C" 3501 0.0015
"YDL123W" 89 0.0012
"YDL200C" 28 0.0012
"YDR468C" 547 0.0015
"YDR434W" 523 0.001
"YLR336C" 1697 9e-04
"YGL088W" 1140 0.001
"YGL186C" 1069 0.0013
"YDR232W" 359 0.0013
"YHR099W" 3969 0.0013
"YLR016C" 1470 5e-04
"YML009C" 2232 0.001
"YLR397C" 1744 0.0012
"YLR222C" 1621 0.0011
"YPL015C" 1982 9e-04
"YDL160C.A" 59 0.0011
"YJL010C" 3269 8e-04
"YKR008W" 3572 8e-04
"YNL256W" 2865 0.0014
"YIR008C" 4188 0.0016
"YBR264C" 2779 0.0011
"YER021W" 3727 9e-04
"YCR052W" 4292 0.0012
"YJL054W" 3240 8e-04
"YBR242W" 2758 7e-04
"YKL157W" 3437 0.0014
"YGL127C" 1110 0.001
"YPR144C" 2096 9e-04
