"GeneNames" "GeneIndex" "ReferenceFreq"
"YGR076C" 1257 0.0014
"YLR270W" 1653 7e-04
"YDL031W" 158 5e-04
"YOL144W" 611 0.0011
"YCR093W" 4317 7e-04
"YKL023W" 3541 8e-04
"YMR215W" 2395 9e-04
"YOL036W" 694 0.0015
"YLR019W" 1473 9e-04
"YGL056C" 1167 0.0013
"YNL305C" 2827 0.001
"YGL062W" 1161 0.0016
"YMR139W" 2340 0.0015
"YNL123W" 2965 0.0015
"YGL201C" 1058 0.0016
"YBR222C" 2743 0.0018
"YBR014C" 2579 0.0014
"YER142C" 3826 0.001
"YPL184C" 1853 8e-04
"YHL031C" 3869 0.0017
"YOR174W" 856 8e-04
"YHR117W" 3983 0.0014
"YBR243C" 2759 8e-04
"YEL050C" 3667 0.001
"YLR215C" 1615 8e-04
"YFL007W" 4350 0.001
"YOL146W" 609 9e-04
"YOR262W" 925 0.0014
"YJL054W" 3240 0.0011
"YKL109W" 3473 0.0014
"YMR138W" 2339 6e-04
"YER089C" 3783 8e-04
"YDL116W" 95 0.001
"YIL103W" 4105 0.0015
"YEL024W" 3687 5e-04
"YKL112W" 3471 7e-04
"YAR003W" 4457 0.0012
"YIL085C" 4118 0.0014
"YER143W" 3827 8e-04
"YAR014C" 4460 0.0015
"YDL122W" 90 0.0017
"YIL110W" 4098 0.0011
"YPR190C" 2133 0.0012
"YML081W" 2177 0.0012
"YJL194W" 3134 0.0011
"YLR410W" 1753 0.001
"YPL096C.A" 1920 0.0013
"YHR003C" 3892 6e-04
"YDL207W" 21 0.0016
"YIL111W" 4097 0.0015
"YBR245C" 2761 0.0013
"YGL257C" 1017 0.0011
"YNR028W" 3087 0.001
"YDL161W" 58 0.0012
"YGL005C" 1203 0.0016
"YFR024C.A" 4373 0.0014
"YDL088C" 117 0.001
"YHR001W" 3889 0.0013
"YJL127C.B" 3183 8e-04
"YHR100C" 3970 8e-04
"YOL014W" 711 0.0014
"YKR060W" 3613 0.0017
"YPL144W" 1883 9e-04
"YLL034C" 1435 0.0015
"YDR331W" 439 0.0012
"YMR158W" 2352 0.0015
"YEL066W" 3655 0.0013
"YLR126C" 1555 0.0013
"YDR434W" 523 7e-04
"YPL189C.A" 1852 7e-04
"YDR528W" 593 8e-04
"YIL079C" 4121 0.0021
"YIR035C" 4203 0.0012
"YJR101W" 3350 0.0014
"YFL009W" 4348 6e-04
"YNR052C" 3110 0.0012
"YGL047W" 1173 5e-04
"YKL138C" 3454 7e-04
"YDR462W" 542 8e-04
"YKL045W" 3525 0.0012
"YLR256W" 1644 0.0017
"YOR086C" 790 0.0011
"YDR309C" 419 0.0013
"YBR251W" 2766 9e-04
"YDR299W" 409 7e-04
"YCL033C" 4231 0.0013
"YCR095C" 4319 9e-04
"YOR303W" 960 0.0012
"YLL036C" 1433 9e-04
"YAR018C" 4462 6e-04
"YPL227C" 1826 0.0013
"YLR049C" 1495 9e-04
"YLL040C" 1431 0.0019
"YGR257C" 1397 0.001
"YML021C" 2223 9e-04
"YNL310C" 2822 0.001
"YPL071C" 1941 6e-04
"YNL155W" 2940 0.0012
"YNL088W" 2992 0.0013
"YML038C" 2209 0.0013
"YGL153W" 1089 8e-04
"YFL017C" 4344 0.0014
"YBL042C" 2528 0.0013
"YML113W" 2152 0.0012
"YDR264C" 383 0.0012
"YLR248W" 1639 0.001
"YHR187W" 4032 0.0013
"YDR059C" 222 9e-04
"YLR342W" 1701 0.0014
"YBR104W" 2657 9e-04
"YDR257C" 378 8e-04
"YJR093C" 3343 0.0016
"YDR411C" 507 0.0012
"YLR295C" 1670 7e-04
"YGR090W" 1269 0.0014
"YIL003W" 4179 6e-04
"YDR428C" 519 9e-04
"YHR040W" 3924 0.0011
"YAL053W" 4409 9e-04
"YLR026C" 1479 0.0016
"YNL182C" 2918 0.0011
"YHR074W" 3951 5e-04
"YHR027C" 3912 0.0013
"YBR200W" 2728 0.0012
"YBR080C" 2633 0.0013
"YGL044C" 1174 0.0019
"YPR036W.A" 2022 0.0011
"YMR039C" 2271 0.0015
"YIL008W" 4175 0.0013
"YPL190C" 1851 0.0014
"YJR006W" 3281 0.0012
"YDR141C" 284 8e-04
"YKR100C" 3650 0.0014
"YPL206C" 1842 0.0012
"YNL005C" 3060 0.0013
"YBL032W" 2539 0.0013
"YMR239C" 2417 9e-04
"YNL108C" 2976 0.0012
"YDL070W" 132 0.0015
"YKL019W" 3545 9e-04
"YMR024W" 2258 9e-04
"YJL208C" 3124 0.0018
"YMR148W" 2346 9e-04
"YJL060W" 3235 0.001
"YIL091C" 4114 0.0013
"YBL090W" 2496 0.001
"YNL154C" 2941 0.0012
"YKR087C" 3637 8e-04
"YOR196C" 871 0.0018
