"","NoiseDiff"
"1","YAL044C"
"2","YAL053W"
"3","YBR003W"
"4","YBR071W"
"5","YBR130C"
"6","YCL018W"
"7","YDL123W"
"8","YDL168W"
"9","YDR202C"
"10","YEL044W"
"11","YER001W"
"12","YER037W"
"13","YER056C"
"14","YER063W"
"15","YGL001C"
"16","YGL220W"
"17","YGR037C"
"18","YGR243W"
"19","YIL158W"
"20","YIL162W"
"21","YJL123C"
"22","YKL016C"
"23","YKL029C"
"24","YKL094W"
"25","YLR064W"
"26","YLR223C"
"27","YLR250W"
"28","YML052W"
"29","YMR196W"
"30","YNL159C"
"31","YNR016C"
"32","YNR034W"
"33","YOL016C"
"34","YOL123W"
"35","YOR085W"
"36","YOR202W"
"37","YOR247W"
"38","YPL014W"
"39","YPL170W"
"40","YPR106W"
"41","YBL064C"
"42","YBR183W"
"43","YBR230C"
"44","YCL040W"
"45","YCL043C"
"46","YCR005C"
"47","YDL082W"
"48","YDL184C"
"49","YDR171W"
"50","YDR276C"
"51","YDR342C"
"52","YEL027W"
"53","YER035W"
"54","YFL016C"
"55","YFL045C"
"56","YFR052C.A"
"57","YGL008C"
"58","YGR088W"
"59","YGR130C"
"60","YGR159C"
"61","YGR211W"
"62","YGR240C"
"63","YHR096C"
"64","YHR179W"
"65","YHR208W"
"66","YIL056W"
"67","YIL057C"
"68","YJL133C.A"
"69","YJL196C"
"70","YKL065C"
"71","YKL091C"
"72","YLL026W"
"73","YLL039C"
"74","YLR079W"
"75","YLR300W"
"76","YLR414C"
"77","YMR169C"
"78","YOL151W"
"79","YOR020W.A"
"80","YOR027W"
"81","YOR161C"
"82","YOR273C"
"83","YOR298C.A"
"84","YOR374W"
"85","YPL004C"
"86","YAL005C"
"87","YDL179W"
"88","YDR245W"
"89","YDR502C"
"90","YER150W"
"91","YFL014W"
"92","YGL037C"
"93","YGR180C"
"94","YKR071C"
"95","YLR058C"
"96","YMR215W"
"97","YPL149W"
"98","YPL271W"
"99","YPR165W"
"100","YBR244W"
"101","YBR249C"
"102","YDL191W"
"103","YDR222W"
"104","YDR258C"
"105","YEL051W"
"106","YER073W"
"107","YER091C"
"108","YGL028C"
"109","YGR074W"
"110","YGR118W"
"111","YGR282C"
"112","YHL033C"
"113","YIL052C"
"114","YJL052W"
"115","YJR073C"
"116","YKL043W"
"117","YKL182W"
"118","YLR185W"
"119","YML067C"
"120","YMR173W.A"
"121","YMR295C"
"122","YNL044W"
"123","YNL055C"
"124","YOL058W"
"125","YOL109W"
"126","YOR167C"
"127","YPR074C"
"128","YBR106W"
"129","YDR155C"
"130","YDR233C"
"131","YDR322C.A"
"132","YDR525W.A"
"133","YEL020W.A"
"134","YEL065W"
"135","YER002W"
"136","YER012W"
"137","YGR027C"
"138","YGR055W"
"139","YGR078C"
"140","YGR285C"
"141","YHR094C"
"142","YKL004W"
"143","YKL006W"
"144","YKL117W"
"145","YLR180W"
"146","YLR216C"
"147","YLR344W"
"148","YLR372W"
"149","YLR409C"
"150","YLR441C"
"151","YML024W"
"152","YOR375C"
"153","YPR082C"
"154","YPR143W"
"155","YAL061W"
"156","YBR038W"
"157","YBR096W"
"158","YCL001W"
"159","YDL066W"
"160","YDL117W"
"161","YDR381W"
"162","YHR037W"
"163","YIL077C"
"164","YIL133C"
"165","YKL163W"
"166","YLR075W"
"167","YLR205C"
"168","YLR264W"
"169","YML128C"
"170","YNL069C"
"171","YNL192W"
"172","YNL312W"
"173","YOR230W"
"174","YOR383C"
"175","YPR102C"
"176","YBR149W"
"177","YBR287W"
"178","YDL182W"
"179","YEL026W"
"180","YEL060C"
"181","YJL153C"
"182","YKL152C"
"183","YKL217W"
"184","YLR390W.A"
"185","YMR116C"
"186","YNL030W"
"187","YNL134C"
"188","YPL057C"
"189","YPL106C"
"190","YPL250C"
"191","YAL040C"
"192","YBL002W"
"193","YBR101C"
"194","YDL048C"
"195","YDL084W"
"196","YDR158W"
"197","YDR357C"
"198","YDR377W"
"199","YER019C.A"
"200","YER062C"
"201","YER069W"
"202","YFL037W"
"203","YGL253W"
"204","YGR086C"
"205","YGR234W"
"206","YHR081W"
"207","YHR141C"
"208","YIL119C"
"209","YIL131C"
"210","YJL077W.A"
"211","YJL173C"
"212","YJR059W"
"213","YKR008W"
"214","YLR327C"
"215","YML012W"
"216","YML028W"
"217","YML081C.A"
"218","YML085C"
"219","YMR003W"
"220","YMR088C"
"221","YNL096C"
"222","YNL259C"
"223","YNL283C"
"224","YOR103C"
"225","YPL112C"
"226","YPL231W"
"227","YPL240C"
"228","YPR010C.A"
"229","YAL003W"
"230","YAL067C"
"231","YBR006W"
"232","YBR066C"
"233","YBR291C"
"234","YBR296C"
"235","YCR012W"
"236","YDL055C"
"237","YDL157C"
"238","YDR225W"
"239","YER067W"
"240","YER103W"
"241","YER131W"
"242","YFR053C"
"243","YGL096W"
"244","YGR142W"
"245","YGR230W"
"246","YHR087W"
"247","YIL094C"
"248","YIL126W"
"249","YJL158C"
"250","YLR190W"
"251","YLR258W"
"252","YML054C"
"253","YML131W"
"254","YMR107W"
"255","YMR186W"
"256","YNR050C"
"257","YOR122C"
"258","YOR312C"
"259","YPL189C.A"
"260","YPL223C"
"261","YPL239W"
"262","YPR002W"
"263","Q0065"
"264","YAL044W.A"
"265","YBR132C"
"266","YCL025C"
"267","YDR328C"
"268","YDR483W"
"269","YER026C"
"270","YER058W"
"271","YER152C"
"272","YGL189C"
"273","YHR110W"
"274","YJL026W"
"275","YJL097W"
"276","YJR009C"
"277","YKL107W"
"278","YLL024C"
"279","YLR325C"
"280","YLR355C"
"281","YMR170C"
"282","YNL045W"
"283","YNL070W"
"284","YNL074C"
"285","YNL180C"
"286","YNL222W"
"287","YOL005C"
"288","YPL127C"
"289","YPL201C"
"290","YAR035W"
"291","YBR025C"
"292","YBR070C"
"293","YBR214W"
"294","YDL085W"
"295","YDR150W"
"296","YDR384C"
"297","YDR482C"
"298","YGL030W"
"299","YGR014W"
"300","YGR161W.C"
"301","YGR201C"
"302","YHR033W"
"303","YIL053W"
"304","YIL083C"
"305","YJR094W.A"
"306","YKL045W"
