"GeneNames" "GeneIndex" "ReferenceFreq"
"YNR050C" 1180 0.0022
"YDR513W" 223 0.0025
"YGR175C" 499 0.0026
"YLR066W" 571 0.0021
"YJL026W" 1234 0.0033
"YJL192C" 1188 0.0033
"YJL097W" 1220 0.0035
"YDL121C" 41 0.003
"YDR156W" 124 0.0032
"YMR229C" 909 0.0027
"YGR284C" 536 0.0034
"YJL196C" 1187 0.0036
"YKL013C" 1350 0.0026
"YHR051W" 1506 0.0024
"YDR397C" 188 0.0034
"YDR152W" 121 0.0024
"YOR323C" 366 0.0025
"YKL207W" 1289 0.003
"YKL058W" 1336 0.0021
"YDR212W" 140 0.0023
"YAL030W" 1693 0.0021
"YIR037W" 1606 0.0036
"YOR286W" 355 0.0032
"YJL002C" 1242 0.0032
"YFL022C" 1661 0.0024
"YOR335C" 370 0.0022
"YMR038C" 865 0.0026
"YER031C" 1425 0.0027
"YKL216W" 1287 0.0035
"YDR361C" 173 0.0039
"YDR045C" 88 0.003
"YHR013C" 1493 0.0032
"YBL076C" 951 0.0033
"YOR103C" 294 0.0038
"YBL028C" 969 0.0037
"YBR093C" 1014 0.0023
"YOR270C" 348 0.0027
"YDR487C" 214 0.0029
"YKL080W" 1330 0.0025
"YPL145C" 719 0.0034
"YBL001C" 978 0.0027
"YDR056C" 93 0.0031
"YGR267C" 531 0.0034
"YIL123W" 1567 0.0025
"YFL037W" 1658 0.0027
"YDR328C" 165 0.0026
"YLR438C.A" 677 0.0031
"YEL040W" 1394 0.0035
"YPL239W" 693 0.0031
"YMR290C" 927 0.0033
"YJL124C" 1212 0.0021
"YMR099C" 877 0.0025
"YOR261C" 345 0.0034
"YHR215W" 1557 0.0029
"YDL072C" 58 0.0023
"YDL147W" 27 0.0026
"YBL068W" 954 0.0032
"YDR098C" 108 0.0027
"YFL005W" 1665 0.0028
"YHR200W" 1552 0.0026
"YNL248C" 1095 0.0029
"YBL040C" 963 0.0032
"YGL019W" 449 0.0027
"YDR322C.A" 164 0.0036
"YCL001W" 1628 0.0026
"YOR294W" 357 0.0026
"YLR038C" 558 0.0029
"YBR039W" 992 0.0039
"YJL008C" 1240 0.0035
"YML081C.A" 829 0.0031
"YGL026C" 446 0.0029
"YAR015W" 1704 0.0031
"YJL111W" 1217 0.0021
"YMR297W" 931 0.0015
"YNL327W" 1076 0.0029
"YOL143C" 232 0.0026
"YPL094C" 733 0.0018
"YIL016W" 1599 0.0027
"YOR361C" 374 0.0034
"YLR303W" 640 0.0029
"YER146W" 1470 0.0026
"YOR136W" 303 0.0033
"YMR203W" 899 0.0022
"YEL002C" 1409 0.0039
"YOR117W" 297 0.0035
"YGR103W" 480 0.0022
"YDL007W" 74 0.004
"YNL024C.A" 1159 0.0036
"YNL141W" 1122 0.0024
"YMR298W" 932 0.003
"YOR253W" 340 0.0032
"YKL141W" 1314 0.0027
"YJR065C" 1259 0.0018
"YJR044C" 1252 0.0031
"YNL111C" 1130 0.0026
"YHR190W" 1548 0.0023
"YOL092W" 247 0.0034
"YNL052W" 1153 0.0025
"YJR063W" 1257 0.0033
"YPL226W" 700 0.0034
"YML085C" 828 0.0031
"YMR071C" 868 0.0029
"YPL240C" 692 0.0025
"YPR118W" 788 0.002
"YDR508C" 220 0.0018
"YGR106C" 482 0.002
"YJL104W" 1219 0.0034
"YOL123W" 239 0.0034
"YNR043W" 1178 0.0029
"YJR017C" 1250 0.0025
"YML079W" 830 0.0024
"YPL154C" 717 0.0028
"YDR404C" 191 0.0029
"YDR346C" 169 0.0026
"YDR525W.A" 227 0.0026
"YMR131C" 885 0.0025
"YLR221C" 615 0.0026
"YGR181W" 502 0.0031
"YML001W" 855 0.0026
"YLR378C" 658 0.0029
"YOR310C" 361 0.002
"YDR339C" 166 0.003
"YDL097C" 45 0.0035
"YIL138C" 1563 0.0032
"YMR241W" 915 0.0024
"YOR142W" 304 0.0029
"YJR014W" 1248 0.0039
"YGR105W" 481 0.0032
"YNL007C" 1163 0.0032
"YLR301W" 639 0.0032
"YCR051W" 1645 0.0029
"YLR449W" 681 0.0035
"YCL035C" 1618 0.0033
"YOR091W" 289 0.0032
"YAL036C" 1690 0.0033
"YOL129W" 236 0.0029
"YGL221C" 393 0.0018
"YMR022W" 862 0.0024
"YMR120C" 880 0.0022
"YGR264C" 530 0.0027
"YFR052W" 1682 0.0022
"YLR186W" 601 0.0027
"YKL190W" 1294 0.0023
"YLR065C" 570 0.0027
"YOR145C" 305 0.003
"YBR252W" 1061 0.0033
"YKR065C" 1374 0.0029
"YBR016W" 984 0.0039
"YER003C" 1412 0.0027
"YKR092C" 1382 0.0028
"YDR483W" 212 0.0031
"YFL018C" 1662 0.0027
"YNL113W" 1128 0.0022
"YGR157W" 492 0.0031
"YMR292W" 928 0.0027
"YLR060W" 567 0.0032
"YPL160W" 715 0.0025
"YOR153W" 307 0.0027
"YNR016C" 1171 0.0028
"YIL076W" 1576 0.0026
"YDR210W" 138 0.0038
"YBR173C" 1041 0.0037
"YOR362C" 375 0.0042
"YHR025W" 1497 0.0032
"YFL004W" 1666 0.0033
"YHR049W" 1505 0.0028
"YMR226C" 908 0.0034
"YBL041W" 962 0.0027
"YPL135W" 722 0.0027
"YGR001C" 455 0.0034
"YPR183W" 813 0.0024
"YKR081C" 1379 0.0029
"YNL070W" 1145 0.003
"YAL059W" 1683 0.0026
"YNL016W" 1161 0.0036
"YBR058C.A" 995 0.0025
"YEL046C" 1391 0.0032
"YAL007C" 1699 0.0034
"YBL036C" 966 0.0029
"YKL096W" 1326 0.0043
"YPL199C" 708 0.0033
"YMR074C" 871 0.0045
"YNL153C" 1119 0.0033
"YDR394W" 186 0.0027
"YAL035W" 1691 0.0023
"YLL014W" 543 0.0023
"YOR095C" 290 0.0034
"YER048W.A" 1431 0.003
"YKL033W.A" 1343 0.0038
"YDL029W" 69 0.0029
"YEL021W" 1403 0.0029
"YDR529C" 228 0.0027
"YLR359W" 653 0.0027
"YGL234W" 387 0.0025
"YDR177W" 133 0.0032
"YHR163W" 1540 0.0019
"YNL189W" 1109 0.0039
"YPL098C" 732 0.0029
"YPL266W" 685 0.0043
"YPR060C" 768 0.0027
"YGL020C" 448 0.003
"YDL052C" 65 0.0019
"YCL059C" 1609 0.0036
"YOR157C" 308 0.0025
"YER156C" 1474 0.0028
"YLR304C" 641 0.003
"YOR340C" 371 0.0026
"YMR276W" 925 0.0031
"YCR009C" 1631 0.0023
"YGR211W" 517 0.0023
"YOR285W" 354 0.0023
"YOR230W" 330 0.0022
"YBR256C" 1063 0.0026
"YGL068W" 432 0.0029
"YGL055W" 435 0.0024
"YOR309C" 360 0.0032
"YER006W" 1414 0.0032
"YER126C" 1464 0.0044
"YIL062C" 1582 0.0031
"YDR032C" 82 0.0036
"YML055W" 841 0.0024
"YJL014W" 1236 0.003
"YDR214W" 141 0.0036
"YBR034C" 989 0.0027
"YGR082W" 474 0.0032
"YCR002C" 1629 0.0023
"YNL066W" 1148 0.0022
"YJR064W" 1258 0.0028
"YGR180C" 501 0.0033
"YKL007W" 1353 0.004
"YPR020W" 757 0.0026
"YCR004C" 1630 0.0026
"YDL201W" 9 0.0036
