"GeneNames" "GeneIndex" "ReferenceFreq"
"YOR294W" 357 0.0024
"YPL226W" 700 0.0037
"YBR088C" 1010 0.0033
"YNL248C" 1095 0.0027
"YCL001W" 1628 0.0035
"YKL080W" 1330 0.003
"YBL040C" 963 0.0023
"YGR264C" 530 0.0018
"YMR290C" 927 0.0032
"YFL022C" 1661 0.0038
"YDR152W" 121 0.0035
"YDR513W" 223 0.0026
"YLR066W" 571 0.0019
"YGR175C" 499 0.0034
"YPR145W" 799 0.003
"YDL121C" 41 0.0022
"YDR346C" 169 0.0028
"YGR103W" 480 0.0023
"YNL024C.A" 1159 0.0025
"YAL030W" 1693 0.0033
"YDR328C" 165 0.0029
"YDR508C" 220 0.0033
"YGL026C" 446 0.0025
"YJL026W" 1234 0.0036
"YBL001C" 978 0.0032
"YFR052W" 1682 0.002
"YBR039W" 992 0.0029
"YDR212W" 140 0.003
"YOR310C" 361 0.0035
"YJL111W" 1217 0.003
"YAR015W" 1704 0.0033
"YHR001W.A" 1488 0.0031
"YNL066W" 1148 0.0026
"YHR013C" 1493 0.0042
"YJR065C" 1259 0.0028
"YJL192C" 1188 0.0025
"YJL097W" 1220 0.0034
"YOR253W" 340 0.0033
"YOR375C" 380 0.0023
"YKL007W" 1353 0.0026
"YIR037W" 1606 0.0025
"YOL143C" 232 0.003
"YOR261C" 345 0.0022
"YPL239W" 693 0.0024
"YDR056C" 93 0.003
"YLR221C" 615 0.0022
"YML001W" 855 0.0038
"YDL147W" 27 0.0028
"YKL065C" 1333 0.0029
"YER146W" 1470 0.003
"YCR004C" 1630 0.0033
"YKL207W" 1289 0.0022
"YML085C" 828 0.0025
"YML079W" 830 0.003
"YIL123W" 1567 0.003
"YDR156W" 124 0.0029
"YCR051W" 1645 0.0027
"YMR226C" 908 0.0031
"YNR016C" 1171 0.003
"YDR177W" 133 0.0032
"YDR404C" 191 0.0026
"YEL002C" 1409 0.0024
"YDL007W" 74 0.0022
"YFL004W" 1666 0.0038
"YOR270C" 348 0.0026
"YMR203W" 899 0.0024
"YJL196C" 1187 0.0034
"YNL113W" 1128 0.0033
"YLR438C.A" 677 0.0029
"YMR038C" 865 0.0033
"YNL052W" 1153 0.0036
"YDL097C" 45 0.0028
"YPR118W" 788 0.0025
"YOR361C" 374 0.0022
"YKL141W" 1314 0.0022
"YOR153W" 307 0.0024
"YDR045C" 88 0.0032
"YAL035W" 1691 0.0024
"YOR286W" 355 0.0033
"YHR025W" 1497 0.0042
"YJL124C" 1212 0.003
"YER031C" 1425 0.0026
"YEL040W" 1394 0.0032
"YNL141W" 1122 0.002
"YER156C" 1474 0.0029
"YFL037W" 1658 0.0037
"YPL094C" 733 0.003
"YMR131C" 885 0.0037
"YKL058W" 1336 0.0035
"YHR051W" 1506 0.0022
"YJR063W" 1257 0.0028
"YNR043W" 1178 0.0024
"YOR335C" 370 0.0035
"YLR186W" 601 0.0031
"YLR301W" 639 0.0035
"YMR099C" 877 0.0034
"YNR050C" 1180 0.0044
"YKL096W" 1326 0.0019
"YKR081C" 1379 0.0028
"YOL026C" 262 0.0032
"YDR210W" 138 0.0024
"YDR339C" 166 0.0027
"YDR032C" 82 0.0025
"YER110C" 1458 0.0028
"YLR065C" 570 0.0029
"YOR103C" 294 0.0029
"YJL217W" 1186 0.0032
"YAL036C" 1690 0.0029
"YOR145C" 305 0.0032
"YMR071C" 868 0.0029
"YOR136W" 303 0.0028
"YOL129W" 236 0.0025
"YGR267C" 531 0.0027
"YNL111C" 1130 0.0027
"YKL013C" 1350 0.0042
"YBR016W" 984 0.0029
"YBL028C" 969 0.0025
"YER003C" 1412 0.0032
"YMR298W" 932 0.0029
"YPL154C" 717 0.003
"YJL008C" 1240 0.0026
"YAL042W" 1688 0.0032
"YER007C.A" 1415 0.0039
"YBR173C" 1041 0.0039
"YMR120C" 880 0.0029
"YJL002C" 1242 0.0036
"YOR091W" 289 0.0029
"YLR449W" 681 0.0023
"YJR044C" 1252 0.0037
"YMR297W" 931 0.0025
"YBL076C" 951 0.003
"YDR525W.A" 227 0.0029
"YOR117W" 297 0.0024
"YLR060W" 567 0.0035
"YDR483W" 212 0.0033
"YPR016C" 755 0.0032
"YHR215W" 1557 0.0023
"YPL145C" 719 0.0025
"YIL016W" 1599 0.0029
"YGR106C" 482 0.0034
"YNL070W" 1145 0.0024
"YJL104W" 1219 0.0041
"YPL199C" 708 0.0024
"YBR296C" 1074 0.0024
"YOR157C" 308 0.0026
"YNL007C" 1163 0.0028
"YDR487C" 214 0.0038
"YGR181W" 502 0.0032
"YGR001C" 455 0.0024
"YLR378C" 658 0.0023
"YDL201W" 9 0.0034
"YJR017C" 1250 0.0024
"YPL160W" 715 0.0023
"YNR021W" 1174 0.003
"YPR191W" 816 0.0029
"YIL076W" 1576 0.0028
"YKR092C" 1382 0.0032
"YBR234C" 1053 0.0024
"YDR098C" 108 0.0019
"YHR049W" 1505 0.0031
"YMR292W" 928 0.0026
"YMR229C" 909 0.0037
"YGR157W" 492 0.0034
"YML004C" 854 0.0032
"YDR397C" 188 0.0027
"YJL014W" 1236 0.0029
"YLR038C" 558 0.0024
"YKL035W" 1342 0.0026
"YKL190W" 1294 0.0028
"YPR020W" 757 0.0022
"YKL216W" 1287 0.0026
"YDR281C" 154 0.003
"YAL059W" 1683 0.0031
"YDR322C.A" 164 0.0027
"YBL068W" 954 0.0022
"YBL036C" 966 0.0041
"YOR362C" 375 0.002
"YBR058C.A" 995 0.0024
"YLR437C" 675 0.0033
"YLR285W" 630 0.0029
"YFL018C" 1662 0.0029
"YHR163W" 1540 0.003
"YFL005W" 1665 0.0031
"YER006W" 1414 0.0032
"YGR284C" 536 0.0031
"YPL135W" 722 0.0022
"YEL046C" 1391 0.0023
"YPL059W" 742 0.003
"YLR370C" 655 0.0036
"YOR230W" 330 0.0033
"YOR309C" 360 0.0034
"YBR122C" 1022 0.0029
"YMR295C" 929 0.0027
"YOL061W" 254 0.0022
"YHR200W" 1552 0.0015
"YCL035C" 1618 0.0025
"YMR241W" 915 0.0027
"YER048W.A" 1431 0.0028
"YPL240C" 692 0.0032
"YBL041W" 962 0.0022
"YBR085C.A" 1007 0.003
"YOR323C" 366 0.0029
"YML052W" 842 0.0026
"YNL153C" 1119 0.003
"YHR039C.A" 1500 0.0037
"YJR014W" 1248 0.0032
"YPR033C" 760 0.0034
"YOR340C" 371 0.0029
"YLL018C" 542 0.0029
"YER145C" 1469 0.0024
