GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0071554	cell wall organization or biogenesis	33	213	15.49%	299	6437	4.65%	YBR067C, YBR078W, YDL055C, YDR055W, YDR077W, YER011W, YER124C, YGL028C, YGR189C, YGR279C, YGR282C, YHR143W, YIL123W, YJL158C, YJL159W, YJL184W, YJR104C, YKL096W, YKL096W-A, YKL164C, YKR042W, YLR194C, YLR286C, YLR300W, YLR342W, YLR390W-A, YML052W, YMR307W, YNL066W, YNL160W, YNL283C, YOL155C, YPR149W
GO:0006811	ion transport	23	213	10.80%	826	6437	12.83%	YAL005C, YBL042C, YBR296C, YDR033W, YDR153C, YDR342C, YDR345C, YER145C, YGL008C, YGL255W, YGR055W, YHR039C-A, YHR092C, YHR094C, YKL164C, YLR130C, YML123C, YMR011W, YMR058W, YMR246W, YNL055C, YOR273C, YPR149W
GO:0005975	carbohydrate metabolic process	22	213	10.33%	253	6437	3.93%	YAL038W, YBR218C, YCR005C, YDR050C, YER062C, YGL028C, YGR189C, YGR254W, YGR279C, YGR282C, YIL053W, YIL123W, YJR009C, YKL060C, YKL152C, YKR042W, YLR286C, YLR300W, YLR342W, YML028W, YMR307W, YNL066W
GO:0055085	transmembrane transport	20	213	9.39%	460	6437	7.15%	YAL005C, YBL042C, YBR296C, YDR033W, YDR342C, YDR345C, YER145C, YGL008C, YGL255W, YGR055W, YHR039C-A, YHR092C, YHR094C, YLR130C, YML123C, YMR011W, YMR058W, YNL055C, YOR153W, YOR273C
GO:0006520	cellular amino acid metabolic process	19	213	8.92%	220	6437	3.42%	YCL064C, YDR234W, YDR502C, YER091C, YFR055W, YHR018C, YJR148W, YKL001C, YLR044C, YLR058C, YLR180W, YLR303W, YLR438W, YMR009W, YNR050C, YOL058W, YOL086C, YPL111W, YPR035W
GO:0042221	response to chemical	18	213	8.45%	534	6437	8.30%	YAL005C, YBR244W, YDR513W, YER042W, YER124C, YGL055W, YGR234W, YJR104C, YKL069W, YKL086W, YLR109W, YML028W, YMR058W, YNL036W, YNL190W, YOR153W, YOR273C, YPL256C
GO:0000278	mitotic cell cycle	15	213	7.04%	378	6437	5.87%	YBR088C, YBR158W, YDL179W, YDR309C, YER019W, YER095W, YHR152W, YJL030W, YKL185W, YLR079W, YML085C, YMR199W, YOR315W, YPL158C, YPL256C
GO:0002181	cytoplasmic translation	15	213	7.04%	205	6437	3.18%	YAL005C, YCR031C, YDL075W, YDL133C-A, YDL184C, YFR032C-A, YGL189C, YIL052C, YLR262C-A, YLR344W, YLR367W, YMR121C, YOR369C, YPL081W, YPL249C-A
GO:0032787	monocarboxylic acid metabolic process	14	213	6.57%	163	6437	2.53%	YAL038W, YBR218C, YDR050C, YFR055W, YGL055W, YGR254W, YJL196C, YJR009C, YKL060C, YKL152C, YLR044C, YMR246W, YPL061W, YPL231W
GO:0006091	generation of precursor metabolites and energy	13	213	6.10%	125	6437	1.94%	YAL038W, YDR050C, YDR513W, YER067W, YGL055W, YGR254W, YJR009C, YKL060C, YKL152C, YLR044C, YMR315W, YOL086C, YPL061W
