"GeneNames" "GeneIndex" "ReferenceFreq"
"YLL041C" 1439 9e-04
"YIL114C" 4111 0.0011
"YIR036C" 4222 7e-04
"YGL027C" 1190 0.0014
"YGR049W" 1246 6e-04
"YOL093W" 654 0.001
"YML121W" 2152 0.001
"YGL190C" 1072 4e-04
"YDL070W" 135 0.0017
"YBR166C" 2716 0.0017
"YDL015C" 172 9e-04
"YDL063C" 141 0.0017
"YAL021C" 4457 0.0011
"YMR289W" 2468 8e-04
"YHR100C" 3988 7e-04
"YDR060W" 226 8e-04
"YNL154C" 2958 7e-04
"YJR073C" 3347 0.0016
"YIL085C" 4134 6e-04
"YHR137W" 4017 0.001
"YLR021W" 1486 0.0011
"YPL063W" 1957 6e-04
"YMR009W" 2254 0.0017
"YMR157C" 2361 0.0018
"YLR321C" 1697 0.0014
"YDL235C" 4 5e-04
"YGR079W" 1264 0.0011
"YDL022W" 167 4e-04
"YGL209W" 1058 8e-04
"YFL007W" 4369 0.0013
"YDR456W" 537 0.0012
"YPL030W" 1978 6e-04
"YMR221C" 2412 6e-04
"YNL197C" 2925 9e-04
"YOL007C" 723 0.0011
"YNL147W" 2964 5e-04
"YDR363W.A" 464 9e-04
"YBR243C" 2772 9e-04
"YEL048C" 3687 0.0015
"YKL067W" 3526 8e-04
"YNL284C" 2860 0.001
"YOL094C" 653 0.001
"YHR122W" 4006 0.0016
"YHR142W" 4020 0.001
"YHR138C" 4018 0.0011
"YPL009C" 1995 5e-04
"YML030W" 2223 0.0014
"YNR015W" 3095 0.002
"YHR027C" 3929 0.0015
"YNL213C" 2915 8e-04
"YGR145W" 1313 6e-04
"YGR277C" 1419 0.0011
"YJL200C" 3147 9e-04
"YIL063C" 4149 0.0017
"YAL039C" 4440 0.0018
"YKL138C" 3473 0.0011
"YNL123W" 2983 0.001
"YGR257C" 1405 0.0013
"YLR078C" 1529 9e-04
"YDL010W" 176 5e-04
"YNL032W" 3060 6e-04
"YDR150W" 294 9e-04
"YLR426W" 1773 0.0012
"YMR089C" 2314 0.001
"YDR299W" 408 0.0011
"YML101C" 2170 0.0015
"YGL050W" 1175 0.0016
"YLR275W" 1668 8e-04
"YNL118C" 2987 0.0016
"YMR080C" 2309 0.0019
"YIL008W" 4192 0.0012
"YAL040C" 4439 0.0017
"YGR295C" 1429 0.0013
"YNL222W" 2907 0.0017
"YNL129W" 2979 9e-04
"YDR292C" 401 0.0015
"YNL108C" 2994 0.0012
"YKL130C" 3477 6e-04
"YDR067C" 233 0.0012
"YKL137W" 3474 0.0012
"YLR200W" 1617 0.0015
"YGL112C" 1125 0.0011
"YCR059C" 4313 0.0016
"YOR280C" 947 8e-04
"YNR036C" 3114 8e-04
"YMR188C" 2382 0.0013
"YER011W" 3736 0.0015
"YML070W" 2194 8e-04
"YMR158W" 2362 7e-04
"YIL115C" 4110 5e-04
"YNL169C" 2943 0.001
"YDL076C" 130 0.001
"YHR009C" 3914 0.0017
"YFR005C" 4379 0.0014
"YLR429W" 1775 0.0015
"YIL003W" 4196 9e-04
"YKL176C" 3440 0.0012
"YER112W" 3819 0.0013
"YJR074W" 3348 0.0015
"YPR010C.A" 2008 0.001
"YCR052W" 4310 8e-04
"YNL074C" 3024 6e-04
"YER183C" 3877 0.0016
"YKL114C" 3488 0.0013
"YDL112W" 99 9e-04
"YBR271W" 2798 0.0016
"YJR060W" 3336 0.0011
"YHL002W" 3905 0.0012
