"GeneNames" "GeneIndex" "ReferenceFreq"
"YDL112W" 99 0.0013
"YHR003C" 3910 0.0015
"YKR003W" 3586 0.0011
"YOR015W" 740 0.0014
"YML032C" 2221 9e-04
"YLR193C" 1611 0.0012
"YGR277C" 1419 0.0013
"YMR059W" 2292 9e-04
"YHR009C" 3914 7e-04
"YPR146C" 2105 7e-04
"YEL036C" 3697 0.0015
"YDR182W" 324 0.0014
"YIL091C" 4130 8e-04
"TLC1" 2606 9e-04
"YHR072W" 3966 0.001
"YMR157C" 2361 0.0012
"YDR498C" 570 8e-04
"YDL207W" 21 9e-04
"YOL158C" 605 3e-04
"YOL052C" 688 8e-04
"YOR303W" 965 9e-04
"YCR052W" 4310 9e-04
"YAL021C" 4457 0.001
"YMR006C" 2252 0.001
"YGL027C" 1190 9e-04
"YLR414C" 1765 0.0016
"YPR029C" 2021 6e-04
"YDL099W" 111 8e-04
"YIL110W" 4114 0.0015
"YOR064C" 777 9e-04
"YMR125W" 2339 8e-04
"YBR245C" 2774 0.0015
"YMR158W" 2362 9e-04
"YML038C" 2217 0.0011
"YOL094C" 653 0.0013
"YPL064C" 1956 5e-04
"YIL085C" 4134 0.0016
"YFR016C" 4387 8e-04
"YJR074W" 3348 9e-04
"YJL101C" 3220 8e-04
"YJL207C" 3143 0.0011
"YIL106W" 4118 0.0013
"YML019W" 2232 9e-04
"YDR493W" 566 0.0019
"YNL186W" 2932 0.0012
"YNL132W" 2976 8e-04
"YJL212C" 3139 0.0012
"YIL115C" 4110 9e-04
"YHR123W" 4007 0.001
"YDL063C" 141 7e-04
"YLL034C" 1444 0.0011
"YHR062C" 3957 0.0012
"YMR188C" 2382 0.0012
"YNL154C" 2958 0.0016
"YPL260W" 1808 6e-04
"YKL150W" 3462 0.0016
"YIR011C" 4208 0.0014
"YDR308C" 417 8e-04
"YDL195W" 31 0.0011
"YHR144C" 4023 8e-04
"YML115C" 2157 0.0012
"YDL145C" 68 0.0011
"YDR349C" 454 0.001
"YJR112W.A" 3377 0.0011
"YJL133W" 3197 7e-04
"YGL255W" 1025 9e-04
"YOR094W" 800 0.0011
"YDR237W" 364 0.0017
"YBR110W" 2672 8e-04
"YML031W" 2222 7e-04
"YDL123W" 90 0.0011
"YDL148C" 66 0.0011
"YJL198W" 3149 0.001
"YHL002W" 3905 0.0013
"YJL208C" 3142 0.0016
"YPL206C" 1851 0.0013
"YKR020W" 3600 0.001
"YGR257C" 1405 0.0011
"YIL019W" 4182 0.0015
"YDR194C" 334 0.0011
"YDR527W" 591 8e-04
"YMR039C" 2279 7e-04
"YNL032W" 3060 0.0015
"YNL108C" 2994 0.0014
"YDL189W" 36 7e-04
"YGR130C" 1304 9e-04
"YOR065W" 778 0.0017
"YDR292C" 401 0.0013
"YDR068W" 234 9e-04
"YBL004W" 2574 0.0011
"YDL236W" 3 9e-04
"YML121W" 2152 2e-04
"YOR176W" 864 9e-04
"YNL107W" 2995 0.0014
"YHR030C" 3932 0.0014
"YJL044C" 3268 9e-04
"YML103C" 2168 0.0014
"YNL313C" 2834 0.0013
"YOR089C" 795 7e-04
"YBR123C" 2682 0.0018
"YHR216W" 4071 0.0013
"YKL041W" 3546 8e-04
"YGR230W" 1385 8e-04
"YJR006W" 3300 0.0015
"YGL050W" 1175 0.0014
"YGR111W" 1292 9e-04
"YGR215W" 1375 0.0011
"YHR138C" 4018 0.0017
"YNL323W" 2826 0.0018
"YMR184W" 2379 8e-04
"YER183C" 3877 6e-04
"YOL136C" 619 0.0011
"YDR016C" 194 0.0017
"YOR151C" 844 8e-04
"YER080W" 3793 8e-04
"YDL031W" 161 0.0012
"YOR001W" 729 0.0015
"YLL029W" 1446 0.001
"YPR056W" 2041 0.0014
"YNL005C" 3078 9e-04
"YDR183C.A" 326 7e-04
"YBR288C" 2812 9e-04
"YBL051C" 2535 0.0011
"YER089C" 3802 0.0018
"YML113W" 2159 0.0017
"YNL038W" 3057 0.0011
"YKL109W" 3492 0.0015
"YGR019W" 1226 0.0012
"YNL180C" 2937 0.0013
"YDR139C" 284 0.0013
"YIL063C" 4149 8e-04
"YDR264C" 383 7e-04
"YIL008W" 4192 0.0012
"YPL032C" 1976 9e-04
"YKL006C.A" 3577 0.0011
"YPR101W" 2070 6e-04
"YBR243C" 2772 0.0014
"YDR299W" 408 5e-04
"YBR166C" 2716 0.001
"YLR018C" 1483 8e-04
"YKL010C" 3573 9e-04
"YOR305W" 968 0.0012
"YPR009W" 2006 0.0014
"YCR036W" 4301 0.0011
"YNL288W" 2857 0.0013
"YHR199C" 4062 0.0011
"YDR333C" 441 0.0011
"YCR020W.B" 4286 0.0015
"YDR411C" 508 0.0012
"YML130C" 2145 0.001
"YNR012W" 3092 6e-04
"YER010C" 3735 0.0011
"YIL114C" 4111 8e-04
"YDL010W" 176 0.0012
"YOR165W" 856 0.0013
"YIL004C" 4195 9e-04
"YBR206W" 2745 9e-04
"YKL069W" 3523 9e-04
"YGR233C" 1388 5e-04
"YBR236C" 2767 0.0011
"YHR024C" 3926 3e-04
"YLR209C" 1623 8e-04
"YOL007C" 723 0.0015
"YBR002C" 2579 7e-04
"YML030W" 2223 0.0018
"YOL021C" 710 0.001
"YIL002W.A" 4197 0.0015
"YJR050W" 3327 0.0016
"YKL137W" 3474 7e-04
"YGL172W" 1081 0.0015
"YDR511W" 578 3e-04
"YDR266C" 384 0.001
"YDR354W" 458 0.0012
"YGR026W" 1229 0.0015
"YDL117W" 95 5e-04
"YPR037C" 2029 0.0012
"YNL169C" 2943 8e-04
"YOR002W" 730 0.0013
"YKR100C" 3669 8e-04
"YBR029C" 2601 9e-04
"YDR434W" 524 9e-04
"YOR086C" 793 8e-04
"YGL209W" 1058 9e-04
"YOR006C" 734 8e-04
"YML093W" 2177 7e-04
"YML119W" 2154 0.0014
"YLR361C.A" 1727 0.001
"YNL147W" 2964 0.0014
"YDR347W" 452 0.0013
"YER112W" 3819 0.0015
"YPR138C" 2098 5e-04
"YOL059W" 681 0.0011
"YHL031C" 3887 0.0011
"YBR104W" 2668 9e-04
"YML014W" 2235 0.0012
"YPR010C.A" 2008 9e-04
"YBR071W" 2637 0.001
"YNL045W" 3051 0.0013
"YLR363W.A" 1729 9e-04
"YGR137W" 1309 0.0014
"YHR001W" 3907 0.0013
"YOR052C" 769 7e-04
"YPR190C" 2139 9e-04
"YGR102C" 1285 0.0013
"YIL030C" 4174 9e-04
"YMR089C" 2314 0.0012
"YGR048W" 1245 0.0012
"YIL088C" 4132 0.001
"YBR254C" 2782 0.0014
"YJL210W" 3140 9e-04
"YDR232W" 359 8e-04
"YLR146C" 1579 5e-04
"YGR081C" 1266 0.0015
"YBL007C" 2572 0.001
"YJL081C" 3236 0.0013
"YEL032W" 3701 0.0013
"YJL063C" 3251 0.0011
"YNL001W" 3082 9e-04
"YBR026C" 2599 0.001
"YOR175C" 863 7e-04
"YGR147C" 1315 0.0016
"YGL112C" 1125 7e-04
"YDR456W" 537 0.0014
"YNL284C" 2860 9e-04
"YNR015W" 3095 7e-04
"YFR042W" 4409 0.0011
"YNR037C" 3115 5e-04
"YDR117C" 271 0.001
"YPR199C" 2143 0.0023
"YER088C" 3800 0.0017
"YGR186W" 1349 9e-04
"YMR296C" 2473 5e-04
"YGL127C" 1115 0.001
"YKL120W" 3484 0.001
"YOL147C" 609 9e-04
"YFL007W" 4369 0.0011
"YDR428C" 520 0.0012
"YPL071C" 1949 0.0014
"YKL113C" 3489 9e-04
"YJL060W" 3255 0.0015
"YOR079C" 788 8e-04
"YDL015C" 172 9e-04
"YOL014W" 716 6e-04
"YNR055C" 3131 0.001
"YFL009W" 4367 7e-04
"YLR314C" 1693 9e-04
"YIR036C" 4222 0.0012
"YLR181C" 1600 8e-04
"YJR120W" 3382 0.001
"YIL003W" 4196 0.0011
"YJL133C.A" 3196 0.0017
"YPL169C" 1876 5e-04
"YMR009W" 2254 0.0017
"YNL246W" 2889 0.0015
"YPR180W" 2130 9e-04
"YLR459W" 1798 0.002
"YML036W" 2218 0.0013
"YDL179W" 44 0.0015
"YGL211W" 1056 0.0016
"YGL181W" 1077 0.0015
"YGR084C" 1269 0.0013
"YDR309C" 418 0.001
"YNR036C" 3114 7e-04
"YKL157W" 3456 0.0011
"YCR057C" 4312 0.0011
