"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj","zero.pvalue","zero.pvalue.adj","combined.pvalue","combined.pvalue.adj"
"YDL243C","YDL243C","NS",2,2,1,0.563995574694437,0.998104031165283,0.156027185957383,0.960872863881077,0.301873525358907,0.92248705292446
"YDL237W","YDL237W","NS",1,1,1,0.452113213817067,0.979299727028238,0.602927729432751,0.997323471101103,0.626900857962873,0.999999709647877
"YDL236W","YDL236W","NS",1,1,1,0.638122206588268,0.999965230654008,0.742446711156793,0.997323471101103,0.827693264965133,0.999999709647877
"YDL235C","YDL235C","NS",1,1,1,0.149369642575487,0.827592842040469,0.225092418247419,0.97572862956975,0.147687057362328,0.849560902179467
"YDL234C","YDL234C","NS",1,1,1,0.43426565985896,0.970508131386292,0.317722032242263,0.995696352236583,0.411261226272748,0.961630665374898
"YDL233W","YDL233W","NS",1,1,1,0.123643018597736,0.818724915199394,0.835552530626083,0.997323471101103,0.33782641824457,0.944316285472686
"YDL232W","YDL232W","NS",1,1,1,0.230619555377192,0.893260826905453,0.584535235560408,0.997323471101103,0.4049447562344,0.961630665374898
"YDL231C","YDL231C","NS",1,1,1,0.803185547214644,0.999965230654008,0.804550244881354,0.997323471101103,0.928362157103415,0.999999709647877
"YDL230W","YDL230W","NS",1,1,2,0.302730296109154,0.921175998983226,0.555634750025307,0.997323471101103,0.468046897741055,0.98097925084914
"YDL229W","YDL229W","NS",1,1,1,0.54322572316724,0.998104031165283,0.449237315100087,0.996213349826463,0.58823580430153,0.997011262181345
"YDL226C","YDL226C","NS",1,1,1,0.767504993543752,0.999965230654008,0.090798228275791,0.902936540365443,0.255318066446504,0.903258243879283
"YDL225W","YDL225W","NS",1,1,2,0.667533361739517,0.999965230654008,0.297145532804246,0.995191034075155,0.519232555885915,0.990821002990454
"YDL224C","YDL224C","NS",1,1,1,0.305149599082433,0.921175998983226,0.466343524354518,0.996213349826463,0.419767920332771,0.964025368848381
"YDL219W","YDL219W","NS",1,1,1,0.688134430560641,0.999965230654008,0.400406976381577,0.996213349826463,0.630709293873453,0.999999709647877
"YDL217C","YDL217C","NS",1,1,1,0.97436643118716,0.999965230654008,0.765520220952055,0.997323471101103,0.964570011502679,0.999999709647877
"YDL215C","YDL215C","NS",1,1,2,0.372081959771214,0.948425004420328,0.165037012877194,0.968895403697746,0.232747565907125,0.902506960781629
"YDL213C","YDL213C","NS",1,1,1,0.239043950694412,0.89712729434384,0.802507810797566,0.997323471101103,0.508576939893367,0.988611092769834
"YDL212W","YDL212W","NS",1,1,1,0.153479128766246,0.833657613509348,0.035764805457641,0.830829064236614,0.0340600823430052,0.679990621710131
"YDL209C","YDL209C","NS",1,1,1,0.63964274458429,0.999965230654008,0.0135405935806191,0.707456189312111,0.0497921166427667,0.714588459933892
"YDL208W","YDL208W","NS",1,1,1,0.00235144125008002,0.34073142243095,0.170664930639903,0.968895403697746,0.00353985448308438,0.359033872567145
"YDL207W","YDL207W","NS",1,1,1,0.0455585124100159,0.720667318726098,0.108027432154014,0.918577541362861,0.0310754166954163,0.67786158194349
"YDL206W","YDL206W","NS",1,1,1,0.722962393718901,0.999965230654008,0.798704613005282,0.997323471101103,0.89453797716062,0.999999709647877
"YDL205C","YDL205C","NS",1,1,2,0.517550843046749,0.987806721538656,0.730166590252854,0.997323471101103,0.745642569283523,0.999999709647877
"YDL204W","YDL204W","NS",1,1,1,0.610426383196819,0.999965230654008,0.387388584302095,0.996213349826463,0.577447306323149,0.997011262181345
"YDL203C","YDL203C","NS",1,1,1,0.858182984000596,0.999965230654008,0.929555605874875,0.997323471101103,0.978004811217472,0.999999709647877
"YDL202W","YDL202W","NS",1,1,1,0.131358441132221,0.818724915199394,0.756800910643842,0.997323471101103,0.32890329083998,0.938332104972249
"YDL201W","YDL201W","NS",1,1,1,0.360311276126247,0.941941963954703,0.204978207387743,0.974411965709878,0.266297896586352,0.903258243879283
"YDL200C","YDL200C","NS",1,3,1,0.544525559230912,0.998104031165283,0.0537027677307254,0.902936540365443,0.1325309790107,0.837312458109794
"YDL198C","YDL198C","NS",1,1,1,0.147903788143317,0.827592842040469,0.185934501631605,0.969609181942751,0.126324654054126,0.835838691314334
"YDL197C","YDL197C","NS",1,1,1,0.417006986449005,0.964578657579119,0.698679449665785,0.997323471101103,0.650656750330616,0.999999709647877
"YDL195W","YDL195W","NS",1,1,1,0.372206224815892,0.948425004420328,0.614551557782086,0.997323471101103,0.566170098786148,0.997011262181345
"YDL193W","YDL193W","NS",1,1,1,0.0810264255515735,0.790904747926181,0.401376920636774,0.996213349826463,0.143937589502918,0.849560902179467
"YDL192W","YDL192W","NS",1,1,2,0.578005971127943,0.998104031165283,0.169067544743383,0.968895403697746,0.324987191920762,0.938332104972249
"YDL191W","YDL191W","NS",1,1,1,0.746844277610853,0.999965230654008,0.342436497814588,0.996213349826463,0.604474712269732,0.997011262181345
"YDL190C","YDL190C","NS",1,1,1,0.178928685061883,0.863316491190097,0.697771955875221,0.997323471101103,0.384621137904369,0.95794798345469
"YDL189W","YDL189W","NS",1,1,1,0.95696190890914,0.999965230654008,0.881736790170116,0.997323471101103,0.987108856246493,0.999999709647877
"YDL188C","YDL188C","NS",1,1,1,0.767006178381671,0.999965230654008,0.904596443662117,0.997323471101103,0.947444891943846,0.999999709647877
"YDL185W","YDL185W","NS",1,1,1,0.472369198288269,0.982322024908343,0.170929507123043,0.968895403697746,0.283928534637424,0.91042964367982
"YDL184C","YDL184C","NS",1,1,1,0.514991285050627,0.987806721538656,0.379590099498218,0.996213349826463,0.514570587517785,0.990821002990454
"YDL183C","YDL183C","NS",1,1,1,0.884887653044125,0.999965230654008,0.992692885585985,0.997323471101103,0.992290188424914,0.999999709647877
"YDL182W","YDL182W","DZ",1,1,1,0.287775348432061,0.921175998983226,1.32514764095282e-06,0.00588498067347148,6.0174542269911e-06,0.027030404387644
"YDL181W","YDL181W","NS",1,1,1,0.0935103946927779,0.792029463526361,0.00010093392778577,0.0896495146593205,0.000118647191559703,0.0592181316095764
"YDL180W","YDL180W","NS",1,1,1,0.261954005898638,0.911334305533533,0.260985839362637,0.991688545586348,0.251784518004277,0.902669390473197
"YDL179W","YDL179W","NS",1,1,1,0.0161094465142521,0.613237313021411,0.164540153960492,0.968895403697746,0.0183768297445142,0.612731494812162
"YDL178W","YDL178W","NS",1,1,1,0.333438891803853,0.926945145386768,0.849343480066984,0.997323471101103,0.64049089698651,0.999999709647877
"YDL177C","YDL177C","NS",1,1,1,0.018983792466286,0.63166811673005,0.652398872588144,0.997323471101103,0.0667708903295255,0.754494322528847
"YDL176W","YDL176W","NS",1,1,3,0.353269588110633,0.939542326698024,0.355887302072099,0.996213349826463,0.386433948784075,0.95794798345469
"YDL175C","YDL175C","NS",1,1,1,0.319967959923151,0.922962923249635,0.468502598643252,0.996213349826463,0.434389298741178,0.968929753144077
"YDL174C","YDL174C","NS",1,1,2,0.430594359725247,0.969559730487877,0.547388022211899,0.997323471101103,0.576335744167959,0.997011262181345
"YDL173W","YDL173W","NS",1,1,2,0.649771914677621,0.999965230654008,0.496464314727542,0.996213349826463,0.687558032437647,0.999999709647877
"YDL171C","YDL171C","NS",1,1,1,0.962511888128643,0.999965230654008,0.475811082453443,0.996213349826463,0.815625389731014,0.999999709647877
"YDL170W","YDL170W","NS",1,1,1,0.911191379100547,0.999965230654008,0.385506884780507,0.996213349826463,0.718769291717016,0.999999709647877
"YDL168W","YDL168W","NS",1,1,1,0.931220162497337,0.999965230654008,0.0633632930720092,0.902936540365443,0.225997501450595,0.902506960781629
"YDL167C","YDL167C","NS",1,1,1,0.932117425525763,0.999965230654008,0.395029950827922,0.996213349826463,0.736093589587189,0.999999709647877
"YDL166C","YDL166C","NS",1,1,1,0.145817706404832,0.827592842040469,0.59683356186087,0.997323471101103,0.299511270207752,0.92248705292446
"YDL165W","YDL165W","NS",1,1,1,0.058655466942511,0.757242879660492,0.486208910900682,0.996213349826463,0.12996567843042,0.835838691314334
"YDL164C","YDL164C","NS",1,1,1,0.745252999517785,0.999965230654008,0.410535242651301,0.996213349826463,0.668299965696647,0.999999709647877
"YDL161W","YDL161W","NS",1,1,1,0.812160346097497,0.999965230654008,0.767435057996658,0.997323471101103,0.917941645517186,0.999999709647877
"YDL160C.A","YDL160C.A","NS",1,1,1,0.927220781759783,0.999965230654008,0.660257846473744,0.997323471101103,0.912606599402976,0.999999709647877
"YDL159W","YDL159W","NS",1,3,1,0.0575470442084706,0.749279195896956,0.707937746656191,0.997323471101103,0.17112931715066,0.867787454519169
"YDL158C","YDL158C","NS",1,1,1,0.803977437074965,0.999965230654008,0.059039350482132,0.902936540365443,0.192131035091189,0.877568345401438
"YDL157C","YDL157C","NS",1,2,1,0.667253167521906,0.999965230654008,0.493150462798382,0.996213349826463,0.694810968684885,0.999999709647877
"YDL155W","YDL155W","NS",1,1,1,0.952477909353765,0.999965230654008,0.880148649085049,0.997323471101103,0.986162628705115,0.999999709647877
"YDL153C","YDL153C","NS",1,1,1,0.0119969281652746,0.560362763390127,0.186018244317772,0.969609181942751,0.0158558894458985,0.596969352297433
"YDL150W","YDL150W","NS",1,1,1,0.433387259246463,0.969973539586555,0.848683236375277,0.997323471101103,0.735687936112365,0.999999709647877
"YDL148C","YDL148C","NS",1,1,1,0.332156327690834,0.926945145386768,0.698963226687783,0.997323471101103,0.571197249317908,0.997011262181345
"YDL147W","YDL147W","NS",1,1,1,0.403155376946943,0.960087109442841,0.0787087807667652,0.902936540365443,0.141220578609732,0.849560902179467
"YDL145C","YDL145C","NS",1,2,1,0.748135963369742,0.999965230654008,0.597779554949529,0.997323471101103,0.807100315436179,0.999999709647877
"YDL144C","YDL144C","NS",1,1,1,0.924493161313044,0.999965230654008,0.961144233737871,0.997323471101103,0.993547453846829,0.999999709647877
"YDL143W","YDL143W","NS",1,1,1,0.60152582644543,0.999965230654008,0.814616583234046,0.997323471101103,0.83955065670933,0.999999709647877
"YDL142C","YDL142C","NS",1,1,2,0.403200145282661,0.960087109442841,0.745276263029406,0.997323471101103,0.661787997876281,0.999999709647877
"YDL141W","YDL141W","NS",1,1,1,0.981207718535795,0.999965230654008,0.972341352186714,0.997323471101103,0.998928632881293,0.999999709647877
"YDL140C","YDL140C","NS",1,1,1,0.195160896496863,0.875572351341992,0.948873309722744,0.997323471101103,0.497477544894849,0.988611092769834
"YDL138W","YDL138W","NS",1,1,1,0.823346173383792,0.999965230654008,0.905375807352022,0.997323471101103,0.964435159706395,0.999999709647877
"YDL137W","YDL137W","NS",1,1,1,0.00290585467400728,0.407909349863772,0.0391615778758959,0.86005184158937,0.00114720605555417,0.234238618252241
"YDL136W","YDL136W","NS",1,1,1,0.012225189406107,0.560362763390127,0.224300808875407,0.97572862956975,0.0189179507605298,0.612731494812162
"YDL135C","YDL135C","NS",1,1,1,0.299442443595004,0.921175998983226,0.560132609194615,0.997323471101103,0.467190593433893,0.98097925084914
"YDL134C","YDL134C","NS",1,1,1,0.37381844157835,0.948425004420328,0.582176347555151,0.997323471101103,0.549504145570625,0.996371049928086
"YDL133C.A","YDL133C.A","NS",2,1,1,0.912743804052434,0.999965230654008,0.109691907653774,0.918577541362861,0.330536149232595,0.938538800475864
"YDL133W","YDL133W","NS",1,1,1,0.174363772612886,0.856002258554189,0.570812480604514,0.997323471101103,0.329172921315691,0.938332104972249
"YDL132W","YDL132W","NS",1,1,2,0.475594255085998,0.982322024908343,0.90716280020025,0.997323471101103,0.794121229147996,0.999999709647877
"YDL131W","YDL131W","NS",1,1,1,0.779081160523091,0.999965230654008,0.611929667222604,0.997323471101103,0.82990349892975,0.999999709647877
"YDL130W.A","YDL130W.A","NS",1,1,1,0.0276891863444608,0.690849891582442,0.150413971557013,0.960872863881077,0.0269926531503635,0.666214274458422
"YDL130W","YDL130W","NS",1,1,1,0.646517361593398,0.999965230654008,NA,NA,0.646517361593398,0.999999709647877
"YDL128W","YDL128W","NS",1,1,1,0.0213702492502137,0.665071159265908,0.615298633022971,0.997323471101103,0.0701030732448209,0.769933997593485
"YDL127W","YDL127W","NS",1,1,1,0.849724222336987,0.999965230654008,0.987831058976752,0.997323471101103,0.986349213809488,0.999999709647877
"YDL126C","YDL126C","NS",1,1,1,0.15539514426088,0.835853704508948,0.22655552887756,0.97572862956975,0.153023002199843,0.849560902179467
"YDL125C","YDL125C","NS",1,1,1,0.465187548510648,0.981504212263895,0.278626736647108,0.995191034075155,0.394439972527442,0.960052609979111
"YDL124W","YDL124W","NS",1,1,1,0.484346128779252,0.982870098307723,0.832917161553943,0.997323471101103,0.769635612134164,0.999999709647877
"YDL123W","YDL123W","NS",1,1,1,0.492396945682388,0.98416389203566,0.980263811667453,0.997323471101103,0.834263977377316,0.999999709647877
"YDL122W","YDL122W","NS",1,1,1,0.995565580135651,0.999965230654008,0.439380640748442,0.996213349826463,0.799115856853432,0.999999709647877
"YDL121C","YDL121C","NS",1,1,1,0.13682762493126,0.820600388773324,0.570747259113638,0.997323471101103,0.277221344374718,0.903258243879283
"YDL120W","YDL120W","NS",1,1,1,0.112765108997845,0.818321275635411,0.778221811339477,0.997323471101103,0.301284114772961,0.92248705292446
"YDL119C","YDL119C","NS",1,1,2,0.188837637615509,0.870877181530838,0.308980857745503,0.995696352236583,0.224131704567301,0.902506960781629
"YDL117W","YDL117W","NS",1,1,1,0.447280266099172,0.977430350044621,0.282288532955312,0.995191034075155,0.387548285220242,0.95794798345469
"YDL116W","YDL116W","NS",1,1,2,0.932217729773929,0.999965230654008,0.793270970839085,0.997323471101103,0.962667428465351,0.999999709647877
"YDL115C","YDL115C","NS",1,1,1,0.00418968664333763,0.459026156143235,0.902083382387292,0.997323471101103,0.0248618718238262,0.652943555987251
"YDL113C","YDL113C","NS",1,1,1,0.850857019759952,0.999965230654008,0.926550131689083,0.997323471101103,0.975832755781525,0.999999709647877
"YDL112W","YDL112W","NS",1,1,2,0.30844227936969,0.921175998983226,0.596845373637369,0.997323471101103,0.495635096372532,0.988611092769834
"YDL111C","YDL111C","NS",1,1,1,0.552931676823061,0.998104031165283,0.825689363085273,0.997323471101103,0.814511095256471,0.999999709647877
"YDL110C","YDL110C","NS",1,2,1,0.0411362459730275,0.720667318726098,0.87568335546525,0.997323471101103,0.155746717921925,0.853188118177179
"YDL108W","YDL108W","NS",1,1,1,0.218517721744616,0.89166804804641,0.30809871104863,0.995696352236583,0.248982983240837,0.902506960781629
"YDL107W","YDL107W","NS",2,3,1,0.271512727515038,0.911349376667442,0.85698154021986,0.997323471101103,0.571950685733025,0.997011262181345
"YDL106C","YDL106C","NS",1,1,1,0.34573267443313,0.935489795665248,0.766124980694464,0.997323471101103,0.616759966458629,0.997654220141217
"YDL105W","YDL105W","NS",1,2,1,0.710154431548049,0.999965230654008,0.890585322339516,0.997323471101103,0.922210995074151,0.999999709647877
"YDL104C","YDL104C","NS",1,2,1,0.0181501620658802,0.627157907691797,0.335952356134856,0.996213349826463,0.0371944540295532,0.698069274175671
"YDL103C","YDL103C","NS",2,1,2,0.698257870864199,0.999965230654008,0.0729905556672312,0.902936540365443,0.202671903612349,0.891267115088482
"YDL102W","YDL102W","NS",1,1,1,0.207046848538165,0.881874268684421,0.881736745599391,0.997323471101103,0.493036867339406,0.988611092769834
"YDL101C","YDL101C","NS",2,3,2,0.0328989026392288,0.711839263876319,0.00829475968300561,0.666899519491166,0.00251233351414877,0.313483392932118
"YDL100C","YDL100C","NS",1,1,1,0.774611748902312,0.999965230654008,0.472342959293113,0.996213349826463,0.733756416657816,0.999999709647877
"YDL099W","YDL099W","NS",1,1,1,0.749103812931649,0.999965230654008,0.197728297121917,0.974411965709878,0.430987712236089,0.968929753144077
"YDL098C","YDL098C","NS",1,1,1,0.900610657915248,0.999965230654008,0.887642744945367,0.997323471101103,0.978385323123093,0.999999709647877
"YDL097C","YDL097C","NS",1,1,1,0.132953897509739,0.818724915199394,0.424241332481305,0.996213349826463,0.218579186895531,0.89642749012027
"YDL095W","YDL095W","NS",1,1,1,0.969586112881889,0.999965230654008,0.397324399482568,0.996213349826463,0.752716316685108,0.999999709647877
"YDL093W","YDL093W","NS",1,1,1,0.968618703807784,0.999965230654008,0.454204115810987,0.996213349826463,0.801190885275531,0.999999709647877
"YDL092W","YDL092W","NS",1,1,1,0.211064430064193,0.887466666067019,0.608494739032409,0.997323471101103,0.39201931634566,0.960052609979111
"YDL091C","YDL091C","NS",1,1,1,0.39569848672365,0.956641302860928,0.507052150494596,0.996213349826463,0.52291622822188,0.992004526497295
"YDL090C","YDL090C","NS",1,2,1,0.314119253304113,0.921175998983226,0.931691610270535,0.997323471101103,0.652266939683121,0.999999709647877
"YDL089W","YDL089W","NS",1,1,1,0.852721078615936,0.999965230654008,0.152675574166302,0.960872863881077,0.395615559057305,0.960052609979111
"YDL088C","YDL088C","NS",1,1,1,0.57281724605831,0.998104031165283,0.181997736616026,0.968895403697746,0.339958697284208,0.946427046754908
"YDL086W","YDL086W","NS",1,1,1,0.0834130068346037,0.790904747926181,0.0227451970368421,0.745572279718191,0.0137879498187508,0.578334459537947
"YDL085C.A","YDL085C.A","NS",1,1,1,0.516587714487667,0.987806721538656,0.477513476557263,0.996213349826463,0.591945584449197,0.997011262181345
"YDL084W","YDL084W","NS",1,1,1,0.15314751345914,0.833657613509348,0.929944942380083,0.997323471101103,0.419990571423927,0.964025368848381
"YDL083C","YDL083C","NS",1,1,1,0.89601254919412,0.999965230654008,NA,NA,0.89601254919412,0.999999709647877
"YDL082W","YDL082W","NS",1,1,1,0.64148672726815,0.999965230654008,0.46075425335015,0.996213349826463,0.655822614434168,0.999999709647877
"YDL081C","YDL081C","NS",1,1,1,0.13918967819474,0.827592842040469,0.324344709399645,0.995696352236583,0.184999950429735,0.875463155545504
"YDL080C","YDL080C","NS",1,1,1,0.407296118956133,0.960087109442841,0.196305503290236,0.974411965709878,0.281943281200508,0.908782737173477
"YDL078C","YDL078C","NS",1,1,1,0.898524306496165,0.999965230654008,0.351915588721507,0.996213349826463,0.680271891313339,0.999999709647877
"YDL077C","YDL077C","NS",1,1,1,0.113557688359532,0.818724915199394,0.648324689353861,0.997323471101103,0.265688571882496,0.903258243879283
"YDL076C","YDL076C","NS",1,1,1,0.0773539011824572,0.789942980310047,0.824102921969488,0.997323471101103,0.239233440726103,0.902506960781629
"YDL075W","YDL075W","NS",1,1,1,0.250239206865918,0.910174763998171,0.0905810563556351,0.902936540365443,0.108503160523439,0.817474358511661
"YDL074C","YDL074C","NS",1,1,1,0.191056323906942,0.875572351341992,0.541404784648366,0.996213349826463,0.338118196446346,0.9445441159434
"YDL073W","YDL073W","NS",1,1,1,0.696343377126541,0.999965230654008,0.403169205309111,0.996213349826463,0.637376749764331,0.999999709647877
"YDL072C","YDL072C","NS",1,1,1,0.0424442794693259,0.720667318726098,0.321818840257633,0.995696352236583,0.0723035416241378,0.773034618156492
"YDL070W","YDL070W","NS",1,1,1,0.0532994785312452,0.739328995538094,0.12965868569328,0.932175767303526,0.0412894517464841,0.70970745349598
"YDL069C","YDL069C","NS",1,1,1,0.13016495165061,0.818724915199394,0.299679870272991,0.995696352236583,0.165548906947004,0.867787454519169
"YDL067C","YDL067C","NS",1,1,1,0.000523229032217021,0.324094428317126,0.133518872597469,0.941440227230216,0.000738360645143195,0.195100942234308
"YDL066W","YDL066W","NS",1,1,1,0.781324012986065,0.999965230654008,0.390708607653722,0.996213349826463,0.667490778953498,0.999999709647877
"YDL065C","YDL065C","NS",1,1,1,0.159946732375994,0.844202568145779,0.333211852863561,0.996213349826463,0.209554653640338,0.89438128049452
"YDL064W","YDL064W","NS",1,1,1,0.264638415781596,0.911334305533533,0.570406013385095,0.997323471101103,0.436369800452244,0.968929753144077
"YDL063C","YDL063C","NS",1,1,1,0.640160716925976,0.999965230654008,0.922581432479003,0.997323471101103,0.901619798524837,0.999999709647877
"YDL061C","YDL061C","NS",1,1,1,0.165340485870378,0.844202568145779,0.344873575868131,0.996213349826463,0.220349900746778,0.898991365933373
"YDL060W","YDL060W","NS",1,1,1,0.664968013695958,0.999965230654008,0.0251947582763109,0.745572279718191,0.0852618945212131,0.79167199986841
"YDL058W","YDL058W","NS",1,1,1,0.648725634664022,0.999965230654008,0.479181881347315,0.996213349826463,0.674069910688977,0.999999709647877
"YDL055C","YDL055C","NS",1,1,2,0.463741132876611,0.981217696128938,0.563973934093381,0.997323471101103,0.612306288536242,0.997011262181345
