"GeneNames" "GeneIndex" "ReferenceFreq"
"YBR053C" 2620 9e-04
"YIL091C" 4130 0.0013
"YGL006W" 1207 0.001
"YPL208W" 1849 0.0012
"YLR364W" 1730 0.001
"YPL144W" 1892 0.0011
"YLR199C" 1616 0.0011
"YLR375W" 1738 6e-04
"YDL235C" 4 7e-04
"YDR201W" 340 0.0012
"YLL026W" 1449 9e-04
"YDR349C" 454 0.0014
"YER010C" 3735 0.0015
"YHR040W" 3941 5e-04
"YGL186C" 1075 8e-04
"YLR380W" 1741 7e-04
"YDR363W.A" 464 8e-04
"YAL053W" 4429 0.0014
"YOL140W" 615 0.001
"YOR048C" 767 8e-04
"YOR079C" 788 7e-04
"YCR094W" 4336 8e-04
"YLR126C" 1567 0.0015
"YPR006C" 2004 0.0012
"YCR003W" 4272 0.0012
"YOR174W" 862 0.001
"YKL176C" 3440 0.0011
"YHR001W" 3907 9e-04
"YNL005C" 3078 6e-04
"YHL002W" 3905 6e-04
"YGR080W" 1265 0.001
"YGR104C" 1287 0.0013
"YPL095C" 1929 0.0016
"YOR052C" 769 8e-04
"YDL003W" 182 6e-04
"YPL011C" 1993 8e-04
"YOR078W" 787 0.0013
"YKL114C" 3488 0.0014
"YGR286C" 1428 8e-04
"YFR005C" 4379 0.0012
"YDR139C" 284 7e-04
"YOR165W" 856 6e-04
"YBR167C" 2717 0.0014
"YBR276C" 2803 5e-04
"YPL184C" 1862 0.0011
"YJL133W" 3197 9e-04
"YGR206W" 1368 0.0014
"YBR080C" 2644 0.0013
"YLR275W" 1668 0.0011
"YDR262W" 382 0.001
"YMR043W" 2283 6e-04
"YML081W" 2184 0.0016
"YPL152W" 1885 0.0013
"YIL019W" 4182 0.0012
"YMR029C" 2270 0.0012
"YPR098C" 2068 0.0011
"YEL050C" 3686 0.0011
"YJL033W" 3274 0.001
"YLR021W" 1486 0.001
"YGL127C" 1115 9e-04
"YLR401C" 1756 6e-04
"YNL087W" 3011 8e-04
"YOR008C" 736 0.0018
"YGR116W" 1295 9e-04
"YOR179C" 865 0.0012
"YNL252C" 2883 0.0011
"YKR077W" 3646 7e-04
"YOR278W" 945 8e-04
"YDR036C" 210 0.0012
"YDR168W" 311 0.0013
"YOL027C" 705 0.0013
"YJL168C" 3172 0.0011
"YKR003W" 3586 0.0013
"YOR086C" 793 0.001
"YHR142W" 4020 0.0011
"YJL218W" 3137 0.0015
"YHR012W" 3917 0.0021
"YIR021W" 4211 7e-04
"YMR244C.A" 2433 0.0018
"YMR158W" 2362 0.0015
"YJR126C" 3388 0.0012
"YLR312W.A" 1692 0.0013
"YKL125W" 3482 7e-04
"YDR068W" 234 8e-04
