"GeneNames" "GeneIndex" "ReferenceFreq"
"YPL157W" 1881 0.0013
"YNR037C" 3115 0.0011
"YGL196W" 1067 0.0012
"YER029C" 3754 0.0011
"YGL044C" 1179 0.0013
"YOR097C" 803 8e-04
"YGR142W" 1312 7e-04
"YNL166C" 2946 0.002
"YMR110C" 2327 9e-04
"YLR222C" 1633 0.0011
"YNL243W" 2892 0.0014
"YJR074W" 3348 0.0011
"YHL020C" 3895 0.0014
"YPL024W" 1982 4e-04
"YGL209W" 1058 0.0016
"YDR322W" 430 0.0012
"YER172C" 3869 0.001
"YPL030W" 1978 7e-04
"YJL041W" 3269 0.0015
"YJL180C" 3163 8e-04
"YKL214C" 3412 9e-04
"YDR296W" 405 0.0012
"YLR108C" 1555 6e-04
"YBR061C" 2628 0.0014
"YKL101W" 3497 9e-04
"YGR084C" 1269 7e-04
"YOR148C" 841 9e-04
"YER154W" 3855 0.0016
"YPL139C" 1895 8e-04
"YOR015W" 740 0.0012
"YAL053W" 4429 0.0012
"YLR243W" 1647 0.0013
"YLR298C" 1684 9e-04
"YDR275W" 389 0.001
"YLR193C" 1611 8e-04
"YMR209C" 2400 8e-04
"YHR012W" 3917 0.001
"YDL235C" 4 0.001
"YNL154C" 2958 0.0012
"YBR002C" 2579 7e-04
"YBR279W" 2805 8e-04
"YBR074W" 2639 0.0015
"YNL191W" 2928 9e-04
"YPL260W" 1808 8e-04
"YCL057W" 4230 0.0016
"YGR241C" 1394 0.0011
"YLR201C" 1618 8e-04
"YNL323W" 2826 9e-04
"YIL020C" 4181 0.0012
"YJR142W" 3404 7e-04
"YJR125C" 3387 0.0014
"YCR093W" 4335 0.0011
"YKR044W" 3616 0.0011
"YHL002W" 3905 0.0014
"YIL091C" 4130 0.0011
"YOR241W" 911 9e-04
"YBR070C" 2636 0.0014
"YPL173W" 1873 9e-04
"YKL027W" 3556 0.0016
"YDR252W" 375 0.001
"YER141W" 3843 0.0011
"YPL169C" 1876 0.0011
"YJL168C" 3172 0.0011
"YGL065C" 1163 0.001
"YGR008C" 1218 0.0014
"YOL093W" 654 0.0015
"YJL011C" 3287 6e-04
"YDR308C" 417 0.0012
"YLL029W" 1446 0.0011
"YFL009W" 4367 0.0014
"YDR222W" 351 5e-04
"YNL206C" 2921 0.0014
"YMR152W" 2357 0.0013
"YPR056W" 2041 0.001
"YLR368W" 1732 0.0013
"YJL006C" 3290 0.001
"TLC1" 2606 0.001
"YDR143C" 288 8e-04
"YGL190C" 1072 0.0015
"YCL058W.A" 4228 0.0012
"YDR493W" 566 0.0011
"YPR139C" 2099 0.0017
"YIL026C" 4177 0.0011
"YJR113C" 3378 9e-04
"YDR019C" 196 6e-04
"YKL144C" 3466 0.0016
"YKL023W" 3559 0.0013
"YEL007W" 3719 0.0019
"YJL212C" 3139 0.0013
"YML081W" 2184 0.0013
"YGL172W" 1081 0.0017
"YNL222W" 2907 7e-04
"YKR082W" 3651 0.0016
"YIL104C" 4120 6e-04
"YPL196W" 1857 0.001
"YMR197C" 2391 0.0015
"YNL246W" 2889 0.001
"YIL145C" 4086 0.001
"YLR105C" 1552 7e-04
"YGL112C" 1125 3e-04
"YER134C" 3838 0.001
"YML101C" 2170 0.001
"YER115C" 3821 8e-04
"YPR024W" 2018 0.001
"YDR266C" 384 9e-04
"YLR089C" 1538 0.0013
"YDL160C.A" 59 9e-04
"YHR191C" 4054 0.0012
"YIL114C" 4111 0.0013
"YIL004C" 4195 0.0013
"YKR037C" 3612 0.001
"YHR009C" 3914 7e-04
"YBL079W" 2516 0.0012
"YPL202C" 1854 0.0013
"YOR194C" 874 0.001
"YGR133W" 1306 0.0013
"YDR464W" 544 0.0012
"YOR124C" 822 8e-04
"YOL041C" 695 0.0012
"YBR254C" 2782 8e-04
"YER035W" 3758 7e-04
"YNL219C" 2910 9e-04
"YDR363W.A" 464 7e-04
"YLR146C" 1579 9e-04
"YLR200W" 1617 9e-04
"YHR103W" 3990 7e-04
"YDR113C" 268 9e-04
"YER046W" 3764 9e-04
"YOR320C" 981 5e-04
"YGR215W" 1375 9e-04
"YOR089C" 795 0.0012
"YOR057W" 771 0.0017
"YMR144W" 2353 6e-04
"YFR005C" 4379 0.001
"YJL198W" 3149 8e-04
"YBR291C" 2815 0.0011
"YBR076C.A" 2640 0.0015
"YDR347W" 452 0.0019
"YKL012W" 3571 0.0011
"YDR370C" 471 7e-04
"YCR035C" 4300 7e-04
"YGL181W" 1077 0.0015
"YKL100C" 3498 9e-04
"YMR277W" 2459 0.0016
"YMR311C" 2486 0.0016
"YCL008C" 4265 0.0011
"YDL085C.A" 122 0.0017
"YPL063W" 1957 0.0011
"YHR199C" 4062 0.0011
"YOR174W" 862 0.0011
"YDR390C" 493 7e-04
"YML070W" 2194 9e-04
"YJR101W" 3368 0.0011
"YML093W" 2177 0.001
"YER082C" 3795 0.0017
"YMR047C" 2285 0.0011
"YOR201C" 879 0.001
"YDR120C" 273 0.001
"YHR039C" 3939 0.001
"YMR199W" 2393 0.0012
"YLL001W" 1469 6e-04
"YJL109C" 3216 0.0014
"YDL150W" 65 0.0011
"YHR027C" 3929 0.0017
"YKR006C" 3588 0.0015
"YLR256W" 1656 8e-04
"YOL064C" 676 0.0014
"YNR012W" 3092 0.0011
"YHR137W" 4017 0.0011
"YAL043C" 4436 0.0012
"YDR139C" 284 8e-04
"YLR034C" 1497 0.0012
"YGL088W" 1145 0.001
"YKL052C" 3539 0.0018
"YER176W" 3872 9e-04
"YPL221W" 1839 0.0013
"YGR099W" 1282 0.0018
"YLL040C" 1440 5e-04
"YNL049C" 3047 0.0017
"YPL047W" 1968 0.001
"YHR037W" 3937 0.0011
"YKL157W" 3456 0.0014
"YBR004C" 2581 0.0012
"YAL060W" 4423 9e-04
"YML103C" 2168 8e-04
"YLR295C" 1682 0.0015
"YLR154C" 1586 8e-04
"YOR086C" 793 7e-04
"YER163C" 3862 0.001
"YNL185C" 2933 0.001
"YIL157C" 4075 0.001
"YDR357C" 459 0.0013
"YPL208W" 1849 0.0011
"YMR319C" 2493 0.001
"YDR424C" 518 0.0013
"YJL063C" 3251 0.001
"YDL198C" 29 0.0014
"YDR083W" 247 0.0012
"YKR087C" 3656 8e-04
"YDR348C" 453 0.0012
"YKL042W" 3545 0.0011
"YPR009W" 2006 0.0012
"YIR004W" 4202 0.0016
"YLR336C" 1707 0.001
"YDR518W" 585 0.0014
"YIL087C" 4133 0.001
"YJL033W" 3274 9e-04
"YNL107W" 2995 9e-04
"YHR187W" 4051 0.001
"YMR239C" 2428 9e-04
"YGR026W" 1229 0.001
"YJR096W" 3363 9e-04
"YNL221C" 2908 0.002
"YKL126W" 3481 8e-04
"YGL255W" 1025 8e-04
"YBR029C" 2601 0.0011
"YBL042C" 2539 7e-04
"YOR222W" 896 8e-04
"YAR014C" 4479 0.0016
"YOL062C" 678 6e-04
"YLR163C" 1587 0.0014
"YOR299W" 963 0.0012
"YML114C" 2158 0.0018
"YBL058W" 2529 9e-04
"YHR204W" 4066 7e-04
"YKL041W" 3546 9e-04
"YDR530C" 595 0.0011
"YKR008W" 3590 0.0017
"YDR503C" 573 0.0017
"YLR036C" 1498 0.0013
"YGR079W" 1264 5e-04
"YJL054W" 3260 8e-04
"YLL031C" 1445 0.001
"YER119C" 3825 0.0013
"YKL039W" 3548 8e-04
"YKR007W" 3589 6e-04
"YDL236W" 3 0.0011
"YLR026C" 1491 6e-04
"YGR244C" 1395 8e-04
"YDR046C" 215 7e-04
"YNL265C" 2872 0.0019
"YAL016W" 4460 0.0014
"YKL019W" 3563 0.0013
"YDL099W" 111 0.0016
"YBR156C" 2707 7e-04
"YGR120C" 1298 0.0011
"YEL068C" 3673 8e-04
"YMR315W" 2490 0.0012
"YIL063C" 4149 9e-04
"YDL207W" 21 9e-04
"YPR161C" 2113 0.0011
"YOR382W" 1019 4e-04
"YGL120C" 1118 0.001
"YBR222C" 2756 6e-04
"YDL133W" 80 0.0014
"YGL061C" 1167 7e-04
"YOR259C" 927 0.001
"YDR148C" 293 0.001
"YLL027W" 1448 7e-04
"YLR321C" 1697 0.0017
"YNL041C" 3054 0.0012
"YOL010W" 720 0.0014
"YMR026C" 2267 7e-04
"YLL036C" 1442 8e-04
"YJR032W" 3315 0.0012
"YFL048C" 4341 3e-04
"YIL121W" 4105 0.0013
"YNL038W" 3057 0.0014
"YDL065C" 139 8e-04
"YBL081W" 2514 0.001
"YER089C" 3802 0.0016
"YDL122W" 91 5e-04
"YOL036W" 699 0.0013
"YEL006W" 3720 0.0017
"YKR062W" 3633 0.0011
"YJL200C" 3147 0.0011
"YLR332W" 1704 0.0013
"YFR055W" 4421 0.0011
"YGR191W" 1353 9e-04
"YJL069C" 3247 0.0016
"YHL048W" 3879 0.0012
"YDR011W" 191 0.0011
"YDL063C" 141 0.001
"YKL138C.A" 3472 7e-04
"YDR168W" 311 5e-04
"YLL023C" 1451 9e-04
"YGL037C" 1185 0.0012
"YIL056W" 4152 7e-04
"YEL037C" 3696 0.001
"YMR089C" 2314 0.0014
"YMR188C" 2382 0.0013
"YMR296C" 2473 0.001
"YGR078C" 1263 0.0016
"YNL126W" 2980 9e-04
"YDR511W" 578 0.0014
"YIR038C" 4224 7e-04
"YOL076W" 667 8e-04
"YDR060W" 226 9e-04
"YKR066C" 3637 5e-04
"YPL009C" 1995 0.0011
"YMR059W" 2292 0.0011
"YGR252W" 1401 0.0012
"YPL053C" 1962 0.0018
"YJR126C" 3388 9e-04
"YCL040W" 4242 0.001
"YGR277C" 1419 0.001
"YDR178W" 320 9e-04
"YJR057W" 3333 0.0011
"YDR374W.A" 475 0.0013
"YBL007C" 2572 9e-04
"YDR320C" 427 0.0018
"YGR193C" 1355 0.0014
"YDR127W" 277 8e-04
"YLR023C" 1488 8e-04
"YHR072W" 3966 0.0015
"YCR036W" 4301 0.001
"YKL204W" 3420 0.0011
"YOR002W" 730 0.0017
"YDR013W" 193 7e-04
"YGL085W" 1148 8e-04
