GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0071554	cell wall organization or biogenesis	26	125	20.80%	299	6437	4.65%	YBR067C, YBR078W, YDL055C, YDR055W, YDR077W, YER124C, YGL028C, YGR189C, YGR279C, YGR282C, YHR143W, YIL123W, YJL158C, YJL159W, YJR104C, YKL096W, YKL096W-A, YKL164C, YKR042W, YLR286C, YLR300W, YMR022W, YMR307W, YNL160W, YNL283C, YPR149W
GO:0005975	carbohydrate metabolic process	15	125	12.00%	253	6437	3.93%	YAL038W, YGL028C, YGR189C, YGR254W, YGR279C, YGR282C, YIL053W, YIL123W, YJR009C, YKL152C, YKR042W, YLR286C, YLR300W, YML028W, YMR307W
GO:0006811	ion transport	14	125	11.20%	826	6437	12.83%	YAL005C, YBR296C, YDR033W, YDR342C, YDR345C, YGL008C, YGR209C, YHR092C, YKL164C, YML123C, YMR011W, YMR246W, YNL055C, YPR149W
GO:0042221	response to chemical	14	125	11.20%	534	6437	8.30%	YAL005C, YBR244W, YER042W, YER124C, YGL055W, YGR234W, YHL007C, YJR104C, YKR095W-A, YLL024C, YLR109W, YML028W, YMR022W, YNL190W
GO:0006325	chromatin organization	12	125	9.60%	307	6437	4.77%	YBL002W, YBL003C, YBR009C, YBR010W, YBR088C, YDR224C, YDR225W, YMR022W, YMR307W, YNL030W, YNL031C, YOL012C
GO:0055085	transmembrane transport	11	125	8.80%	460	6437	7.15%	YAL005C, YBR296C, YDR033W, YDR342C, YDR345C, YGL008C, YHR092C, YLL024C, YML123C, YMR011W, YNL055C
GO:0055086	nucleobase-containing small molecule metabolic process	10	125	8.00%	220	6437	3.42%	YAL038W, YAR015W, YDL055C, YER070W, YGR209C, YGR254W, YJR009C, YKL152C, YMR120C, YMR246W
GO:0002181	cytoplasmic translation	9	125	7.20%	205	6437	3.18%	YAL005C, YCR031C, YDL184C, YFR032C-A, YGL189C, YLR367W, YMR121C, YOR369C, YPL249C-A
GO:0006366	transcription by RNA polymerase II	9	125	7.20%	556	6437	8.64%	YBR009C, YDR224C, YDR225W, YHL007C, YJR104C, YKR095W-A, YNL030W, YNL112W, YOL012C
GO:0006468	protein phosphorylation	9	125	7.20%	238	6437	3.70%	YAR018C, YDL179W, YGR086C, YHL007C, YHR136C, YLR079W, YNL055C, YNL289W, YPR149W
GO:0032787	monocarboxylic acid metabolic process	8	125	6.40%	163	6437	2.53%	YAL038W, YGL055W, YGR254W, YJL196C, YJR009C, YKL152C, YMR246W, YPL061W
GO:0031399	regulation of protein modification process	8	125	6.40%	207	6437	3.22%	YDL179W, YGR086C, YHL007C, YHR136C, YLR079W, YNL055C, YNL289W, YPR149W
GO:0007005	mitochondrion organization	7	125	5.60%	286	6437	4.44%	YAL005C, YDR077W, YGL055W, YKR042W, YLR190W, YNL055C, YPL240C
GO:0006091	generation of precursor metabolites and energy	7	125	5.60%	125	6437	1.94%	YAL038W, YGL055W, YGR254W, YJR009C, YKL152C, YOL086C, YPL061W
GO:0051321	meiotic cell cycle	7	125	5.60%	323	6437	5.02%	YBR009C, YBR010W, YBR088C, YKL096W, YNL030W, YNL031C, YPR036W-A
GO:0006281	DNA repair	6	125	4.80%	301	6437	4.68%	YBL003C, YBR010W, YBR088C, YDR224C, YDR225W, YNL031C
GO:0000278	mitotic cell cycle	6	125	4.80%	378	6437	5.87%	YBR088C, YBR158W, YDL064W, YDL179W, YHL007C, YLR079W
GO:0051726	regulation of cell cycle	6	125	4.80%	299	6437	4.65%	YBR158W, YDL179W, YHL007C, YLR079W, YML028W, YNL289W
GO:0006979	response to oxidative stress	6	125	4.80%	129	6437	2.00%	YBR244W, YER042W, YGR234W, YJR104C, YLR109W, YML028W
GO:0043934	sporulation	6	125	4.80%	170	6437	2.64%	YBR009C, YBR010W, YKL096W, YNL030W, YNL031C, YPR036W-A
GO:0006869	lipid transport	5	125	4.00%	76	6437	1.18%	YHL007C, YJL079C, YKR013W, YMR246W, YPR149W
GO:0006364	rRNA processing	5	125	4.00%	359	6437	5.58%	YCR031C, YER002W, YGL029W, YGL123W, YNL112W
