"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj","zero.pvalue","zero.pvalue.adj","combined.pvalue","combined.pvalue.adj"
"YDL237W","YDL237W","NS",1,1,1,0.470168270653159,0.800931588703417,0.594471689416921,0.964609994436377,0.63579566012435,0.889921316385161
"YDL232W","YDL232W","NS",1,1,1,0.410521330683992,0.771762017045787,0.574302042938213,0.964609994436377,0.576423956114981,0.868873623047828
"YDL229W","YDL229W","NS",1,1,1,0.55368424502674,0.829106907027845,0.443635257535014,0.951151538516433,0.590482474409961,0.873962840171276
"YDL226C","YDL226C","NS",1,1,1,0.913067883848546,0.971871097885347,0.0886304387262913,0.758664743538212,0.284390789846497,0.752907968654689
"YDL219W","YDL219W","NS",1,1,1,0.60726599314295,0.858115107860112,0.397362225500479,0.951151538516433,0.584366154346292,0.87025006197789
"YDL213C","YDL213C","NS",1,1,1,0.49839720475377,0.810405031326795,0.813719364802973,0.984505054751644,0.771568304889017,0.915078395716907
"YDL212W","YDL212W","NS",1,1,1,0.112006747633765,0.568469751451711,0.0378101222335079,0.721051164161548,0.0273765541148677,0.39787602448462
"YDL208W","YDL208W","NS",1,1,1,0.0032767205595059,0.22517810974783,0.179396575474408,0.886808146225733,0.00496075834953839,0.229542148471416
"YDL201W","YDL201W","NS",1,1,1,0.523914276394497,0.8226627833893,0.197804728808976,0.89759043438618,0.338557960823578,0.766458558170403
"YDL198C","YDL198C","NS",1,1,1,0.107941713942204,0.558817775868234,0.189586391402392,0.891855137554847,0.100051386582742,0.56924597040073
"YDL192W","YDL192W","NS",1,1,1,0.681725410495502,0.902796955559211,0.172401875018911,0.879759911542522,0.369170559042785,0.795912018483957
"YDL191W","YDL191W","NS",1,1,1,0.681557777993574,0.902796955559211,0.332578974585818,0.951151538516433,0.563109880896201,0.868873623047828
"YDL189W","YDL189W","NS",1,1,1,0.998708392491086,0.998708392491086,0.890424598603144,0.984505054751644,0.993630257690287,0.996549265497837
"YDL188C","YDL188C","NS",1,1,1,0.674699657586991,0.901889048943613,0.897612944056746,0.984505054751644,0.909339547443627,0.970725290904568
"YDL185W","YDL185W","NS",1,1,1,0.540120077748346,0.827463043458391,0.174623226235209,0.879759911542522,0.317009492162092,0.762555289603463
"YDL184C","YDL184C","NS",1,1,1,0.735296912547091,0.918628639987042,0.383403985208346,0.951151538516433,0.638862555365599,0.889921316385161
"YDL182W","YDL182W","DZ",1,1,1,0.25470169076571,0.694455769063607,1.46980165379425e-06,0.00243399153868328,5.91417152471729e-06,0.00622968189148317
"YDL181W","YDL181W","NS",1,1,1,0.0853622709810046,0.535711016781525,9.6432539597284e-05,0.0319384571146204,0.000104604482696579,0.0255085502804372
"YDL171C","YDL171C","NS",1,1,1,0.721896194925307,0.911965880983398,0.480911482690256,0.951151538516433,0.714453338096023,0.908095195926963
"YDL168W","YDL168W","NS",1,1,1,0.807626886846282,0.938170647848399,0.0622469865239565,0.758664743538212,0.200601730883562,0.68447297566753
