"GeneNames" "GeneIndex" "ReferenceFreq"
"YNL251C" 1661 0.0021
"YLR257W" 952 0.002
"YNL157W" 1703 0.0025
"YLR330W" 984 0.0024
"YBR164C" 1574 0.0017
"YOR052C" 437 0.0016
"YJR070C" 1918 0.0012
"YKL170W" 1981 0.0019
"YBL102W" 1437 0.0017
"YOL111C" 370 0.0016
"YHR037W" 2274 0.0021
"YGR207C" 791 0.0022
"YCR034W" 2476 0.0023
"YMR250W" 1405 0.0022
"YMR298W" 1423 0.0019
"YGL161C" 627 0.0025
"YPR110C" 1194 0.0012
"YEL046C" 2117 0.0024
"YKL184W" 1973 0.0024
"YLR023C" 858 0.0022
"YER086W" 2192 0.002
"YPR108W" 1193 0.0015
"YHR025W" 2268 0.002
"YGR174C" 768 0.002
"YAL039C" 2557 0.0017
"YNL002C" 1776 0.0021
"YDL135C" 48 0.0013
"YLL001W" 849 0.0012
"YNR046W" 1802 0.002
"YBR139W" 1561 0.0022
"YKL080W" 2023 0.002
"YFR053C" 2544 0.0022
"YNL149C" 1709 0.0025
"YOL077C" 385 0.0015
"YLR060W" 876 0.0016
"YKL002W" 2062 0.002
"YIL157C" 2355 0.0015
"YKL033W.A" 2044 0.0022
"YNL189W" 1689 0.0023
"YDR062W" 143 0.0014
"YCR009C" 2462 0.0016
"YOL123W" 367 0.0014
"YLR244C" 945 0.0018
"YIL022W" 2415 0.001
"YLL009C" 847 0.0018
"YCR046C" 2480 0.0017
"YCR005C" 2461 0.0014
"YML048W" 1278 0.0012
"YIL016W" 2418 0.0024
"YDL171C" 31 0.0026
"YAL008W" 2570 0.001
"YDR119W.A" 170 0.0014
"YOR153W" 481 0.0014
"YEL012W" 2133 0.0019
"YMR074C" 1328 0.0017
"YOL071W" 386 0.0025
"YDR007W" 117 0.0025
"YDR296W" 245 0.0014
"YJL111W" 1859 0.0022
"YHR070W" 2294 0.0019
"YER058W" 2176 0.0023
"YCR003W" 2459 0.0025
"YKR049C" 2083 0.0014
"YNR043W" 1801 0.0025
"YOR209C" 506 0.0025
"YLR248W" 947 0.0018
"YJR074W" 1921 0.0021
"YER088C" 2194 0.0018
"YOR383C" 588 0.0021
"YER031C" 2160 0.0021
"YNL281W" 1652 0.0012
"YAL012W" 2569 0.0019
"YMR107W" 1340 0.0021
"YDR035W" 129 0.0016
"YBR126W.A" 1553 0.0018
"YLR058C" 874 0.0015
"YLL014W" 846 0.002
"YLR361C.A" 998 0.0015
"YBR171W" 1577 0.0023
"YIL065C" 2393 0.001
"YGR172C" 766 0.0022
"YER007C.A" 2144 0.002
"YIL138C" 2364 0.0014
"YKL187C" 1970 0.0019
