"GeneNames" "GeneIndex" "ReferenceFreq"
"YCL028W" 2449 0.0027
"YMR074C" 1328 0.0018
"YML055W" 1273 0.0023
"YKL100C" 2012 0.0016
"YHR070W" 2294 0.0021
"YLR163C" 909 0.0021
"YFL017W.A" 2508 0.0021
"YCR046C" 2480 0.0021
"YGR076C" 723 0.0019
"YHR132C" 2319 0.0021
"YOL011W" 412 0.002
"YCR071C" 2487 0.002
"YHR198C" 2346 0.0022
"YMR311C" 1431 0.0019
"YMR174C" 1365 0.0016
"YBR068C" 1521 0.0021
"YDR519W" 347 0.0027
"YPL094C" 1117 0.0016
"YPR154W" 1216 0.0017
"YIL021W" 2416 0.0018
"YOR209C" 506 0.002
"YJL123C" 1853 0.002
"YDL051W" 94 0.0015
"YDR232W" 219 0.0023
"YKR074W" 2094 0.0024
"YML048W" 1278 0.0018
"YKL181W" 1976 0.0024
"YIL157C" 2355 0.0023
"YNR035C" 1795 0.0019
"YDL097C" 69 0.0017
"YMR243C" 1402 0.0017
"YCR082W" 2489 0.0023
"YMR235C" 1396 0.0016
"YGL161C" 627 0.0021
"YPL087W" 1122 0.0028
"YDR212W" 212 0.0018
"YIL087C" 2383 0.0019
"YPR110C" 1194 0.0024
"YLR370C" 1001 7e-04
"YBR139W" 1561 0.0013
"YBR164C" 1574 0.0019
"YGR001C" 691 0.002
"YDL135C" 48 0.0017
"YGL056C" 664 0.0015
"YHL021C" 2246 0.0016
"YLR025W" 859 0.0016
"YAL036C" 2559 0.002
"YKL080W" 2023 0.0024
"YNR037C" 1797 0.0017
"YKR001C" 2063 0.0019
"YCR002C" 2458 0.0021
"YJL205C" 1816 0.0015
"YIL076W" 2387 0.0024
"YGL173C" 623 0.002
"YBR126W.B" 1554 0.002
"YPR182W" 1228 0.0016
"YLR345W" 990 0.0021
"YOR039W" 431 0.0025
"YOR383C" 588 0.0027
"YGR193C" 781 0.0024
"YOR084W" 448 0.0016
"YIR036C" 2432 0.0019
"YGL253W" 590 0.0025
"YBR151W" 1568 0.0019
"YJR133W" 1948 0.0019
"YLR113W" 898 0.0023
"YIL010W" 2420 0.0024
"YLR099W.A" 891 0.0012
"YPL170W" 1083 0.0015
"YKR048C" 2082 0.002
"YJL063C" 1872 0.0027
"YDR035W" 129 0.0027
"YLR060W" 876 0.0025
"YKR085C" 2100 0.0017
"YEL060C" 2109 0.0014
"YNL110C" 1728 0.0021
"YLR203C" 931 0.0018
"YBL040C" 1463 0.0021
"YNL177C" 1695 0.0023
"YLR390W" 1011 0.0018
"YLR193C" 924 0.0024
"YNL156C" 1704 0.0012
"YOR335C" 570 0.0023
"YMR071C" 1325 0.0017
"YCR098C" 2495 0.0025
"YGR017W" 697 0.0015
"YNL024C.A" 1767 0.0017
"YDL053C" 92 0.0016
"YNL217W" 1675 0.0012
"YML069W" 1266 0.0013
"YNL149C" 1709 0.0017
"YER125W" 2214 0.0017
"YMR193W" 1374 0.0023
"YJL174W" 1829 0.0016
"YAL012W" 2569 0.0014
"YLR330W" 984 0.0022
"YDL157C" 37 0.0032
"YPL211W" 1066 0.0016
"YHR128W" 2318 0.002
"YDR511W" 342 0.0016
"YGR172C" 766 0.0014
"YOR163W" 486 0.0017
"YMR148W" 1358 0.0026
"YAL060W" 2547 0.0015
"YJL164C" 1834 0.0023
"YPL129W" 1103 0.0017
"YHR013C" 2262 0.0018
"YFR004W" 2518 0.0022
"YAL008W" 2570 0.0023
"YDR047W" 135 0.0018
"YNL005C" 1774 0.0019
"YNR002C" 1779 0.002
"YDR296W" 245 0.0022
"YNL315C" 1635 0.002
"YHR096C" 2305 0.0018
"YOR158W" 484 0.0017
"YKL003C" 2061 0.0017
"YJR125C" 1947 0.0022
"YGR084C" 729 0.0022
"YBL029C.A" 1471 0.002
"YGR215W" 796 0.0022
"YDR238C" 224 0.0022
"YLR351C" 993 0.0019
"YBR072W" 1525 0.002
"YMR092C" 1335 0.0014
"YMR292W" 1419 0.0019
"YIL075C" 2388 0.0014
"YJL014W" 1887 0.0017
"YMR225C" 1392 0.0021
