"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj","zero.pvalue","zero.pvalue.adj","combined.pvalue","combined.pvalue.adj"
"YDL237W","YDL237W","NS",1,1,1,0.570185087217078,0.999993250361444,0.741943410796024,0.988280881092912,0.78698082495734,0.999819807605836
"YDL236W","YDL236W","NS",1,1,1,0.933218840575608,0.999993250361444,0.0830912425030461,0.975975778404059,0.275812697019435,0.999819807605836
"YDL235C","YDL235C","NS",1,1,1,0.457930176251522,0.999993250361444,0.874859778566145,0.988280881092912,0.767088205236657,0.999819807605836
"YDL232W","YDL232W","NS",1,1,1,0.569447774531088,0.999993250361444,0.955048652279629,0.99847026703485,0.875099340648863,0.999819807605836
"YDL229W","YDL229W","NS",1,1,1,0.457186579013443,0.999993250361444,0.450921007847686,0.988280881092912,0.531699971747882,0.999819807605836
"YDL226C","YDL226C","NS",1,1,1,0.682550172201771,0.999993250361444,0.789871633613915,0.988280881092912,0.872201890805739,0.999819807605836
"YDL224C","YDL224C","NS",1,1,1,0.279031242334972,0.999993250361444,0.162878686169542,0.988280881092912,0.185936990939124,0.999819807605836
"YDL219W","YDL219W","NS",1,1,1,0.615432501305992,0.999993250361444,0.735539542784571,0.988280881092912,0.811456489339235,0.999819807605836
"YDL217C","YDL217C","NS",1,1,1,0.940072356964903,0.999993250361444,0.492714109972196,0.988280881092912,0.819666959975482,0.999819807605836
"YDL215C","YDL215C","NS",1,1,1,0.582602598600081,0.999993250361444,0.644998151069844,0.988280881092912,0.743572855976326,0.999819807605836
"YDL213C","YDL213C","NS",1,1,1,0.538891046386588,0.999993250361444,0.571090651639913,0.988280881092912,0.670430022550745,0.999819807605836
"YDL212W","YDL212W","NS",1,1,1,0.524229246639381,0.999993250361444,0.248976456787248,0.988280881092912,0.396290091488942,0.999819807605836
"YDL209C","YDL209C","NS",4,3,1,0.286179006542622,0.999993250361444,0.836708802358454,0.988280881092912,0.581720227719568,0.999819807605836
"YDL208W","YDL208W","NS",1,1,1,0.284149748909935,0.999993250361444,0.801425999977866,0.988280881092912,0.564670666704955,0.999819807605836
"YDL207W","YDL207W","NS",1,1,1,0.995931963726336,0.999993250361444,0.721576489231472,0.988280881092912,0.956075237530941,0.999819807605836
"YDL204W","YDL204W","NS",1,1,1,0.400896964460595,0.999993250361444,0.454658977766772,0.988280881092912,0.492544445734719,0.999819807605836
"YDL202W","YDL202W","NS",1,1,1,0.988977969789723,0.999993250361444,0.739424649474382,0.988280881092912,0.960138889696499,0.999819807605836
"YDL201W","YDL201W","NS",1,1,2,0.110816436620434,0.999993250361444,0.230498150729005,0.988280881092912,0.119219133416135,0.999819807605836
"YDL200C","YDL200C","NS",2,2,1,0.607005729662532,0.999993250361444,0.808833227106212,0.988280881092912,0.840229876301551,0.999819807605836
"YDL198C","YDL198C","NS",1,1,1,0.779136927186528,0.999993250361444,0.906661606373225,0.996849724006954,0.951930717332478,0.999819807605836
"YDL195W","YDL195W","NS",1,1,1,0.683110864300314,0.999993250361444,0.410869939731002,0.988280881092912,0.637282119049061,0.999819807605836
"YDL192W","YDL192W","NS",1,1,1,0.791877872845152,0.999993250361444,0.388596947459154,0.988280881092912,0.670389582512169,0.999819807605836
"YDL191W","YDL191W","NS",1,1,1,0.462181856692829,0.999993250361444,0.662143943629268,0.988280881092912,0.668392683911828,0.999819807605836
"YDL188C","YDL188C","NS",1,1,1,0.0877004790040697,0.999993250361444,0.58674464094211,0.988280881092912,0.204132702608741,0.999819807605836
"YDL185W","YDL185W","NS",1,1,1,0.83170837583458,0.999993250361444,0.676481109624787,0.988280881092912,0.886219992326792,0.999819807605836
"YDL184C","YDL184C","NS",1,1,1,0.664578847310729,0.999993250361444,NA,NA,0.664578847310729,0.999819807605836
